,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55561,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,65.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,2129.703,0.0,0.0,0.0,404.023,0.0,345.18457,3.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.23313503,2474.8875,1.0
56000,3.0,2.0,3.0,461.09402,byplayer,0.0,1.0,3.0,0.0,4.0,257.76923,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,3495.3328,0.0,0.0,0.0,1335.971,0.0,1419.1036,7.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.7573531,4914.4365,0.25
56060,0.0,1.0,12.0,228.17282,byplayer,0.0,13.0,45.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,2.0,11139.034,0.0,0.0,0.0,1711.314,0.0,1259.626,4.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.9064163,12398.66,0.3125
56584,0.0,0.0,0.0,41.399998,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,2706.0403,0.0,330.10327,0.0,1248.365,0.0,2017.1051,3.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.7616626,5053.2485,0.6875
56666,0.0,0.0,3.0,0.0,byplayer,0.0,0.0,68.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,2033.7812,0.0,0.0,0.0,811.739,0.0,724.17346,5.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.4811731,2757.9546,0.9375
56721,3.0,2.0,6.0,602.8126,byplayer,2.0,8.0,4.0,0.0,4.0,264.52997,dino,account.0a20754b32304ea3a101cbb3570ed1c2,1.0,4596.6377,0.0,0.0,0.0,1663.972,1.0,1141.865,9.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.9112662,5738.503,0.1875
57246,0.0,0.0,6.0,0.0,byplayer,0.0,2.0,52.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,7041.0913,0.0,0.0,0.0,1327.027,0.0,1812.5383,6.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.7279358,8853.63,0.4375
57293,1.0,1.0,6.0,208.77846,byplayer,0.0,4.0,28.0,0.0,1.0,27.85784,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,2072.6533,0.0,0.0,0.0,1457.976,0.0,1113.7284,5.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.78766936,3186.3818,0.4375
57367,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,55.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,3032.519,0.0,381.4699,0.0,1115.629,0.0,1286.0231,4.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.6163696,4700.012,0.6875
57423,1.0,0.0,0.0,151.24031,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,1.0,305.6344,0.0,0.0,0.0,334.453,0.0,385.54672,3.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sta,0.19144419,691.18115,0.9375
66456,1.0,2.0,1.0,46.40032,byplayer,0.0,2.0,20.0,0.0,1.0,54.042896,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,4285.1157,0.0,0.0,0.0,1429.221,0.0,1405.8679,3.0,Erangel (Remastered),1759.0,2020-08-25 13:03:05+00:00,4.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.812519,5690.9834,0.2666666805744171
66462,0.0,0.0,4.0,123.01776,byplayer,0.0,2.0,49.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,3756.9702,0.0,0.0,0.0,1372.89,0.0,1302.9529,3.0,Erangel (Remastered),1799.0,2020-08-25 12:17:58+00:00,11.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.7631406,5059.923,0.7333333492279053
66843,1.0,0.0,0.0,30.725355,byplayer,0.0,0.0,33.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,1.0,4491.2983,0.0,0.0,0.0,1286.563,0.0,1138.0259,4.0,Erangel (Remastered),1734.0,2020-08-26 13:01:52+00:00,5.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.7419625,5629.324,0.3571428656578064
66882,1.0,0.0,3.0,0.0,byplayer,0.0,1.0,52.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,1.0,8127.385,0.0,0.0,0.0,920.392,0.0,921.8582,3.0,Erangel (Remastered),1799.0,2020-08-26 12:17:46+00:00,13.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.51161313,9049.243,0.9285714030265808
66951,0.0,0.0,0.0,0.0,byplayer,0.0,1.0,55.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,3707.8904,0.0,0.0,0.0,688.877,0.0,734.56287,3.0,Erangel (Remastered),1833.0,2020-08-26 11:32:52+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.3758194,4442.453,1.0
67031,0.0,1.0,8.0,128.00743,byplayer,0.0,28.0,46.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,1.0,8444.68,0.0,0.0,0.0,1118.636,0.0,931.52466,6.0,Erangel (Remastered),1679.0,2020-08-25 11:35:33+00:00,11.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.66625136,9376.204,0.7333333492279053
67094,0.0,1.0,4.0,62.02589,byplayer,0.0,1.0,48.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,1593.4784,0.0,0.0,0.0,1390.316,0.0,1155.7067,6.0,Miramar,1825.0,2020-08-25 10:50:37+00:00,11.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.761817,2749.185,0.7333333492279053
67132,4.0,2.0,5.0,651.90686,alive,0.0,0.0,4.0,0.0,3.0,126.69056,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,3926.5415,0.0,0.0,0.0,1733.392,0.0,1577.5269,4.0,Miramar,1733.0,2020-08-26 10:49:37+00:00,1.0,True,kr-lvup,2020-08-24 04:58:46+00:00,sta,1.0,5504.0684,0.0714285746216774
67229,0.0,0.0,2.0,36.9,byplayer,0.0,1.0,47.0,0.0,0.0,0.0,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,3624.24,0.0,0.0,0.0,785.737,0.0,454.7584,5.0,Miramar,1858.0,2020-08-25 10:05:16+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.42289397,4078.9983,0.6666666865348816
67255,2.0,0.0,5.0,386.261,byplayer,1.0,4.0,5.0,0.0,4.0,219.7173,dino,account.0a20754b32304ea3a101cbb3570ed1c2,0.0,3752.3691,0.0,0.0,0.0,1780.317,0.0,1445.5952,4.0,Miramar,1791.0,2020-08-26 10:05:01+00:00,2.0,False,kr-lvup,2020-08-24 04:58:46+00:00,sta,0.9940352,5197.9644,0.1428571492433548
