iter	RMSE
0	14.47582566
1	14.25801369
2	14.05138759
3	13.8423853
4	13.63199184
5	13.43372682
6	13.2415431
7	13.06179918
8	12.89072777
9	12.71774927
10	12.54118956
11	12.38155548
12	12.21656429
13	12.06601172
14	11.92699972
15	11.7738187
16	11.62876409
17	11.49928038
18	11.36426659
19	11.2368818
20	11.10989364
21	10.992552
22	10.87054277
23	10.76781468
24	10.66538442
25	10.56431099
26	10.46680353
27	10.36761958
28	10.27238352
29	10.17933979
30	10.09781898
31	10.02111933
32	9.947687587
33	9.867526075
34	9.786892789
35	9.727614628
36	9.655314361
37	9.581465365
38	9.520370309
39	9.452937279
40	9.400097559
41	9.344833228
42	9.276136898
43	9.217297439
44	9.172161899
45	9.117763659
46	9.069411653
47	9.014208743
48	8.973966041
49	8.924947402
50	8.88972193
51	8.845917533
52	8.814722876
53	8.771119341
54	8.741726754
55	8.699294668
56	8.659597644
57	8.621253409
58	8.58041623
59	8.553330791
60	8.518152075
61	8.508693012
62	8.473095293
63	8.438828691
64	8.417384248
65	8.408907166
66	8.374591556
67	8.366398969
68	8.326911707
69	8.318677501
70	8.288466425
71	8.280701485
72	8.259959549
73	8.252366385
74	8.220656809
75	8.184289604
76	8.163167832
77	8.150809219
78	8.126184179
79	8.118633947
80	8.097016158
81	8.068821102
82	8.06208338
83	8.05525894
84	8.03002
85	8.009166992
86	7.986512054
87	7.973357224
88	7.951110834
89	7.928810652
90	7.915677529
91	7.889916814
92	7.86806637
93	7.845342161
94	7.839556776
95	7.818896674
96	7.799417798
97	7.782855512
98	7.77720962
99	7.766961622
100	7.750082986
101	7.739968624
102	7.734590836
103	7.729294828
104	7.724012026
105	7.716258894
106	7.692441677
107	7.675264716
108	7.670338561
109	7.65356893
110	7.638582352
111	7.623331349
112	7.615209226
113	7.602296109
114	7.594945334
115	7.586415926
116	7.576831171
117	7.562883989
118	7.547224913
119	7.539348955
120	7.534837455
121	7.530414441
122	7.520565557
123	7.507883245
124	7.49202053
125	7.485547774
126	7.473194926
127	7.459055901
128	7.45289687
129	7.438968828
130	7.433054131
131	7.425463199
132	7.418015445
133	7.402356291
134	7.396440068
135	7.388223254
136	7.372800638
137	7.362687295
138	7.359048995
139	7.353604748
140	7.345571505
141	7.339082963
142	7.329736515
143	7.325786371
144	7.317330213
145	7.311363881
146	7.308400066
147	7.302405299
148	7.291590807
149	7.288722561
150	7.285932074
151	7.283236208
152	7.279976909
153	7.277335458
154	7.274547755
155	7.271983644
156	7.26939244
157	7.258460741
158	7.255985646
159	7.253532556
160	7.247882538
161	7.23540131
162	7.233026717
163	7.229052686
164	7.223105406
165	7.220911925
166	7.209938483
167	7.201030016
168	7.196093117
169	7.193197132
170	7.185502002
171	7.1775353
172	7.175432207
173	7.173489575
174	7.16881351
175	7.16681329
176	7.154795087
177	7.149918459
178	7.138396859
179	7.136557624
180	7.131806346
181	7.129941504
182	7.122047747
183	7.114351986
184	7.103357153
185	7.093760568
186	7.085223677
187	7.074494132
188	7.072944705
189	7.064741092
190	7.061056217
191	7.058223022
192	7.049577166
193	7.048105795
194	7.046657534
195	7.038138992
196	7.034839662
197	7.027270107
198	7.023720411
199	7.015663388
200	7.01429282
201	7.012964393
202	7.011715339
203	7.003055987
204	6.996127131
205	6.991337089
206	6.987364274
207	6.984533783
208	6.983366229
209	6.974511758
210	6.971177141
211	6.966136933
212	6.960392753
213	6.959337481
214	6.95279646
215	6.946975601
216	6.943178827
217	6.939462384
218	6.934267516
219	6.926262929
220	6.920705939
221	6.919764847
222	6.912566597
223	6.909671517
224	6.903908267
225	6.90108533
226	6.895860243
227	6.891318536
228	6.890479674
229	6.885297595
230	6.882465986
231	6.87753474
232	6.873794269
233	6.87298314
234	6.872218984
235	6.869528488
236	6.863568699
237	6.858981767
238	6.856590618
239	6.851661557
240	6.850958347
241	6.84870852
242	6.844387805
243	6.838948626
244	6.834752792
245	6.829063725
246	6.825384501
247	6.823247191
248	6.815113064
249	6.808650951
250	6.808011915
251	6.805321486
252	6.80036654
253	6.793378766
254	6.788881073
255	6.783887706
256	6.782063151
257	6.781489338
258	6.780918201
259	6.776101547
260	6.773528641
261	6.770193849
262	6.766027706
263	6.764010047
264	6.760881365
265	6.759333706
266	6.756924449
267	6.755263287
268	6.750845113
269	6.747016566
270	6.745295279
271	6.743204778
272	6.742706019
273	6.742288513
274	6.74184525
275	6.741402913
276	6.736074096
277	6.73393438
278	6.730630672
279	6.726780432
280	6.723623652
281	6.723180625
282	6.7213703
283	6.721013647
284	6.720087627
285	6.716156244
286	6.715749514
287	6.711736325
288	6.709391347
289	6.708997206
290	6.705196221
291	6.704022527
292	6.700753557
293	6.698267431
294	6.695434439
295	6.691799857
296	6.689060805
297	6.687764022
298	6.685798653
299	6.683120318
300	6.681350037
301	6.680591735
302	6.679726803
303	6.676546617
304	6.674557785
305	6.672395738
306	6.669864852
307	6.667950146
308	6.666971398
309	6.666710948
310	6.66379401
311	6.663503266
312	6.662976762
313	6.661844409
314	6.659970524
315	6.658719724
316	6.655864437
317	6.653486162
318	6.652603228
319	6.651069364
320	6.648752185
321	6.648535811
322	6.646276674
323	6.643489587
324	6.641986784
325	6.639814071
326	6.638823467
327	6.638625821
328	6.636516552
329	6.636293671
330	6.63369882
331	6.63102168
332	6.629443225
333	6.627028108
334	6.625025471
335	6.623550142
336	6.620014319
337	6.617857125
338	6.615324326
339	6.612905814
340	6.611683135
341	6.609855555
342	6.608523454
343	6.606055982
344	6.605204734
345	6.603366308
346	6.601241856
347	6.598531487
348	6.596901677
349	6.593334429
350	6.589961716
351	6.587662514
352	6.587163438
353	6.586038933
354	6.584367702
355	6.583112737
356	6.581404372
357	6.578118868
358	6.574923431
359	6.573437276
360	6.572559321
361	6.572400529
362	6.572244987
363	6.572092613
364	6.571560579
365	6.568872677
366	6.568107436
367	6.565066052
368	6.5645826
369	6.563474879
370	6.560534672
371	6.560129678
372	6.558863967
373	6.557344571
374	6.5539873
375	6.553608296
376	6.550389422
377	6.549396648
378	6.546290125
379	6.546016693
380	6.544488697
381	6.543559401
382	6.542647652
383	6.542258673
384	6.541246514
385	6.539479876
386	6.538684008
387	6.537680977
388	6.536273351
389	6.536160848
390	6.535120889
391	6.534282686
392	6.532625849
393	6.532095565
394	6.52987429
395	6.528627957
396	6.526461417
397	6.525276601
398	6.523717788
399	6.523168805
400	6.523090183
401	6.521954808
402	6.521858094
403	6.520149152
404	6.517193199
405	6.517098719
406	6.516808967
407	6.515713364
408	6.514107071
409	6.513755689
410	6.512249556
411	6.510905128
412	6.510005079
413	6.50873194
414	6.50659375
415	6.50609446
416	6.504507326
417	6.50359229
418	6.503022284
419	6.50242933
420	6.501151401
421	6.49909688
422	6.497062482
423	6.495569939
424	6.493870152
425	6.492941754
426	6.492215495
427	6.490294779
428	6.490235288
429	6.489181048
430	6.488894783
431	6.487981023
432	6.487392851
433	6.48675562
434	6.485365902
435	6.484635423
436	6.483516828
437	6.481990607
438	6.481273701
439	6.480327713
440	6.480253304
441	6.479451433
442	6.477696486
443	6.475678812
444	6.474108268
445	6.473465901
446	6.472604139
447	6.471916623
448	6.47005448
449	6.469363774
450	6.46739631
451	6.467211319
452	6.467061284
453	6.465662806
454	6.465220589
455	6.464403337
456	6.464259039
457	6.463656417
458	6.463002677
459	6.462643657
460	6.4608325
461	6.459509432
462	6.458194933
463	6.458039715
464	6.457556058
465	6.457084741
466	6.456532738
467	6.455757113
468	6.455597972
469	6.45456633
470	6.454212316
471	6.454017818
472	6.45307506
473	6.45153525
474	6.450544029
475	6.449913163
476	6.449601674
477	6.44927813
478	6.449159502
479	6.44769206
480	6.44716119
481	6.446743949
482	6.445329388
483	6.445093323
484	6.443722744
485	6.442681487
486	6.442072246
487	6.441770588
488	6.441736117
489	6.441060105
490	6.440675898
491	6.440528754
492	6.439540252
493	6.438162617
494	6.437205198
495	6.436968265
496	6.436380793
497	6.436348075
498	6.436244568
499	6.435668126
500	6.435521467
501	6.434389047
502	6.433486345
503	6.433362823
504	6.433193843
505	6.432886614
506	6.431752753
507	6.430652108
508	6.429964913
509	6.429826394
510	6.429732844
511	6.429327981
512	6.42819504
513	6.427917326
514	6.426722705
515	6.426603267
516	6.425442511
517	6.425291093
518	6.425103169
519	6.424598214
520	6.424322325
521	6.423566084
522	6.422513886
523	6.421892712
524	6.42111316
525	6.420863979
526	6.420610511
527	6.420529153
528	6.419523588
529	6.419268884
530	6.41876463
531	6.418124123
532	6.417858583
533	6.417627567
534	6.417027131
535	6.416918871
536	6.416047539
537	6.415080684
538	6.414424082
539	6.413956907
540	6.413818577
541	6.413508986
542	6.412945065
543	6.412845421
544	6.412629184
545	6.411883933
546	6.411669183
547	6.411076803
548	6.41049661
549	6.40962247
550	6.409535088
551	6.409435881
552	6.409221852
553	6.408372577
554	6.408286974
555	6.408090303
556	6.40726642
557	6.406938107
558	6.406762751
559	6.406575787
560	6.405778494
561	6.405585035
562	6.404810603
563	6.404189096
564	6.403683315
565	6.402951494
566	6.40263939
567	6.402456847
568	6.402095755
569	6.401664742
570	6.401052482
571	6.400739806
572	6.400666311
573	6.400087529
574	6.399456858
575	6.399224783
576	6.399159137
577	6.398883476
578	6.398510117
579	6.398011661
580	6.397620553
581	6.397244263
582	6.397084609
583	6.39701518
584	6.396752508
585	6.396533742
586	6.39628919
587	6.395878213
588	6.395284723
589	6.394983348
590	6.394829423
591	6.394676454
592	6.394131845
593	6.393617106
594	6.39305084
595	6.392909943
596	6.392674599
597	6.392128136
598	6.391872235
599	6.391756579
600	6.391484165
601	6.391252292
602	6.39110758
603	6.390908237
604	6.390682332
605	6.390559297
606	6.390318992
607	6.390070403
608	6.389550364
609	6.389042443
610	6.388518009
611	6.388189868
612	6.387690093
613	6.387350546
614	6.387123664
615	6.386646207
616	6.386582141
617	6.386288209
618	6.386210944
619	6.386104648
620	6.38594481
621	6.385672338
622	6.385356946
623	6.385150699
624	6.384725346
625	6.384313723
626	6.384065807
627	6.38390066
628	6.383549791
629	6.383251563
630	6.38306031
631	6.382862349
632	6.382598911
633	6.382552065
634	6.382477728
635	6.382163267
636	6.381948446
637	6.381548546
638	6.381397364
639	6.381158598
640	6.380787159
641	6.380632674
642	6.380245271
643	6.380084275
644	6.380034415
645	6.379800279
646	6.379725182
647	6.379638107
648	6.379362794
649	6.379007357
650	6.378798526
651	6.378649898
652	6.378528962
653	6.378397914
654	6.378207372
655	6.378092182
656	6.378047619
657	6.377998899
658	6.377895581
659	6.377787988
660	6.37743653
661	6.377315734
662	6.37727465
663	6.377110135
664	6.376875188
665	6.376678042
666	6.37632314
667	6.37617037
668	6.376040345
669	6.375847743
670	6.375809132
671	6.37573784
672	6.375666479
673	6.375383569
674	6.375246848
675	6.3750449
676	6.374864652
677	6.374794214
678	6.374758477
679	6.374464478
680	6.37434715
681	6.374158541
682	6.374055265
683	6.373941976
684	6.373788455
685	6.37359828
686	6.373336736
687	6.373212455
688	6.372962338
689	6.372895849
690	6.372839957
691	6.372748105
692	6.372710977
693	6.372614948
694	6.372363152
695	6.372289094
696	6.372207297
697	6.372063381
698	6.371881788
699	6.371817289
700	6.371743544
701	6.371665902
702	6.371636861
703	6.37158942
704	6.371403526
705	6.37134315
706	6.371147104
707	6.37101915
708	6.370788591
709	6.370729721
710	6.370623829
711	6.37047172
712	6.370309403
713	6.370113771
714	6.370049342
715	6.369968611
716	6.369915036
717	6.369831906
718	6.369743642
719	6.369518427
720	6.369438288
721	6.369293482
722	6.36921777
723	6.369167503
724	6.369062106
725	6.3689756
726	6.368926506
727	6.368685218
728	6.368599916
729	6.36856405
730	6.368524797
731	6.368426924
732	6.368332953
733	6.368200516
734	6.368149629
735	6.368099769
736	6.367928752
737	6.367863874
738	6.367709741
739	6.367644407
740	6.367583484
741	6.367489373
742	6.367410175
743	6.367282069
744	6.36724155
745	6.367151101
746	6.366982612
747	6.366801778
748	6.366677235
749	6.366556555
750	6.366479539
751	6.366420013
752	6.36640223
753	6.366364407
754	6.366194699
755	6.366022851
756	6.365976949
757	6.365859866
758	6.365805174
759	6.365701305
760	6.365594819
761	6.365417815
762	6.365315064
763	6.365235542
764	6.365185539
765	6.365070445
766	6.36498729
767	6.364885023
768	6.364850222
769	6.364779999
770	6.36467637
771	6.36462596
772	6.364584271
773	6.364540936
774	6.364461133
775	6.364394738
776	6.364300409
777	6.364256707
778	6.364194058
779	6.364160925
780	6.364131313
781	6.364080761
782	6.364007652
783	6.363939246
784	6.363779952
785	6.363691809
786	6.363661451
787	6.363630565
788	6.363584493
789	6.363489904
790	6.36338878
791	6.363346791
792	6.363323363
793	6.363242556
794	6.363111515
795	6.363088335
796	6.363034901
797	6.362942423
798	6.362851994
799	6.362775384
800	6.362676365
801	6.362578283
802	6.362520154
803	6.362484057
804	6.362404646
805	6.362356582
806	6.362294987
807	6.362234595
808	6.36220284
809	6.36213313
810	6.362076625
811	6.362022068
812	6.36194871
813	6.361890272
814	6.361868375
815	6.361743766
816	6.361707711
817	6.361637427
818	6.36160487
819	6.361554332
820	6.361463434
821	6.361323411
822	6.36122589
823	6.361182045
824	6.361130933
825	6.361069154
826	6.360991337
827	6.36095433
828	6.360867899
829	6.36079124
830	6.360769437
831	6.360724829
832	6.360702786
833	6.360671744
834	6.360624312
835	6.360519185
836	6.360420063
837	6.360364729
838	6.360333596
839	6.360280768
840	6.360181333
841	6.360078968
842	6.359994039
843	6.359906127
844	6.359837364
845	6.359820676
846	6.359737073
847	6.359698713
848	6.359654531
849	6.359611459
850	6.359529044
851	6.359474588
852	6.359417369
853	6.359377268
854	6.359293716
855	6.359241501
856	6.359217199
857	6.359180011
858	6.359127431
859	6.359077056
860	6.359058797
861	6.359028472
862	6.359010881
863	6.35896238
864	6.358923415
865	6.35887482
866	6.358810491
867	6.358740065
868	6.358731355
869	6.358684991
870	6.35860746
871	6.358541246
872	6.358471779
873	6.35845216
874	6.358369269
875	6.358324613
876	6.358300832
877	6.358266074
878	6.358234095
879	6.358213416
880	6.358191395
881	6.358156691
882	6.358086607
883	6.358033487
884	6.357990939
885	6.357926339
886	6.357917447
887	6.357885369
888	6.357855215
889	6.357822303
890	6.357782999
891	6.357768513
892	6.357730996
893	6.357673451
894	6.357621747
895	6.357585161
896	6.3575674
897	6.35753221
898	6.357454643
899	6.357412444
900	6.357374567
901	6.357320644
902	6.357289034
903	6.357254852
904	6.357191494
905	6.357164148
906	6.357143951
907	6.357120754
908	6.357091578
909	6.357074006
910	6.357028536
911	6.356962259
912	6.356941567
913	6.35690515
914	6.356864302
915	6.356821373
916	6.356772441
917	6.356730891
918	6.356701678
919	6.356689648
920	6.356666608
921	6.356658154
922	6.356611581
923	6.356576063
924	6.356533359
925	6.356507676
926	6.356489254
927	6.356462661
