iter	Passed	Remaining
0	0	297
1	0	274
2	0	260
3	1	259
4	1	246
5	1	234
6	1	219
7	1	220
8	1	219
9	2	209
10	2	207
11	2	208
12	2	208
13	2	209
14	3	207
15	3	207
16	3	208
17	3	205
18	3	201
19	4	200
20	4	200
21	4	200
22	4	201
23	4	198
24	5	199
25	5	199
26	5	197
27	5	195
28	5	195
29	6	196
30	6	196
31	6	194
32	6	195
33	6	195
34	7	195
35	7	195
36	7	195
37	7	195
38	7	195
39	8	194
40	8	192
41	8	193
42	8	193
43	8	193
44	9	192
45	9	192
46	9	191
47	9	192
48	9	190
49	10	190
50	10	189
51	10	189
52	10	189
53	10	189
54	10	187
55	11	187
56	11	187
57	11	187
58	11	187
59	11	187
60	12	187
61	12	186
62	12	187
63	12	187
64	13	187
65	13	186
66	13	186
67	13	184
68	13	184
69	13	184
70	14	183
71	14	182
72	14	182
73	14	181
74	14	181
75	14	181
76	15	181
77	15	181
78	15	181
79	15	181
80	16	181
81	16	181
82	16	180
83	16	180
84	16	180
85	16	180
86	17	180
87	17	179
88	17	179
89	17	179
90	18	179
91	18	179
92	18	179
93	18	179
94	18	178
95	18	178
96	19	178
97	19	178
98	19	177
99	19	177
100	19	177
101	20	176
102	20	175
103	20	174
104	20	174
105	20	173
106	20	173
107	20	173
108	21	172
109	21	172
110	21	172
111	21	172
112	21	171
113	22	171
114	22	171
115	22	171
116	22	171
117	22	171
118	23	171
119	23	171
120	23	171
121	23	171
122	24	171
123	24	171
124	24	171
125	24	170
126	24	170
127	25	170
128	25	169
129	25	169
130	25	169
131	25	169
132	25	169
133	26	169
134	26	168
135	26	168
136	26	168
137	26	168
138	27	168
139	27	168
140	27	167
141	27	167
142	27	167
143	28	167
144	28	167
145	28	168
146	28	167
147	29	167
148	29	167
149	29	167
150	29	167
151	29	166
152	29	165
153	30	164
154	30	164
155	30	163
156	30	163
157	30	163
158	30	163
159	30	162
160	31	162
161	31	162
162	31	161
163	31	161
164	31	161
165	32	161
166	32	161
167	32	161
168	32	160
169	32	160
170	33	160
171	33	160
172	33	160
173	33	159
174	33	159
175	33	159
176	34	159
177	34	158
178	34	158
179	34	158
180	35	158
181	35	158
182	35	157
183	35	157
184	35	157
185	36	157
186	36	157
187	36	157
188	36	156
189	36	156
190	36	156
191	37	156
192	37	156
193	37	155
194	37	155
195	37	155
196	38	155
197	38	155
198	38	155
199	38	154
200	38	154
201	39	154
202	39	153
203	39	153
204	39	153
205	39	153
206	40	153
207	40	153
208	40	152
209	40	152
210	40	152
211	41	152
212	41	152
213	41	151
214	41	151
215	41	151
216	42	151
217	42	151
218	42	151
219	42	151
220	42	151
221	43	151
222	43	150
223	43	150
224	43	150
225	43	150
226	44	150
227	44	150
228	44	149
229	44	149
230	44	149
231	45	149
232	45	149
233	45	148
234	45	148
235	45	148
236	46	148
237	46	148
238	46	148
239	46	148
240	46	147
241	47	147
242	47	147
243	47	147
244	47	147
245	47	147
246	48	146
247	48	146
248	48	146
249	48	146
250	48	146
251	49	146
252	49	145
253	49	145
254	49	145
255	50	145
256	50	145
257	50	145
258	50	144
259	50	144
260	51	144
261	51	144
262	51	144
263	51	144
264	51	144
265	52	143
266	52	143
267	52	143
268	52	143
269	53	143
270	53	143
271	53	143
272	53	142
273	53	142
274	53	141
275	53	141
276	54	141
277	54	141
278	54	141
279	54	140
280	55	140
281	55	140
282	55	140
283	55	140
284	55	139
285	56	139
286	56	139
287	56	139
288	56	139
289	56	139
290	57	138
291	57	138
292	57	138
293	57	138
294	57	138
295	58	138
296	58	138
297	58	137
298	58	137
299	58	137
300	59	137
301	59	137
302	59	137
303	59	136
304	60	136
305	60	136
306	60	136
307	60	136
308	60	136
309	61	135
310	61	135
311	61	135
312	61	135
313	61	135
314	62	135
315	62	134
316	62	134
317	62	134
318	62	134
319	63	134
320	63	134
321	63	133
322	63	133
323	63	133
324	64	133
325	64	133
326	64	133
327	64	132
328	64	132
329	65	132
330	65	132
331	65	131
332	65	131
333	66	131
334	66	131
335	66	131
336	66	131
337	66	131
338	67	130
339	67	130
340	67	130
341	67	130
342	68	130
343	68	130
344	68	129
345	68	129
346	68	129
347	69	129
348	69	129
349	69	129
350	69	129
351	70	128
352	70	128
353	70	128
354	70	128
355	70	128
356	71	128
357	71	127
358	71	127
359	71	127
360	71	127
361	72	127
362	72	126
363	72	126
364	72	126
365	72	126
366	73	126
367	73	125
368	73	125
369	73	125
370	74	125
371	74	125
372	74	125
373	74	124
374	74	124
375	75	124
376	75	124
377	75	124
378	75	124
379	75	123
380	76	123
381	76	123
382	76	123
383	76	123
384	77	123
385	77	122
386	77	122
387	77	122
388	77	122
389	78	122
390	78	121
391	78	121
392	78	121
393	78	121
394	79	121
395	79	121
396	79	120
397	79	120
398	80	120
399	80	120
400	80	120
401	80	119
402	80	119
403	80	119
404	81	119
405	81	119
406	81	118
407	81	118
408	82	118
409	82	118
410	82	118
411	82	118
412	83	118
413	83	117
414	83	117
415	83	117
416	83	117
417	84	117
418	84	117
419	84	116
420	84	116
421	85	116
422	85	116
423	85	116
424	85	116
425	85	115
426	86	115
427	86	115
428	86	115
429	86	115
430	86	114
431	87	114
432	87	114
433	87	114
434	87	114
435	88	113
436	88	113
437	88	113
438	88	113
439	88	113
440	89	112
441	89	112
442	89	112
443	89	112
444	89	112
445	90	112
446	90	111
447	90	111
448	90	111
449	91	111
450	91	111
451	91	110
452	91	110
453	91	110
454	92	110
455	92	110
456	92	109
457	92	109
458	93	109
459	93	109
460	93	109
461	93	109
462	93	108
463	94	108
464	94	108
465	94	108
466	94	108
467	94	107
468	95	107
469	95	107
470	95	107
471	95	107
472	96	107
473	96	106
474	96	106
475	96	106
476	97	106
477	97	106
478	97	105
479	97	105
480	97	105
481	98	105
482	98	105
483	98	105
484	98	104
485	98	104
486	99	104
487	99	104
488	99	104
489	99	103
490	99	103
491	100	103
492	100	103
493	100	103
494	100	102
495	101	102
496	101	102
497	101	102
498	101	102
499	101	101
500	102	101
501	102	101
502	102	101
503	102	101
504	102	100
505	103	100
506	103	100
507	103	100
508	103	100
509	103	99
510	104	99
511	104	99
512	104	99
513	104	99
514	105	98
515	105	98
516	105	98
517	105	98
518	105	98
519	106	98
520	106	97
521	106	97
522	106	97
523	107	97
524	107	97
525	107	96
526	107	96
527	107	96
528	108	96
529	108	96
530	108	95
531	108	95
532	109	95
533	109	95
534	109	95
535	109	94
536	109	94
537	110	94
538	110	94
539	110	94
540	110	94
541	111	93
542	111	93
543	111	93
544	111	93
545	111	93
546	112	92
547	112	92
548	112	92
549	112	92
550	113	92
551	113	91
552	113	91
553	113	91
554	113	91
555	114	91
556	114	90
557	114	90
558	114	90
559	115	90
560	115	90
561	115	89
562	115	89
563	115	89
564	116	89
565	116	89
566	116	89
567	116	88
568	116	88
569	117	88
570	117	88
571	117	88
572	117	87
573	118	87
574	118	87
575	118	87
576	118	87
577	118	86
578	119	86
579	119	86
580	119	86
581	119	86
582	120	85
583	120	85
584	120	85
585	120	85
586	120	85
587	121	84
588	121	84
589	121	84
590	121	84
591	121	84
592	122	83
593	122	83
594	122	83
595	122	83
596	123	83
597	123	82
598	123	82
599	123	82
600	123	82
601	124	82
602	124	81
603	124	81
604	124	81
605	125	81
606	125	81
607	125	80
608	125	80
609	125	80
610	126	80
611	126	80
612	126	79
613	126	79
614	127	79
615	127	79
616	127	79
617	127	78
618	127	78
619	128	78
620	128	78
621	128	78
622	128	77
623	129	77
624	129	77
625	129	77
626	129	77
627	129	76
628	130	76
629	130	76
630	130	76
631	130	76
632	130	75
633	131	75
634	131	75
635	131	75
636	131	75
637	132	74
638	132	74
639	132	74
640	132	74
641	132	74
642	133	73
643	133	73
644	133	73
645	133	73
646	134	73
647	134	72
648	134	72
649	134	72
650	134	72
651	135	72
652	135	71
653	135	71
654	135	71
655	135	71
656	136	71
657	136	70
658	136	70
659	136	70
660	137	70
661	137	70
662	137	69
663	137	69
664	138	69
665	138	69
666	138	69
667	138	68
668	138	68
669	139	68
670	139	68
671	139	68
672	139	67
673	140	67
674	140	67
675	140	67
676	140	67
677	140	66
678	141	66
679	141	66
680	141	66
681	141	66
682	142	65
683	142	65
684	142	65
685	142	65
686	142	65
687	143	64
688	143	64
689	143	64
690	143	64
691	143	64
692	144	63
693	144	63
694	144	63
695	144	63
696	145	63
697	145	62
698	145	62
699	145	62
700	145	62
701	146	62
702	146	61
703	146	61
704	146	61
705	147	61
706	147	61
707	147	60
708	147	60
709	147	60
710	148	60
711	148	60
712	148	59
713	148	59
714	149	59
715	149	59
716	149	58
717	149	58
718	149	58
719	150	58
720	150	58
721	150	58
722	150	57
723	151	57
724	151	57
725	151	57
726	151	56
727	151	56
728	152	56
729	152	56
730	152	56
731	152	55
732	153	55
733	153	55
734	153	55
735	153	55
736	153	54
737	154	54
738	154	54
739	154	54
740	154	54
741	155	53
742	155	53
743	155	53
744	155	53
745	155	53
746	156	52
747	156	52
748	156	52
749	156	52
750	157	52
751	157	51
752	157	51
753	157	51
754	157	51
755	158	51
756	158	50
757	158	50
758	158	50
759	159	50
760	159	50
761	159	49
762	159	49
763	159	49
764	160	49
765	160	48
766	160	48
767	160	48
768	161	48
769	161	48
770	161	47
771	161	47
772	161	47
773	162	47
774	162	47
775	162	46
776	162	46
777	163	46
778	163	46
779	163	46
780	163	45
781	163	45
782	164	45
783	164	45
784	164	45
785	164	44
786	165	44
787	165	44
788	165	44
789	165	44
790	165	43
791	166	43
792	166	43
793	166	43
794	166	43
795	167	42
796	167	42
797	167	42
798	167	42
799	167	41
800	168	41
801	168	41
802	168	41
803	168	41
804	169	40
805	169	40
806	169	40
807	169	40
808	169	40
809	170	39
810	170	39
811	170	39
812	170	39
813	170	39
814	171	38
815	171	38
816	171	38
817	171	38
818	172	38
819	172	37
820	172	37
821	172	37
822	172	37
823	173	36
824	173	36
825	173	36
826	173	36
827	174	36
828	174	35
829	174	35
830	174	35
831	174	35
832	175	35
833	175	34
834	175	34
835	175	34
836	176	34
837	176	34
838	176	33
839	176	33
840	176	33
841	177	33
842	177	33
843	177	32
844	177	32
845	178	32
846	178	32
847	178	32
848	178	31
849	179	31
850	179	31
851	179	31
852	179	30
853	180	30
854	180	30
855	180	30
856	180	30
857	180	29
858	181	29
859	181	29
860	181	29
861	181	29
862	182	28
863	182	28
864	182	28
865	182	28
866	182	28
867	183	27
868	183	27
869	183	27
870	183	27
871	184	27
872	184	26
873	184	26
874	184	26
875	184	26
876	185	25
877	185	25
878	185	25
879	185	25
880	186	25
881	186	24
882	186	24
883	186	24
884	186	24
885	187	24
886	187	23
887	187	23
888	187	23
889	188	23
890	188	23
891	188	22
892	188	22
893	188	22
894	189	22
895	189	21
896	189	21
897	189	21
898	190	21
899	190	21
900	190	20
901	190	20
902	191	20
903	191	20
904	191	20
905	191	19
906	191	19
907	192	19
908	192	19
909	192	19
910	192	18
911	193	18
912	193	18
913	193	18
914	193	17
915	193	17
916	194	17
917	194	17
918	194	17
919	194	16
920	194	16
921	195	16
922	195	16
923	195	16
924	195	15
925	196	15
926	196	15
927	196	15
928	196	15
929	196	14
930	197	14
931	197	14
932	197	14
933	197	13
934	198	13
935	198	13
936	198	13
937	198	13
938	198	12
939	199	12
940	199	12
941	199	12
942	199	12
943	200	11
944	200	11
945	200	11
946	200	11
947	200	11
948	201	10
949	201	10
950	201	10
951	201	10
952	202	9
953	202	9
954	202	9
955	202	9
956	202	9
957	203	8
958	203	8
959	203	8
960	203	8
961	204	8
962	204	7
963	204	7
964	204	7
965	204	7
966	205	7
967	205	6
968	205	6
969	205	6
970	206	6
971	206	5
972	206	5
973	206	5
974	206	5
975	207	5
976	207	4
977	207	4
978	207	4
979	208	4
980	208	4
981	208	3
982	208	3
983	208	3
984	209	3
985	209	2
986	209	2
