dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt
0,0,0,0.0,byplayer,0,0,39,0,0,0.0,OPGG_Dumbo,account.9c454b5621ad412b80d871c4efb50818,0,938.8169,0,0.0,0,1037.324,0,749.0475,4,7,Erangel (Remastered),1615,2020-10-10T12:06:16Z,7,False,as-pcs3kr,2020-09-10T09:30:46Z
0,0,0,58.580547,byplayer,0,0,40,0,0,0.0,OPGG_Ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0,681.517,0,0.0,0,798.658,0,437.60016,6,7,Erangel (Remastered),1615,2020-10-10T12:06:16Z,7,False,as-pcs3kr,2020-09-10T09:30:46Z
1,0,0,188.18146,byplayer,0,0,20,0,1,10.374076,OPGG_Alphaca,account.ab047bbd63a74f58a45f48f73f983767,0,821.7455,0,0.0,0,1041.89,0,634.4655,3,7,Erangel (Remastered),1615,2020-10-10T12:06:16Z,7,False,as-pcs3kr,2020-09-10T09:30:46Z
2,1,2,365.84006,byplayer,0,2,13,0,2,21.658474,OPGG_Silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0,1460.8264,0,0.0,0,1320.007,0,514.0503,4,7,Erangel (Remastered),1615,2020-10-10T12:06:16Z,7,False,as-pcs3kr,2020-09-10T09:30:46Z
0,0,0,0.0,byplayer,0,0,56,0,0,0.0,T1_Rex,account.b6679ea583eb43e7a185ad13136cddc1,0,4027.5044,0,0.0,0,505.542,0,300.853,5,14,Erangel (Remastered),1615,2020-10-10T12:06:16Z,14,False,as-pcs3kr,2020-09-10T09:30:46Z
2,1,1,125.00001,byplayer,0,8,15,0,2,80.134026,T1_Adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0,5878.0723,0,0.0,0,1036.216,0,1218.7671,4,14,Erangel (Remastered),1615,2020-10-10T12:06:16Z,14,False,as-pcs3kr,2020-09-10T09:30:46Z
0,1,0,31.877998,byplayer,0,0,55,0,0,0.0,T1_Starlord,account.12527945e1434dfbbd9a80fbe5084958,0,6454.66,0,0.0,0,851.525,0,721.4822,3,14,Erangel (Remastered),1615,2020-10-10T12:06:16Z,14,False,as-pcs3kr,2020-09-10T09:30:46Z
2,0,3,77.122,byplayer,0,1,16,0,2,95.013275,T1_Akad,account.230b07c87cee4fcf97ed90921bc9faf2,0,5186.5244,0,0.0,0,1028.41,0,1158.9742,4,14,Erangel (Remastered),1615,2020-10-10T12:06:16Z,14,False,as-pcs3kr,2020-09-10T09:30:46Z
1,0,3,177.05457,byplayer,0,7,26,0,1,72.96045,GEN_Pio,account.061986001a9d4609899b0805c327ed04,0,9320.992,0,0.0,0,1120.976,0,1025.7906,6,13,Erangel (Remastered),1615,2020-10-10T12:06:16Z,13,False,as-pcs3kr,2020-09-10T09:30:46Z
0,2,4,291.80664,byplayer,0,8,54,0,0,0.0,GEN_Inonix,account.6b09736098bd494b89f9762db9ff49aa,0,7108.3013,0,0.0,0,1167.991,0,887.09607,5,13,Erangel (Remastered),1615,2020-10-10T12:06:16Z,13,False,as-pcs3kr,2020-09-10T09:30:46Z
1,1,4,126.22507,byplayer,0,9,27,0,1,27.807528,GEN_Loki,account.ad3ba839e5524889ba25a1f3de723a83,1,6583.1904,0,0.0,0,1119.76,0,763.12775,6,13,Erangel (Remastered),1615,2020-10-10T12:06:16Z,13,False,as-pcs3kr,2020-09-10T09:30:46Z
1,0,4,32.380005,byplayer,1,2,28,0,1,8.020757,GEN_Aqua5,account.cf9b1e9caf19449e8b07dbde9217f9fc,0,6388.8613,0,0.0,0,1117.225,0,555.1505,4,13,Erangel (Remastered),1615,2020-10-10T12:06:16Z,13,False,as-pcs3kr,2020-09-10T09:30:46Z
0,0,3,55.2,byplayer,0,1,61,0,0,0.0,VSG_DG98,account.00840193a1ee45bc8c4ca8f91738bcaf,0,8399.543,0,0.0,0,1016.718,0,523.70844,5,16,Erangel (Remastered),1615,2020-10-10T12:06:16Z,16,False,as-pcs3kr,2020-09-10T09:30:46Z
0,0,1,76.31997,byplayer,0,0,63,0,0,0.0,VSG_WICK2D,account.a58f99d89e814dc3801072183dede347,0,7757.412,0,0.0,0,1004.875,0,556.9483,4,16,Erangel (Remastered),1615,2020-10-10T12:06:16Z,16,False,as-pcs3kr,2020-09-10T09:30:46Z
0,0,2,24.019497,byplayer,0,1,64,0,0,0.0,VSG_Hulk,account.41ce362cba7649548457ad6685afc1c1,0,9504.014,0,0.0,0,987.636,0,357.95792,5,16,Erangel (Remastered),1615,2020-10-10T12:06:16Z,16,False,as-pcs3kr,2020-09-10T09:30:46Z
0,0,2,46.21888,byplayer,0,1,62,0,0,0.0,VSG_Foxy,account.e6754a285a2d4071bce0624f15bbcba4,0,7826.3193,0,0.0,0,1016.705,0,413.33203,4,16,Erangel (Remastered),1615,2020-10-10T12:06:16Z,16,False,as-pcs3kr,2020-09-10T09:30:46Z
