,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
79843,2.0,0.0,1.0,178.93283,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,aka,account.b27df02dce6641a894748eaf228dc588,0.0,379.0326,0.0,0.0,0.0,329.364,0.0,548.365,7.0,Miramar,1773.0,2020-07-23 11:10:47+00:00,12.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.1857665,927.3976,0.75
79961,0.0,0.0,6.0,24.0,byplayer,0.0,2.0,52.0,0.0,0.0,0.0,aka,account.b27df02dce6641a894748eaf228dc588,0.0,6841.361,0.0,0.0,0.0,963.136,0.0,484.3193,2.0,Erangel (Remastered),1665.0,2020-07-23 09:42:44+00:00,12.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.57846004,7325.68,0.75
80053,1.0,1.0,8.0,99.42162,byplayer,0.0,4.0,19.0,0.0,1.0,24.9575,aka,account.b27df02dce6641a894748eaf228dc588,1.0,5727.3926,0.0,0.0,0.0,1822.807,0.0,2051.243,6.0,Miramar,1911.0,2020-07-24 09:01:32+00:00,5.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.9538498,7778.6357,0.3125
80319,0.0,0.0,6.0,196.45184,byplayer,0.0,3.0,53.0,0.0,0.0,0.0,aka,account.b27df02dce6641a894748eaf228dc588,0.0,4785.926,0.0,0.0,0.0,1203.464,0.0,1386.0835,2.0,Erangel (Remastered),1751.0,2020-07-24 10:34:41+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.687301,6172.0093,0.8125
80385,0.0,0.0,3.0,113.76098,byplayer,0.0,9.0,59.0,0.0,0.0,0.0,aka,account.b27df02dce6641a894748eaf228dc588,0.0,9454.379,0.0,4.066182,0.0,1049.866,0.0,804.7385,3.0,Erangel (Remastered),1634.0,2020-07-23 09:02:37+00:00,15.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.64251286,10263.184,0.9375
80917,2.0,0.0,4.0,235.27031,byplayer,1.0,1.0,8.0,0.0,3.0,87.59057,aka,account.b27df02dce6641a894748eaf228dc588,1.0,3114.4934,0.0,0.0,0.0,976.662,0.0,1120.6312,6.0,Erangel (Remastered),1525.0,2020-07-24 11:55:19+00:00,14.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.6404341,4235.1245,0.875
81045,2.0,1.0,1.0,331.90018,byzone,1.0,0.0,4.0,0.0,4.0,36.151226,aka,account.b27df02dce6641a894748eaf228dc588,0.0,4398.2183,0.0,0.0,0.0,1148.381,0.0,1365.9039,7.0,Miramar,1765.0,2020-07-23 10:21:43+00:00,11.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.6506408,5764.122,0.6875
81719,0.0,0.0,6.0,23.042503,byplayer,0.0,2.0,56.0,0.0,0.0,0.0,aka,account.b27df02dce6641a894748eaf228dc588,0.0,7820.216,0.0,0.0,0.0,1000.494,0.0,659.1108,5.0,Miramar,1811.0,2020-07-23 12:00:33+00:00,14.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.5524539,8479.326,0.875
81869,0.0,1.0,2.0,116.001045,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,aka,account.b27df02dce6641a894748eaf228dc588,0.0,6711.8364,0.0,0.0,0.0,1250.327,0.0,1553.5637,4.0,Miramar,1825.0,2020-07-24 09:53:46+00:00,11.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.6851107,8265.4,0.6875
81945,0.0,0.0,4.0,337.3871,byplayer,0.0,4.0,46.0,0.0,0.0,0.0,aka,account.b27df02dce6641a894748eaf228dc588,0.0,4518.7876,0.0,0.0,0.0,1156.66,0.0,718.77936,5.0,Erangel (Remastered),1680.0,2020-07-24 11:15:58+00:00,10.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pga,0.6884881,5237.567,0.625
