,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
66544,0.0,1.0,1.0,81.75798,byplayer,0.0,4.0,30.0,0.0,1.0,95.2708,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,0.0,5383.011,0.0,0.0,0.0,998.9,0.0,897.1331,4.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.5777328,6280.1445,0.9375
66619,1.0,0.0,0.0,184.76324,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,0.0,682.1591,0.0,0.0,0.0,941.095,0.0,1062.4067,3.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,13.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.531092,1744.5659,0.8125
66716,0.0,0.0,5.0,117.22096,byplayer,0.0,0.0,45.0,0.0,0.0,0.0,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,1.0,7396.9814,0.0,0.0,0.0,1258.027,0.0,1140.3807,4.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.697741,8537.362,0.625
66782,2.0,0.0,4.0,251.56573,byplayer,1.0,5.0,17.0,0.0,2.0,87.386345,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,0.0,2489.8057,0.0,0.0,0.0,1223.15,0.0,1349.0625,5.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,13.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.67727023,3838.8682,0.8125
66810,1.0,0.0,3.0,100.0,byplayer,0.0,7.0,19.0,0.0,1.0,25.902708,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,0.0,2004.7167,0.0,0.0,0.0,1193.055,0.0,1040.4689,5.0,Erangel (Remastered),1734.0,2020-08-26 13:01:52+00:00,7.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.6880364,3045.1855,0.5
66871,1.0,2.0,0.0,87.77178,byplayer,0.0,1.0,55.0,0.0,0.0,0.0,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,1.0,1432.0847,0.0,0.0,0.0,525.429,0.0,740.6811,6.0,Erangel (Remastered),1799.0,2020-08-26 12:17:46+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.29206726,2172.7659,1.0
66976,2.0,0.0,3.0,263.39975,byplayer,0.0,4.0,11.0,0.0,2.0,60.123066,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,0.0,869.01306,0.0,0.0,0.0,1778.693,0.0,2010.6683,4.0,Erangel (Remastered),1833.0,2020-08-26 11:32:52+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.9703726,2879.6814,0.2142857164144516
67138,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,40.0,0.0,0.0,0.0,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,0.0,1875.8522,0.0,0.0,0.0,420.842,0.0,267.597,4.0,Miramar,1733.0,2020-08-26 10:49:37+00:00,7.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.24284017,2143.4492,0.5
67284,0.0,0.0,6.0,46.8,byzone,0.0,3.0,58.0,0.0,0.0,0.0,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,0.0,3565.6406,0.0,0.0,0.0,984.011,0.0,1365.7211,6.0,Miramar,1791.0,2020-08-26 10:05:01+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.5494199,4931.362,1.0714285373687744
67319,1.0,0.0,6.0,172.77065,byplayer,0.0,0.0,35.0,0.0,0.0,0.0,h0ziboy,account.5f0f2e111af3448caaf4148776eff270,0.0,2657.5923,0.0,0.0,0.0,991.795,0.0,857.1485,5.0,Erangel (Remastered),1752.0,2020-08-24 12:18:19+00:00,8.0,False,kr-lvup,2020-08-24 04:58:46+00:00,gbx,0.566093,3514.7407,0.5
