,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
106091,0.0,0.0,3.0,0.0,byplayer,0.0,2.0,70.0,0.0,0.0,0.0,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,8054.2036,0.0,0.0,0.0,1024.804,0.0,715.146,4.0,Miramar,1862.0,2020-05-18 03:48:47+00:00,12.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,0.5503781,8769.35,0.75
106209,0.0,0.0,2.0,72.8405,byplayer,0.0,2.0,54.0,0.0,0.0,0.0,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,4904.509,0.0,0.0,0.0,984.321,0.0,1675.5986,5.0,Erangel (Remastered),1694.0,2020-05-19 11:55:26+00:00,8.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,0.58106315,6580.1074,0.5
106305,0.0,0.0,5.0,94.85362,byplayer,0.0,2.0,56.0,0.0,0.0,0.0,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,5156.775,0.0,0.0,0.0,1333.516,0.0,1230.2953,4.0,Erangel (Remastered),1630.0,2020-05-18 05:10:57+00:00,6.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,0.81810796,6387.0703,0.375
106351,2.0,0.0,2.0,321.415,byzone,0.0,3.0,23.0,1.0,1.0,85.45113,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,4090.0266,0.0,0.0,0.0,1371.825,0.0,1773.83,4.0,Erangel (Remastered),1778.0,2020-05-18 04:28:14+00:00,9.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,0.77155507,5863.8564,0.5625
106838,3.0,3.0,7.0,707.11224,byplayer,0.0,6.0,18.0,1.0,1.0,313.98196,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,6257.2324,0.0,0.0,0.0,1772.615,0.0,1736.0114,4.0,Miramar,1834.0,2020-05-19 09:41:26+00:00,3.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,0.9665294,7993.2437,0.1875
107445,0.0,0.0,2.0,77.49,byplayer,0.0,1.0,74.0,0.0,0.0,0.0,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,3943.382,0.0,0.0,0.0,843.999,0.0,839.21686,4.0,Miramar,1783.0,2020-05-19 10:31:46+00:00,16.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,0.47335896,4782.599,1.0
107476,0.0,0.0,2.0,92.17494,byplayer,0.0,2.0,18.0,1.0,1.0,34.4276,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,2440.2573,0.0,0.0,0.0,1249.049,1.0,1824.0392,3.0,Miramar,1815.0,2020-05-18 03:09:33+00:00,3.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,0.6881812,4264.2964,0.1875
107800,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,72.0,0.0,0.0,0.0,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,0.0,0.0,0.0,0.0,624.05,0.0,1516.3916,3.0,Sanhok,1411.0,2020-05-19 09:02:24+00:00,15.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,0.442275,1516.3916,0.9375
108026,0.0,0.0,4.0,68.45601,byplayer,0.0,2.0,52.0,0.0,0.0,0.0,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,1.0,2533.3076,0.0,0.0,0.0,1361.8,0.0,2122.2563,4.0,Sanhok,1361.0,2020-05-18 02:32:37+00:00,2.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,1.0,4655.564,0.125
108413,2.0,0.0,5.0,286.19785,byplayer,0.0,3.0,40.0,0.0,0.0,0.0,mxxu,account.dc3035f9d53f4245be3470c24c7b2cae,0.0,7506.6504,0.0,0.0,0.0,1707.87,0.0,881.1093,6.0,Erangel (Remastered),1707.0,2020-05-19 11:14:49+00:00,2.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,nv,1.0,8387.76,0.125
