,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
66439,0.0,0.0,0.0,105.54585,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,692.2573,0.0,0.0,0.0,488.409,0.0,579.3467,2.0,Erangel (Remastered),1759.0,2020-08-25 13:03:05+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.27766287,1271.604,0.9333333373069763
66516,3.0,1.0,6.0,574.0173,byplayer,0.0,1.0,5.0,0.0,3.0,134.61026,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,3352.5366,0.0,0.0,0.0,1762.994,0.0,2333.5554,4.0,Erangel (Remastered),1799.0,2020-08-25 12:17:58+00:00,4.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.97998554,5686.092,0.2666666805744171
66535,2.0,0.0,1.0,215.17068,suicide,1.0,0.0,8.0,0.0,2.0,85.21519,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,1420.9806,0.0,15.812927,1.0,1111.033,0.0,1235.9176,5.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.642587,2672.711,0.625
66639,1.0,0.0,4.0,0.0,byplayer,0.0,7.0,52.0,0.0,0.0,0.0,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,4055.7913,0.0,0.0,0.0,1062.878,0.0,984.91205,5.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.5998183,5040.703,0.75
66678,1.0,1.0,8.0,350.9677,byplayer,0.0,4.0,36.0,0.0,0.0,0.0,poodle,account.3568fb31760c489e9f55013038ca3520,1.0,4870.2383,0.0,0.0,0.0,1542.447,0.0,2087.3018,5.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,6.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.8554892,6957.54,0.375
66764,1.0,0.0,3.0,50.290245,byplayer,0.0,2.0,23.0,0.0,1.0,61.438263,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,6458.3364,0.0,0.0,0.0,801.024,0.0,687.67456,6.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,8.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.44353488,7146.0107,0.5
67022,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,45.0,0.0,0.0,0.0,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,4052.509,0.0,0.0,0.0,991.116,0.0,841.7829,3.0,Erangel (Remastered),1679.0,2020-08-25 11:35:33+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.5903014,4894.292,0.6666666865348816
67079,0.0,0.0,0.0,23.88627,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,3388.5276,0.0,0.0,0.0,1074.683,0.0,814.5469,5.0,Miramar,1825.0,2020-08-25 10:50:37+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.58886737,4203.074,1.0
67199,0.0,0.0,2.0,54.0,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,3276.093,0.0,0.0,0.0,843.846,0.0,947.1724,4.0,Miramar,1858.0,2020-08-25 10:05:16+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.454169,4223.2656,1.0
67355,1.0,0.0,2.0,96.0508,byplayer,0.0,1.0,41.0,0.0,0.0,0.0,poodle,account.3568fb31760c489e9f55013038ca3520,0.0,2447.714,0.0,0.0,0.0,613.289,0.0,555.66846,4.0,Erangel (Remastered),1752.0,2020-08-24 12:18:19+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.3500508,3003.3826,0.625
