,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54958,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,1751.4849,0.0,0.0,0.0,839.522,0.0,743.6716,5.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.45453274,2495.1565,0.875
54993,0.0,2.0,4.0,253.86426,alive,0.0,2.0,6.0,0.0,3.0,200.99907,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,989.3191,0.0,0.0,0.0,1551.815,0.0,1711.7662,8.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,1.0,2701.0854,0.0625
55079,0.0,0.0,4.0,0.0,byplayer,0.0,4.0,37.0,0.0,0.0,0.0,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,10240.887,0.0,0.0,0.0,1655.14,0.0,793.76166,5.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.91901165,11034.648,0.1875
55126,3.0,2.0,7.0,611.9422,byplayer,0.0,6.0,18.0,0.0,1.0,140.08,loki,account.ad3ba839e5524889ba25a1f3de723a83,1.0,3906.2458,0.0,0.0,0.0,1532.798,0.0,2013.8771,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.824972,5920.123,0.1875
55195,0.0,0.0,2.0,30.309254,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,5612.3345,0.0,0.0,0.0,1193.583,0.0,891.9001,4.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.64587826,6504.2344,0.6875
55231,0.0,0.0,3.0,0.0,byplayer,0.0,1.0,45.0,0.0,0.0,0.0,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,4110.744,0.0,0.0,0.0,1571.207,0.0,1151.5101,3.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.8379771,5262.2544,0.4375
55293,0.0,1.0,1.0,0.0,byplayer,0.0,3.0,43.0,0.0,0.0,0.0,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,3640.5874,0.0,0.0,0.0,1262.515,0.0,922.48096,3.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.772653,4563.0684,0.5625
55406,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,3880.9998,0.0,0.0,0.0,999.587,0.0,787.39795,2.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.540902,4668.3975,0.875
55458,1.0,0.0,1.0,55.561375,byplayer,0.0,1.0,31.0,0.0,1.0,134.23994,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,2607.1335,0.0,0.0,0.0,1136.881,0.0,1246.5642,9.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.65413177,3853.6978,0.875
55499,0.0,0.0,5.0,183.60548,byplayer,0.0,3.0,25.0,0.0,1.0,11.605726,loki,account.ad3ba839e5524889ba25a1f3de723a83,0.0,3996.8909,0.0,0.0,0.0,1332.879,0.0,1066.6226,6.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.7193087,5063.5137,0.625
