,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54934,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,48.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,5058.1055,0.0,0.0,0.0,956.944,0.0,964.4035,3.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.5181072,6022.509,0.6875
54997,1.0,1.0,1.0,239.66928,byplayer,1.0,0.0,16.0,0.0,2.0,242.46727,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,2993.4363,0.0,0.0,0.0,1370.067,1.0,1597.8867,7.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.8833443,4591.323,0.4375
55054,2.0,1.0,6.0,419.81848,alive,1.0,2.0,2.0,0.0,5.0,156.79326,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,3522.9517,0.0,0.0,0.0,1801.559,0.0,2198.7073,6.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,1.0,5721.659,0.0625
55143,0.0,0.0,1.0,0.0,byplayer,0.0,1.0,41.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,6130.016,0.0,0.0,0.0,1162.4,0.0,1128.8873,2.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.62561893,7258.9033,0.4375
55184,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,0.0,0.0,0.0,0.0,122.253,0.0,21.726189,1.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.06615422,21.726189,0.5
55246,1.0,1.0,7.0,160.0009,byplayer,1.0,14.0,10.0,0.0,2.0,148.91608,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,1621.01,0.0,0.0,0.0,1778.2,0.0,1957.3314,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.9483733,3578.3413,0.25
55318,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,49.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,6461.3755,0.0,0.0,0.0,1088.643,0.0,1186.2008,4.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.66624415,7647.576,0.6875
55364,1.0,1.0,4.0,240.73521,byplayer,0.0,0.0,27.0,0.0,1.0,23.993176,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,6930.1855,0.0,0.0,0.0,1297.723,1.0,1423.7944,6.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.70223105,8353.98,0.625
55425,1.0,1.0,4.0,280.13492,byzone,0.0,6.0,26.0,0.0,1.0,52.56705,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,2231.5396,0.0,0.0,0.0,1251.256,0.0,1327.8103,4.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.7199401,3559.3499,0.6875
55508,0.0,0.0,3.0,29.353882,byplayer,0.0,2.0,44.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,3660.074,0.0,0.0,0.0,1348.785,0.0,1923.3059,3.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.72789264,5583.38,0.5625
55647,0.0,0.0,4.0,0.0,byplayer,0.0,1.0,50.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,9168.825,0.0,0.0,0.0,1204.562,0.0,708.40344,5.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.74585885,9877.229,0.6875
55679,2.0,2.0,5.0,445.13208,byplayer,0.0,3.0,14.0,0.0,2.0,149.82973,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,1.0,6610.62,0.0,0.0,0.0,1442.232,0.0,1680.7963,3.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.76510984,8291.416,0.4375
55740,1.0,0.0,2.0,98.52676,byplayer,0.0,1.0,22.0,0.0,1.0,74.76991,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,2672.6921,0.0,0.0,0.0,1416.84,0.0,1527.223,3.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.8530042,4199.915,0.375
55798,1.0,2.0,7.0,387.2091,byplayer,0.0,1.0,20.0,0.0,1.0,44.05608,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,1.0,5145.4155,0.0,0.0,0.0,1635.78,0.0,2277.7012,4.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.90524626,7423.1167,0.1875
55912,2.0,0.0,2.0,239.69814,byplayer,0.0,3.0,3.0,0.0,3.0,345.57452,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,3677.4863,0.0,0.0,0.0,1513.511,0.0,1646.391,5.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.82705516,5323.8774,0.125
55951,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,50.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,4553.9365,0.0,0.0,0.0,1124.556,0.0,1340.2277,3.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.605903,5894.164,0.75
56133,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,47.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,6613.7783,0.0,0.0,0.0,932.376,0.0,1125.4493,5.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.50453246,7739.2275,0.6875
56193,1.0,0.0,2.0,168.82423,byplayer,0.0,1.0,35.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,5779.188,0.0,0.0,0.0,1085.811,0.0,1327.042,4.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.5962719,7106.23,0.375
56260,1.0,2.0,4.0,465.89807,byplayer,1.0,1.0,16.0,0.0,1.0,143.84875,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,2326.4385,0.0,0.0,0.0,1669.164,2.0,1874.1138,4.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.98243904,4200.5522,0.125
56368,0.0,2.0,1.0,64.92246,byplayer,0.0,1.0,59.0,0.0,0.0,0.0,yunjong,account.13b9b94545ec4b6a944cd2fd774d71a7,0.0,9060.559,0.0,0.0,0.0,1073.707,0.0,997.22845,3.0,Erangel (Remastered),1790.0,2020-10-10 10:37:31+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.59983635,10057.787,0.875
