,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54947,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,8290.51,0.0,0.0,0.0,652.616,0.0,372.23785,3.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.3533384,8662.748,1.0
55007,2.0,1.0,2.0,216.54868,byplayer,0.0,1.0,24.0,0.0,1.0,93.60963,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,3900.3962,0.0,0.0,0.0,1190.963,0.0,685.87146,4.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.76786786,4586.2676,0.5625
55076,1.0,1.0,4.0,90.67996,byplayer,0.0,3.0,58.0,0.0,0.0,0.0,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,1984.0576,0.0,0.0,0.0,1239.466,0.0,1167.5253,6.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.68820983,3151.583,0.8125
55128,1.0,2.0,3.0,466.6977,byplayer,0.0,5.0,15.0,0.0,1.0,171.01192,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,1.0,2990.11,0.0,0.0,0.0,1847.081,0.0,1827.2621,2.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.9941233,4817.372,0.0625
55205,1.0,0.0,2.0,76.82109,byplayer,0.0,1.0,35.0,0.0,1.0,3.786075,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,2291.6023,0.0,0.0,0.0,815.659,0.0,698.5447,5.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.4413739,2990.147,0.9375
55279,0.0,0.0,2.0,107.36759,byplayer,0.0,2.0,44.0,0.0,0.0,0.0,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,2363.7341,0.0,0.0,0.0,1236.021,0.0,1087.7996,3.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.6592112,3451.5337,0.3125
55329,1.0,2.0,1.0,598.74347,byplayer,1.0,0.0,11.0,0.0,2.0,118.440056,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,2198.4548,0.0,0.0,0.0,1554.368,0.0,1762.8375,3.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.95126563,3961.2925,0.25
55361,2.0,2.0,4.0,439.72842,byplayer,0.0,4.0,12.0,0.0,2.0,246.52736,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,2855.8955,0.0,0.0,0.0,1579.512,0.0,1256.352,7.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.8547143,4112.2476,0.25
55429,0.0,0.0,1.0,0.0,byplayer,0.0,1.0,40.0,0.0,0.0,0.0,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,8923.928,0.0,0.0,0.0,1265.459,0.0,1264.0894,3.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.72811216,10188.018,0.4375
55489,1.0,0.0,2.0,75.94518,byplayer,0.0,0.0,31.0,0.0,1.0,20.208168,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,2643.2793,0.0,0.0,0.0,976.082,0.0,911.19635,5.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.52675766,3554.4756,0.875
55604,2.0,1.0,1.0,125.00001,byplayer,0.0,8.0,15.0,0.0,2.0,80.134026,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,5878.0723,0.0,0.0,0.0,1036.216,0.0,1218.7671,4.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.6416198,7096.8394,0.875
55702,1.0,1.0,3.0,385.2133,byplayer,0.0,5.0,7.0,0.0,3.0,171.09956,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,1045.7555,0.0,0.0,0.0,1399.744,0.0,2283.2693,5.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.74256974,3329.025,0.625
55736,0.0,0.0,1.0,65.30119,byplayer,0.0,0.0,27.0,0.0,1.0,209.87003,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,7577.757,0.0,0.0,0.0,985.72,0.0,556.57227,3.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.5934497,8134.329,0.5625
55855,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,32.0,0.0,0.0,0.0,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,845.7862,0.0,0.0,0.0,416.939,0.0,394.59958,4.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.23073547,1240.3857,0.25
55896,0.0,0.0,0.0,102.81,byplayer,0.0,0.0,50.0,0.0,0.0,0.0,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,2707.382,0.0,0.0,0.0,810.429,0.0,1140.6901,6.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.44285738,3848.0723,0.625
55940,0.0,0.0,2.0,70.55434,byplayer,0.0,2.0,51.0,0.0,0.0,0.0,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,6194.0312,0.0,0.0,0.0,1036.306,0.0,869.90466,7.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.55835456,7063.936,0.8125
56144,0.0,0.0,2.0,0.0,byplayer,0.0,3.0,55.0,0.0,0.0,0.0,adder,account.513e0ba3d58b44e9bd7ce2ec091c3798,0.0,5761.321,0.0,0.0,0.0,1111.755,0.0,637.7469,2.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.60159904,6399.068,0.875
