,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54919,1.0,3.0,2.0,395.46014,byplayer,0.0,1.0,18.0,0.0,1.0,4.502374,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,0.0,1881.8176,0.0,0.0,0.0,1847.545,0.0,1506.0413,7.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,1.0,3387.859,0.125
54988,2.0,1.0,3.0,386.16888,byplayer,1.0,5.0,13.0,0.0,2.0,244.03766,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,0.0,2081.973,0.0,0.0,0.0,1498.792,0.0,1403.5625,5.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.9663391,3485.5354,0.3125
55068,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,0.0,5703.906,0.0,0.0,0.0,1098.276,0.0,993.2464,4.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.6098145,6697.1523,0.6875
55136,0.0,0.0,0.0,78.659996,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,0.0,2413.0398,0.0,0.0,0.0,376.239,0.0,181.41621,3.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.20249678,2594.456,1.0
55176,1.0,1.0,4.0,288.33072,byplayer,0.0,7.0,14.0,0.0,1.0,11.643798,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,1.0,8282.809,0.0,0.0,0.0,1845.78,0.0,1241.5066,6.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.9987987,9524.315,0.0625
55260,2.0,0.0,1.0,559.17334,alive,1.0,1.0,2.0,0.0,4.0,116.28769,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,0.0,4833.3135,0.0,0.0,0.0,1875.255,0.0,1600.0211,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,1.0,6433.3345,0.0625
55340,0.0,2.0,3.0,425.42505,byplayer,0.0,1.0,31.0,0.0,0.0,0.0,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,0.0,2116.7554,0.0,0.0,0.0,1626.63,0.0,1667.973,6.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.9954896,3784.7285,0.125
55408,1.0,0.0,3.0,155.9207,byplayer,0.0,5.0,25.0,0.0,1.0,2.7879395,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,1.0,4091.1963,0.0,0.0,0.0,1322.139,0.0,1011.9751,4.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.7154432,5103.1714,0.5
55439,0.0,0.0,2.0,72.336525,byplayer,0.0,11.0,46.0,0.0,0.0,0.0,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,1.0,4429.1006,0.0,0.0,0.0,1320.463,0.0,1244.3021,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.7597601,5673.403,0.625
55506,5.0,1.0,6.0,350.71365,byplayer,3.0,10.0,5.0,0.0,4.0,314.39633,dg98,account.00840193a1ee45bc8c4ca8f91738bcaf,0.0,5233.1055,0.0,0.0,0.0,1682.328,0.0,1036.3972,6.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.90789425,6269.503,0.25
