,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54961,1.0,2.0,5.0,106.345215,byzone,0.0,3.0,24.0,0.0,1.0,23.155794,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,2.0,6716.5825,0.0,0.0,0.0,1480.733,0.0,1179.5641,6.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.8016963,7896.1465,0.375
54986,0.0,0.0,2.0,62.04,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,0.0,3447.1794,0.0,0.0,0.0,816.236,0.0,1100.2139,4.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.52626437,4547.3936,1.0
55369,0.0,0.0,3.0,32.685963,byplayer,0.0,2.0,50.0,0.0,0.0,0.0,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,0.0,2554.9912,0.0,0.0,0.0,927.584,0.0,833.73376,4.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.50193936,3388.725,0.75
55712,1.0,1.0,4.0,244.38162,byplayer,1.0,6.0,21.0,0.0,1.0,4.460392,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,3.0,2811.3296,0.0,0.0,0.0,1666.954,0.0,1457.9233,3.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.88432574,4269.253,0.3125
55749,1.0,1.0,6.0,346.859,byplayer,0.0,5.0,14.0,0.0,2.0,15.3258095,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,0.0,6526.6357,0.0,0.0,0.0,1303.025,0.0,926.17163,4.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.78448224,7452.8076,0.6875
56404,0.0,0.0,4.0,0.0,byplayer,0.0,1.0,35.0,0.0,0.0,0.0,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,0.0,2672.222,0.0,0.0,0.0,1733.513,0.0,2058.1921,3.0,Erangel (Remastered),1858.0,2020-10-09 10:32:08+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.93299943,4730.414,0.1875
56446,1.0,0.0,2.0,170.63737,byplayer,0.0,3.0,23.0,0.0,1.0,356.87067,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,0.0,4081.7168,0.0,0.0,0.0,1517.409,0.0,931.45526,4.0,Miramar,1778.0,2020-10-09 08:53:09+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.85343593,5013.172,0.3125
56517,0.0,2.0,5.0,414.99936,byplayer,0.0,3.0,33.0,0.0,0.0,0.0,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,0.0,3333.2012,0.0,0.0,0.0,1744.676,0.0,1631.1083,5.0,Erangel (Remastered),1744.0,2020-09-26 09:35:43+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,1.0,4964.3096,0.125
56925,0.0,0.0,2.0,71.70685,byplayer,0.0,1.0,63.0,0.0,0.0,0.0,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,0.0,4412.3193,0.0,0.0,0.0,1105.197,0.0,1345.4022,7.0,Erangel (Remastered),1711.0,2020-10-09 12:02:19+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.6459363,5757.7217,1.0
57095,0.0,1.0,0.0,0.0,byplayer,0.0,0.0,39.0,0.0,0.0,0.0,dowon,account.51f152b5b15f4e5ca788bffa413a9b8f,0.0,4504.9014,0.0,0.0,0.0,836.921,0.0,708.5203,3.0,Erangel (Remastered),1729.0,2020-09-26 08:53:15+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.48404917,5213.422,0.25
