,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54962,1.0,1.0,3.0,100.0,byplayer,0.0,1.0,23.0,0.0,1.0,142.11983,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,7420.554,0.0,0.0,0.0,1496.778,0.0,1057.2566,7.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.8103833,8477.811,0.375
55062,0.0,1.0,4.0,107.33357,byplayer,0.0,1.0,46.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,2577.863,0.0,0.0,0.0,1239.531,0.0,1096.8118,5.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.68824595,3674.6748,0.5
55108,1.0,0.0,3.0,110.64168,suicide,0.0,0.0,23.0,0.0,1.0,35.289745,kali,account.878e8d586fb34fa5b9451b5604a2fc09,1.0,3099.0254,0.0,0.0,1.0,1463.775,1.0,1854.8036,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.78782296,4953.829,0.375
55217,0.0,0.0,0.0,91.08,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,3497.7178,0.0,0.0,0.0,344.73,0.0,235.05011,3.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.18654221,3732.7678,0.875
55265,2.0,1.0,8.0,611.607,byplayer,0.0,12.0,13.0,0.0,2.0,188.12453,kali,account.878e8d586fb34fa5b9451b5604a2fc09,2.0,2563.2156,0.0,0.0,0.0,1649.906,0.0,2363.406,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.87994987,4926.6216,0.375
55301,2.0,0.0,7.0,259.93677,byplayer,0.0,3.0,13.0,0.0,2.0,19.351744,kali,account.878e8d586fb34fa5b9451b5604a2fc09,1.0,2092.373,0.0,0.0,0.0,1315.829,0.0,1210.2366,5.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.80528086,3302.6096,0.5
55367,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,2426.545,0.0,0.0,0.0,317.744,0.0,167.1662,2.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.17193939,2593.7112,0.75
55459,0.0,0.0,3.0,35.421555,byplayer,0.0,2.0,52.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,7525.949,0.0,0.0,0.0,1217.237,0.0,995.3161,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.70036656,8521.266,0.8125
55494,0.0,0.0,3.0,0.0,byplayer,0.0,1.0,51.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,2807.4297,0.0,0.0,0.0,1152.379,0.0,927.24615,6.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.62189907,3734.6758,0.75
55651,0.0,0.0,1.0,42.375465,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,7889.089,0.0,0.0,0.0,1019.392,0.0,715.4609,3.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.6312025,8604.55,0.9375
55849,2.0,0.0,6.0,133.77965,byplayer,0.0,1.0,34.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,2410.462,0.0,0.0,0.0,1388.385,0.0,1158.1954,3.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.768337,3568.6572,0.3125
55860,0.0,0.0,3.0,0.0,byplayer,0.0,5.0,61.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,6724.1836,0.0,0.0,0.0,998.494,0.0,1255.0199,6.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.54562515,7979.2036,0.9375
55932,1.0,0.0,2.0,66.0,byplayer,0.0,0.0,22.0,0.0,1.0,21.40454,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,6849.629,0.0,0.0,0.0,1181.633,0.0,1082.472,4.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.63665575,7932.101,0.375
56157,0.0,0.0,1.0,36.03404,byplayer,0.0,1.0,62.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,4916.8145,0.0,0.0,0.0,889.277,0.0,480.52597,4.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.4812105,5397.3403,1.0
56240,2.0,2.0,3.0,210.24269,byplayer,0.0,2.0,17.0,0.0,1.0,284.04855,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,2836.4768,0.0,0.0,0.0,1664.103,0.0,1959.4178,3.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.91384023,4795.8945,0.125
56283,0.0,0.0,6.0,0.0,byplayer,0.0,3.0,44.0,0.0,0.0,0.0,kali,account.878e8d586fb34fa5b9451b5604a2fc09,0.0,6945.317,0.0,0.0,0.0,1428.628,1.0,1153.9315,5.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.84086406,8099.2485,0.5625
