,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55597,0.0,2.0,6.0,279.5281,alive,0.0,2.0,15.0,0.0,1.0,53.43267,laura,account.d54baefb41304d5289d3b00e74b48d37,0.0,8770.928,0.0,0.0,0.0,1733.113,1.0,1305.2417,4.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,1.0,10076.17,0.0625
55992,1.0,0.0,2.0,454.90845,byplayer,0.0,1.0,10.0,0.0,2.0,85.21274,laura,account.d54baefb41304d5289d3b00e74b48d37,1.0,2707.15,0.0,0.0,0.0,1568.931,0.0,1116.7128,4.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.8894167,3823.8628,0.3125
56103,3.0,3.0,1.0,328.93616,alive,0.0,0.0,7.0,0.0,2.0,20.99625,laura,account.d54baefb41304d5289d3b00e74b48d37,0.0,8955.84,0.0,0.0,0.0,1888.18,0.0,912.83374,2.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,1.0,9868.674,0.0625
56566,3.0,0.0,6.0,542.77765,byplayer,0.0,5.0,8.0,0.0,3.0,190.9689,laura,account.d54baefb41304d5289d3b00e74b48d37,0.0,4957.9976,0.0,7.287482,0.0,1214.251,2.0,1438.1669,4.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.74084866,6403.452,0.8125
56643,1.0,0.0,10.0,151.13419,byplayer,1.0,4.0,15.0,0.0,2.0,69.34142,laura,account.d54baefb41304d5289d3b00e74b48d37,0.0,7719.706,0.0,0.0,0.0,1282.995,0.0,1355.4889,6.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.76051867,9075.195,0.5625
56750,0.0,1.0,6.0,129.74791,byplayer,0.0,2.0,16.0,0.0,1.0,57.562008,laura,account.d54baefb41304d5289d3b00e74b48d37,0.0,5608.7944,0.0,0.0,0.0,1554.501,0.0,946.3736,8.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.8513149,6555.168,0.375
57223,1.0,0.0,8.0,285.11838,byplayer,0.0,4.0,23.0,0.0,1.0,138.48537,laura,account.d54baefb41304d5289d3b00e74b48d37,1.0,3315.355,0.0,0.0,0.0,1468.741,0.0,888.0162,8.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.8056725,4203.371,0.5625
57306,0.0,1.0,6.0,25.380001,byplayer,0.0,6.0,75.0,0.0,0.0,0.0,laura,account.d54baefb41304d5289d3b00e74b48d37,0.0,9141.577,0.0,0.0,0.0,881.915,0.0,573.2824,6.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.47645324,9714.859,1.0
57362,1.0,0.0,3.0,227.6,byplayer,1.0,2.0,12.0,0.0,2.0,45.837746,laura,account.d54baefb41304d5289d3b00e74b48d37,0.0,2570.401,0.0,0.0,0.0,1368.859,0.0,735.39874,3.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.7562757,3305.7996,0.5
57436,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,67.0,0.0,0.0,0.0,laura,account.d54baefb41304d5289d3b00e74b48d37,0.0,1.4695199,0.0,0.0,0.0,113.703,0.0,99.613075,0.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.06508472,101.082596,1.0
