,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55599,0.0,0.0,3.0,151.98447,byplayer,0.0,0.0,11.0,0.0,2.0,348.00443,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,0.0,0.0,0.0,0.0,701.111,0.0,1846.3386,4.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.40456492,1846.3386,0.75
56018,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,69.0,0.0,0.0,0.0,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,4093.165,0.0,0.0,0.0,808.576,0.0,514.74365,7.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.4583764,4607.9087,0.9375
56072,2.0,1.0,4.0,360.48355,byplayer,1.0,1.0,22.0,0.0,1.0,92.031494,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,6026.6265,0.0,0.0,0.0,1460.684,1.0,1848.9359,4.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.77366734,7875.5625,0.4375
56611,1.0,1.0,0.0,180.04001,byplayer,0.0,0.0,29.0,0.0,1.0,14.328977,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,3467.1216,0.0,0.0,0.0,370.323,0.0,149.6586,3.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.22594447,3616.7803,0.875
56670,0.0,0.0,1.0,163.53,byplayer,0.0,2.0,72.0,0.0,0.0,0.0,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,4078.2834,0.0,0.0,0.0,747.725,0.0,957.10156,2.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.44322762,5035.385,1.0
56729,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,1689.4137,0.0,0.0,0.0,633.086,0.0,765.9102,3.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.34670645,2455.324,0.8125
57258,1.0,0.0,4.0,125.554,byplayer,0.0,1.0,58.0,0.0,0.0,0.0,yun,account.b9ec05a8ff6d4b899585e991dec0df94,3.0,2470.04,0.0,0.0,0.0,1394.936,0.0,2059.578,5.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.7651871,4529.618,0.6875
57289,0.0,0.0,2.0,86.151535,byplayer,0.0,0.0,72.0,0.0,0.0,0.0,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,1786.6273,0.0,0.0,0.0,1025.127,0.0,1485.4469,4.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.5538233,3272.0742,0.9375
57376,0.0,0.0,5.0,46.82193,byplayer,0.0,0.0,75.0,0.0,0.0,0.0,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,5799.6235,0.0,0.0,0.0,941.277,0.0,976.1778,3.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.52004254,6775.8013,1.0
57407,0.0,0.0,0.0,0.0,byplayer,0.0,1.0,37.0,0.0,0.0,0.0,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,2259.5474,0.0,0.0,0.0,1220.774,0.0,1771.8333,2.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.6987831,4031.3806,0.1875
66566,1.0,0.0,6.0,158.79951,byplayer,0.0,6.0,19.0,0.0,1.0,100.22043,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,4206.421,0.0,0.0,0.0,1470.988,0.0,2403.4272,7.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,4.0,False,kr-lvup,2020-08-24 04:58:46+00:00,elr,0.8507739,6609.848,0.25
66601,0.0,4.0,5.0,444.60034,byplayer,1.0,10.0,5.0,0.0,3.0,138.84676,yun,account.b9ec05a8ff6d4b899585e991dec0df94,1.0,961.5828,0.0,0.0,0.0,1772.248,1.0,2306.8364,5.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,2.0,False,kr-lvup,2020-08-24 04:58:46+00:00,elr,1.0,3268.4192,0.125
66713,1.0,0.0,5.0,296.49124,byplayer,0.0,5.0,10.0,0.0,2.0,209.74359,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,1510.1008,0.0,0.0,0.0,1689.009,0.0,2916.132,6.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,elr,0.93677706,4426.233,0.1875
66739,1.0,0.0,5.0,74.19659,byplayer,1.0,4.0,29.0,0.0,1.0,25.004967,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,5507.1846,0.0,0.0,0.0,1058.586,0.0,1102.7543,5.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,elr,0.5861495,6609.939,0.875
66822,0.0,0.0,1.0,113.160736,byplayer,0.0,3.0,50.0,0.0,0.0,0.0,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,1417.8884,0.0,0.0,0.0,975.21,0.0,1975.0172,4.0,Erangel (Remastered),1734.0,2020-08-26 13:01:52+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,elr,0.5624049,3392.9058,0.8571428656578064
66920,1.0,0.0,0.0,144.65,byplayer,0.0,0.0,29.0,0.0,1.0,38.05995,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,0.0,0.0,0.0,0.0,129.613,0.0,22.553076,1.0,Erangel (Remastered),1799.0,2020-08-26 12:17:46+00:00,11.0,False,kr-lvup,2020-08-24 04:58:46+00:00,elr,0.07204725,22.553076,0.7857142686843872
66928,0.0,1.0,3.0,159.30067,byplayer,0.0,1.0,16.0,0.0,1.0,100.06418,yun,account.b9ec05a8ff6d4b899585e991dec0df94,0.0,3219.0344,0.0,0.0,0.0,1451.294,0.0,2196.5396,3.0,Erangel (Remastered),1833.0,2020-08-26 11:32:52+00:00,1.0,True,kr-lvup,2020-08-24 04:58:46+00:00,elr,0.79175884,5415.574,0.0714285746216774
