,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55013,1.0,0.0,6.0,12.755747,byplayer,1.0,0.0,26.0,0.0,1.0,301.11575,akan,account.bbc027fdc5c1433da8e653519b0f703d,0.0,5334.513,0.0,0.0,0.0,1220.234,0.0,1688.3584,5.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.7867402,7022.8716,0.625
55066,2.0,2.0,4.0,495.5169,byplayer,0.0,0.0,10.0,0.0,2.0,308.62595,akan,account.bbc027fdc5c1433da8e653519b0f703d,2.0,1034.4901,0.0,0.0,0.0,1490.528,0.0,1358.3796,7.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.8276113,2392.8696,0.4375
55098,2.0,0.0,5.0,126.94,byplayer,0.0,0.0,34.0,0.0,1.0,32.516994,akan,account.bbc027fdc5c1433da8e653519b0f703d,0.0,4603.9634,0.0,0.0,0.0,1104.762,0.0,1014.95044,6.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.5945974,5618.914,0.875
55181,0.0,1.0,0.0,64.17,byplayer,0.0,0.0,42.0,0.0,0.0,0.0,akan,account.bbc027fdc5c1433da8e653519b0f703d,0.0,1114.4858,0.0,0.0,0.0,1240.22,0.0,1450.8252,4.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.6711147,2565.311,0.3125
55221,1.0,1.0,4.0,119.425865,byplayer,1.0,0.0,28.0,0.0,1.0,30.0958,akan,account.bbc027fdc5c1433da8e653519b0f703d,0.0,2909.6304,0.0,0.0,0.0,1006.64,0.0,1315.0869,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.53687465,4224.7173,0.8125
55449,0.0,1.0,7.0,57.6,byplayer,0.0,1.0,44.0,0.0,0.0,0.0,akan,account.bbc027fdc5c1433da8e653519b0f703d,1.0,7501.2505,0.0,0.0,0.0,1453.54,0.0,1404.425,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.83632916,8905.676,0.5625
55525,0.0,0.0,6.0,161.9862,byplayer,0.0,2.0,38.0,0.0,0.0,0.0,akan,account.bbc027fdc5c1433da8e653519b0f703d,0.0,3093.6782,0.0,0.0,0.0,1468.289,0.0,1704.8135,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.79238474,4798.4917,0.375
55564,1.0,0.0,2.0,114.31762,byplayer,0.0,1.0,12.0,0.0,2.0,117.695915,akan,account.bbc027fdc5c1433da8e653519b0f703d,0.0,1587.1711,0.0,0.0,0.0,612.332,0.0,876.83203,6.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,bj,0.3533364,2464.0032,0.875
55689,1.0,1.0,5.0,55.26615,byzone,0.0,2.0,51.0,0.0,0.0,0.0,akan,account.bbc027fdc5c1433da8e653519b0f703d,0.0,3050.2502,0.0,0.0,0.0,1301.834,0.0,1022.1855,4.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.6906281,4072.4358,0.6875
55765,1.0,0.0,5.0,163.35092,byplayer,0.0,3.0,31.0,0.0,1.0,26.387733,akan,account.bbc027fdc5c1433da8e653519b0f703d,0.0,4321.13,0.0,0.0,0.0,1240.209,0.0,1402.509,4.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,kp,0.74666405,5723.6387,0.8125
