,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54917,3.0,3.0,10.0,691.0802,byplayer,2.0,3.0,2.0,0.0,5.0,256.55023,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,1.0,5515.016,0.0,0.0,0.0,1656.713,0.0,1933.1545,4.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.8969751,7448.171,0.0625
54979,0.0,0.0,5.0,57.96,byplayer,0.0,2.0,56.0,0.0,0.0,0.0,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,9444.115,0.0,0.0,0.0,1122.548,0.0,859.0178,4.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.72375757,10303.133,0.875
55040,3.0,0.0,8.0,700.40247,byplayer,2.0,3.0,5.0,0.0,3.0,91.28101,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,2.0,9497.941,0.0,0.0,0.0,1565.172,1.0,1933.2234,3.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.8690572,11431.165,0.25
55142,0.0,0.0,4.0,0.0,byplayer,0.0,3.0,57.0,0.0,0.0,0.0,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,3997.0264,0.0,0.0,0.0,1069.265,0.0,1202.0287,3.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.5754925,5199.055,0.9375
55207,0.0,1.0,0.0,76.66797,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,0.0,0.0,0.0,0.0,220.648,0.0,235.69637,2.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.119398266,235.69637,1.0
55225,0.0,1.0,4.0,395.22202,byplayer,0.0,1.0,49.0,0.0,0.0,0.0,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,1.0,1561.9592,0.0,0.0,0.0,1473.803,0.0,2025.9905,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.78602827,3587.9497,0.5
55284,1.0,2.0,3.0,853.7847,alive,0.0,1.0,2.0,0.0,3.0,232.30322,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,7755.6743,0.0,0.0,0.0,1634.012,0.0,2008.48,5.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,1.0,9764.154,0.0625
55381,0.0,0.0,3.0,165.82988,byzone,0.0,0.0,45.0,0.0,0.0,0.0,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,4927.775,0.0,0.0,0.0,1317.508,0.0,1229.4275,3.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.71293724,6157.202,0.5625
55464,1.0,1.0,9.0,382.58978,byplayer,1.0,3.0,7.0,0.0,3.0,275.3826,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,7487.7305,0.0,0.0,0.0,1588.3,0.0,1322.3784,6.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.9138665,8810.109,0.375
55479,1.0,1.0,7.0,225.2864,byplayer,0.0,3.0,13.0,0.0,2.0,434.96753,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,8481.292,0.0,0.0,0.0,1477.357,0.0,2400.5112,3.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.7972785,10881.803,0.4375
55621,4.0,0.0,5.0,454.39447,byzone,3.0,0.0,3.0,0.0,5.0,71.47353,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,8603.921,0.0,0.0,0.0,1258.082,0.0,1488.1536,3.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.77899814,10092.074,0.5
55668,0.0,0.0,3.0,60.42,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,12461.067,0.0,0.0,0.0,1097.3,0.0,942.9529,2.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.582122,13404.0205,0.875
55744,3.0,2.0,4.0,489.0646,byplayer,0.0,0.0,3.0,0.0,3.0,219.40173,2heart,account.b7474caa1b034e43909cd9bfb4e42f9f,0.0,3494.001,0.0,0.0,0.0,1335.508,0.0,1457.5469,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.8040386,4951.548,0.4375
