,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54953,0.0,1.0,2.0,193.65958,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,5279.413,0.0,0.0,0.0,1170.922,0.0,974.4118,6.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.6339589,6253.8247,0.5625
54968,1.0,1.0,4.0,221.47446,byplayer,0.0,2.0,31.0,0.0,0.0,0.0,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,1.0,3288.4185,0.0,0.0,0.0,1241.615,0.0,1367.2183,5.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.8005255,4655.6367,0.125
55037,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,3434.835,0.0,0.0,0.0,1004.159,0.0,833.5564,7.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.55755633,4268.3916,0.625
55099,0.0,0.0,4.0,65.82849,byplayer,0.0,3.0,43.0,0.0,0.0,0.0,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,4252.658,0.0,0.0,0.0,1408.092,0.0,1472.0066,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.7578536,5724.665,0.5
55212,1.0,2.0,3.0,91.62669,byplayer,0.0,2.0,23.0,0.0,1.0,333.40097,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,928.9454,0.0,0.0,0.0,1433.35,0.0,1146.7738,3.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.7756223,2075.7192,0.4375
55241,0.0,0.0,1.0,64.60884,byplayer,0.0,1.0,64.0,0.0,0.0,0.0,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,5872.4595,0.0,0.0,0.0,994.86,0.0,802.28357,2.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.53059196,6674.743,0.9375
55323,0.0,0.0,3.0,107.17129,byplayer,0.0,2.0,37.0,0.0,0.0,0.0,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,5224.1606,0.0,0.0,0.0,1265.394,0.0,1134.7256,4.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.77441496,6358.886,0.375
55386,1.0,0.0,6.0,200.0,byplayer,1.0,9.0,20.0,0.0,1.0,30.602144,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,2965.019,0.0,0.0,0.0,1480.313,0.0,1328.7601,6.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.80103517,4293.7793,0.3125
55474,1.0,0.0,7.0,140.62524,byplayer,0.0,5.0,41.0,0.0,0.0,0.0,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,6234.926,0.0,0.0,0.0,1478.615,0.0,1248.4165,8.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.8507566,7483.3423,0.5
55530,5.0,1.0,9.0,425.9436,byplayer,0.0,1.0,1.0,0.0,5.0,352.98883,ayoh,account.038ffdfe83cc432a8aa198f999cd48a2,0.0,4707.2715,0.0,0.0,0.0,1784.33,0.0,1420.1321,3.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.96294117,6127.4033,0.125
