,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54938,1.0,1.0,2.0,216.47804,byplayer,0.0,2.0,52.0,0.0,0.0,0.0,indigo,account.14131a59e3f54d83b70d00a76b196b2c,1.0,4256.6035,0.0,0.0,0.0,861.085,0.0,980.1721,4.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.46620739,5236.7754,0.75
54976,0.0,2.0,3.0,134.16615,byzone,0.0,5.0,32.0,0.0,0.0,0.0,indigo,account.14131a59e3f54d83b70d00a76b196b2c,0.0,3462.9814,0.0,0.0,0.0,1497.488,0.0,1826.5132,6.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9654984,5289.4946,0.1875
55090,1.0,0.0,3.0,126.91403,byplayer,0.0,3.0,32.0,0.0,1.0,50.25532,indigo,account.14131a59e3f54d83b70d00a76b196b2c,0.0,3997.1597,0.0,0.0,0.0,986.402,0.0,1035.1316,3.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.5476968,5032.291,0.9375
55122,0.0,3.0,6.0,220.81866,byplayer,1.0,3.0,10.0,0.0,2.0,144.9743,indigo,account.14131a59e3f54d83b70d00a76b196b2c,0.0,3151.1006,0.0,0.0,0.0,1843.466,1.0,1031.0771,3.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9921776,4182.1777,0.125
55188,0.0,0.0,0.0,0.0,byplayer,0.0,1.0,37.0,0.0,0.0,0.0,indigo,account.14131a59e3f54d83b70d00a76b196b2c,0.0,582.1941,0.0,0.0,0.0,548.289,0.0,529.34973,2.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.29669318,1111.5438,0.125
55274,1.0,0.0,4.0,136.07497,byplayer,1.0,4.0,7.0,0.0,2.0,239.63309,indigo,account.14131a59e3f54d83b70d00a76b196b2c,0.0,1927.1548,0.0,0.0,0.0,1875.091,0.0,2915.8726,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,4843.0273,0.125
55335,2.0,0.0,3.0,200.0,byplayer,1.0,0.0,17.0,0.0,2.0,118.78873,indigo,account.14131a59e3f54d83b70d00a76b196b2c,0.0,1624.3291,0.0,0.0,0.0,1081.865,0.0,1239.9575,3.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.6620961,2864.2866,0.8125
55389,1.0,0.0,1.0,238.50665,byplayer,0.0,0.0,14.0,0.0,2.0,319.33276,indigo,account.14131a59e3f54d83b70d00a76b196b2c,0.0,2019.9027,0.0,0.0,0.0,1397.7,0.0,1524.6624,2.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.75633115,3544.565,0.375
55467,2.0,1.0,6.0,236.36072,byplayer,0.0,4.0,6.0,0.0,3.0,283.7143,indigo,account.14131a59e3f54d83b70d00a76b196b2c,0.0,7027.698,0.0,0.0,0.0,1628.966,0.0,1863.3275,4.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9372646,8891.025,0.25
55511,3.0,2.0,6.0,526.0244,byplayer,0.0,5.0,2.0,0.0,5.0,316.16388,indigo,account.14131a59e3f54d83b70d00a76b196b2c,2.0,898.3449,0.0,0.0,0.0,1853.441,0.0,2022.3608,5.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,2920.7058,0.1875
