,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54937,0.0,2.0,0.0,107.600006,byplayer,0.0,1.0,51.0,0.0,0.0,0.0,kayle,account.44fb31ca3b574634af60b4791b85234f,0.0,5476.949,0.0,0.0,0.0,874.212,0.0,720.47845,6.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.47331455,6197.4277,0.75
54978,2.0,1.0,6.0,429.88113,byplayer,1.0,3.0,10.0,0.0,2.0,86.549904,kayle,account.44fb31ca3b574634af60b4791b85234f,1.0,2532.5098,0.0,0.0,0.0,1529.504,0.0,1847.5908,5.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.98614055,4380.1006,0.1875
55087,1.0,0.0,2.0,184.61055,byplayer,0.0,0.0,31.0,0.0,1.0,12.705025,kayle,account.44fb31ca3b574634af60b4791b85234f,0.0,3191.1765,0.0,0.0,0.0,1017.045,0.0,999.7829,4.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.5647113,4190.9595,0.9375
55121,0.0,1.0,4.0,285.15363,byplayer,0.0,6.0,35.0,0.0,0.0,0.0,kayle,account.44fb31ca3b574634af60b4791b85234f,0.0,1646.5759,0.0,0.0,0.0,1456.532,0.0,1056.7742,2.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.78392464,2703.35,0.125
55189,3.0,0.0,0.0,538.1605,byplayer,0.0,0.0,16.0,0.0,1.0,23.055035,kayle,account.44fb31ca3b574634af60b4791b85234f,0.0,1128.0669,0.0,0.0,0.0,1848.078,0.0,1619.3235,5.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,2747.3904,0.125
55273,1.0,1.0,2.0,436.50076,suicide,1.0,4.0,4.0,0.0,3.0,281.93558,kayle,account.44fb31ca3b574634af60b4791b85234f,1.0,2975.4988,0.0,0.0,1.0,1875.07,0.0,2776.6719,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,5752.171,0.125
55336,2.0,1.0,5.0,346.5478,byplayer,1.0,3.0,16.0,0.0,2.0,162.37099,kayle,account.44fb31ca3b574634af60b4791b85234f,0.0,2516.0547,0.0,0.0,0.0,1117.689,0.0,1053.215,3.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.68402016,3569.2695,0.8125
55388,3.0,2.0,5.0,412.3185,byplayer,0.0,8.0,5.0,0.0,3.0,327.87238,kayle,account.44fb31ca3b574634af60b4791b85234f,2.0,1923.7993,0.0,0.0,0.0,1482.018,0.0,1263.0668,4.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.8019578,3186.8662,0.375
55468,1.0,0.0,5.0,276.5328,byplayer,0.0,0.0,20.0,0.0,1.0,115.83094,kayle,account.44fb31ca3b574634af60b4791b85234f,0.0,8571.012,0.0,0.0,0.0,1625.407,0.0,1148.257,2.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9352169,9719.269,0.25
55513,4.0,0.0,3.0,511.75027,byplayer,0.0,4.0,4.0,0.0,4.0,320.9094,kayle,account.44fb31ca3b574634af60b4791b85234f,1.0,1908.5223,0.0,0.0,0.0,1719.64,0.0,1898.6779,6.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.92803025,3807.2002,0.1875
55616,1.0,1.0,7.0,235.80994,alive,0.0,4.0,29.0,0.0,0.0,0.0,kayle,account.44fb31ca3b574634af60b4791b85234f,0.0,1776.4558,0.0,0.0,0.0,1615.864,0.0,2068.2173,4.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,3844.673,0.0625
55696,5.0,3.0,6.0,641.8851,byplayer,0.0,8.0,5.0,0.0,3.0,230.5475,kayle,account.44fb31ca3b574634af60b4791b85234f,1.0,2474.8252,0.0,0.0,0.0,1881.681,0.0,2767.2402,4.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9982393,5242.0654,0.1875
