,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54916,2.0,3.0,7.0,371.83914,alive,0.0,2.0,5.0,0.0,3.0,63.59968,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,0.0,4853.5674,0.0,0.0,0.0,1847.694,1.0,2202.5967,6.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,1.0,7056.164,0.0625
54980,0.0,0.0,3.0,148.80452,byplayer,0.0,1.0,57.0,0.0,0.0,0.0,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,0.0,11446.99,0.0,0.0,0.0,1122.538,0.0,903.7571,4.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.7237511,12350.747,0.875
55041,3.0,2.0,6.0,477.95337,byplayer,0.0,7.0,4.0,0.0,3.0,163.10559,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,0.0,8079.3296,0.0,0.0,0.0,1565.179,0.0,1419.2764,5.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.86906105,9498.605,0.25
55140,0.0,0.0,2.0,0.0,byplayer,0.0,2.0,59.0,0.0,0.0,0.0,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,1.0,4744.936,0.0,0.0,0.0,728.453,0.0,733.48737,3.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.39206296,5478.4233,0.9375
55208,1.0,0.0,0.0,23.332031,byplayer,0.0,0.0,36.0,0.0,1.0,24.875813,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,0.0,0.0,0.0,0.0,0.0,201.356,0.0,80.66659,2.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.10895888,80.66659,1.0
55223,0.0,0.0,4.0,347.94586,byplayer,0.0,3.0,47.0,0.0,0.0,0.0,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,0.0,1306.4133,0.0,0.0,0.0,1582.339,0.0,1752.561,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.84391415,3058.9744,0.5
55285,2.0,1.0,6.0,20.87429,alive,0.0,2.0,9.0,0.0,2.0,254.25874,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,0.0,7473.35,0.0,0.0,0.0,1634.012,1.0,1364.903,2.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,1.0,8838.253,0.0625
55382,0.0,1.0,2.0,43.763985,byzone,0.0,0.0,26.0,0.0,1.0,437.8838,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,0.0,3884.8518,0.0,0.0,0.0,1317.498,0.0,853.3555,6.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.7129319,4738.2075,0.5625
55465,3.0,3.0,4.0,522.934,byplayer,0.0,6.0,8.0,0.0,3.0,143.7937,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,2.0,4749.6216,0.0,0.0,0.0,1588.289,0.0,1375.2362,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.91386014,6124.858,0.375
55482,2.0,1.0,4.0,272.2981,byplayer,0.0,0.0,14.0,0.0,2.0,118.49336,minsung,account.3202e32c327e45d6a8b4f6dbefc24ca1,0.0,8401.94,0.0,0.0,0.0,1474.886,0.0,1502.5498,3.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.7959449,9904.49,0.4375
