,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54954,0.0,1.0,2.0,24.498055,byplayer,0.0,1.0,43.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4945.695,0.0,0.0,0.0,1108.486,0.0,1040.6177,4.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.6001548,5986.3125,0.5625
54967,4.0,1.0,2.0,544.7997,byplayer,0.0,2.0,7.0,0.0,3.0,116.40143,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,3829.1821,0.0,0.0,0.0,1551.668,0.0,1828.9148,6.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,1.0,5658.0967,0.125
55036,1.0,0.0,4.0,132.35968,byplayer,0.0,4.0,52.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4324.6895,0.0,0.0,0.0,1342.804,0.0,1076.66,2.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.745588,5401.3496,0.625
55100,0.0,0.0,2.0,0.0,byplayer,0.0,3.0,42.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4097.038,0.0,0.0,0.0,1408.567,0.0,983.1255,7.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.7581093,5080.1636,0.5
55214,2.0,2.0,2.0,400.25787,byplayer,0.0,8.0,22.0,0.0,1.0,228.70178,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,1160.6232,0.0,0.0,0.0,1444.6,0.0,1236.7461,5.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.78170997,2397.3691,0.4375
55239,2.0,0.0,3.0,170.42368,byplayer,1.0,2.0,32.0,0.0,1.0,40.060394,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4689.875,0.0,0.0,0.0,994.881,0.0,715.16583,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.5306032,5405.041,0.9375
55326,1.0,0.0,5.0,190.4629,byzone,0.0,6.0,21.0,0.0,1.0,96.30318,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,5262.9785,0.0,0.0,0.0,1381.377,0.0,845.413,3.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.8453959,6108.3916,0.375
55385,4.0,2.0,5.0,553.948,byplayer,1.0,6.0,4.0,0.0,3.0,132.6991,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4245.092,0.0,0.0,0.0,1538.208,0.0,941.05994,3.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.83236367,5186.152,0.3125
55472,0.0,0.0,4.0,60.315243,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,7619.4907,0.0,0.0,0.0,1189.221,0.0,927.44977,3.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.6842468,8546.94,0.5
55527,4.0,2.0,7.0,623.84985,byplayer,0.0,3.0,34.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,1.0,2773.4695,0.0,0.0,0.0,1853.819,0.0,1562.1445,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,1.0,4335.6143,0.125
55658,2.0,1.0,2.0,365.84006,byplayer,0.0,2.0,13.0,0.0,2.0,21.658474,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,1460.8264,0.0,0.0,0.0,1320.007,0.0,514.0503,4.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.81734174,1974.8767,0.4375
55724,0.0,0.0,1.0,46.19137,byplayer,0.0,0.0,61.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,1791.1658,0.0,0.0,0.0,837.686,0.0,1288.2382,5.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.44439575,3079.4038,0.9375
55752,0.0,0.0,2.0,24.814932,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,6867.8193,0.0,0.0,0.0,1051.572,0.0,1001.14056,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.63309574,7868.96,0.3125
55810,1.0,1.0,3.0,208.45032,byzone,0.0,3.0,23.0,0.0,1.0,203.81349,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,1675.7211,0.0,3.933406,0.0,1298.809,0.0,2228.0664,3.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.7187653,3907.7207,0.4375
55867,0.0,0.0,4.0,25.042498,byplayer,0.0,3.0,38.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,2695.0178,0.0,0.0,0.0,1348.534,0.0,1387.7284,3.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.73690385,4082.746,0.0625
55977,0.0,2.0,5.0,64.338776,byplayer,0.0,7.0,34.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,3754.6182,0.0,0.0,0.0,1833.371,0.0,1286.5452,6.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.98780763,5041.163,0.1875
56137,2.0,0.0,3.0,298.021,byplayer,0.0,0.0,5.0,0.0,3.0,312.93887,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4245.797,0.0,0.0,0.0,1433.652,0.0,1666.7814,5.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.7757857,5912.578,0.1875
56196,1.0,0.0,3.0,161.768,byplayer,0.0,9.0,47.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,7691.33,0.0,0.0,0.0,1048.194,0.0,823.4433,3.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.57561445,8514.773,0.75
56254,0.0,0.0,5.0,100.0,byplayer,1.0,4.0,22.0,0.0,1.0,103.94107,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,7878.783,0.0,0.0,0.0,1504.147,0.0,821.01733,5.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.8853131,8699.801,0.3125
56352,0.0,3.0,1.0,86.49492,byplayer,0.0,1.0,45.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4818.9673,0.0,0.0,0.0,1320.663,0.0,746.8326,5.0,Erangel (Remastered),1790.0,2020-10-10 10:37:31+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.73780054,5565.8,0.5625
56393,0.0,1.0,6.0,170.45877,byplayer,0.0,2.0,37.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,1.0,3640.574,0.0,0.0,0.0,1520.04,0.0,1186.2883,4.0,Erangel (Remastered),1858.0,2020-10-09 10:32:08+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.8181055,4826.8623,0.3125
56449,0.0,0.0,2.0,40.041733,byplayer,0.0,2.0,46.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4873.5786,0.0,0.0,0.0,919.288,0.0,608.639,7.0,Miramar,1778.0,2020-10-09 08:53:09+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.5170349,5482.218,0.4375
56558,2.0,3.0,1.0,257.55624,byplayer,0.0,2.0,4.0,0.0,3.0,444.6087,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,2740.8088,0.0,0.0,0.0,1398.071,0.0,1218.9625,4.0,Erangel (Remastered),1744.0,2020-09-26 09:35:43+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.80164623,3959.7715,0.0625
56808,1.0,0.0,4.0,210.86455,byplayer,0.0,3.0,10.0,0.0,2.0,194.55286,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,1068.8193,0.0,0.0,0.0,1697.264,0.0,1334.7405,5.0,Miramar,1839.0,2020-10-10 09:48:42+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.9229277,2403.5598,0.1875
56849,2.0,1.0,2.0,288.61356,byplayer,1.0,0.0,18.0,0.0,2.0,42.193314,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,5111.1655,0.0,0.0,0.0,1331.472,0.0,742.3527,3.0,Miramar,1867.0,2020-10-10 08:58:32+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.71316123,5853.518,0.6875
56940,0.0,1.0,1.0,0.0,byplayer,0.0,1.0,34.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4385.5405,0.0,0.0,0.0,909.999,0.0,1274.0018,3.0,Erangel (Remastered),1711.0,2020-10-09 12:02:19+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.5318521,5659.5425,0.3125
56961,0.0,0.0,4.0,39.667503,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,2413.1638,0.0,0.0,0.0,1006.647,0.0,844.431,4.0,Erangel (Remastered),1782.0,2020-09-25 09:41:44+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.5648973,3257.5947,0.4375
57030,1.0,0.0,3.0,100.0,byplayer,0.0,3.0,45.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,4049.4807,0.0,0.0,0.0,1213.309,0.0,1269.972,4.0,Erangel (Remastered),1855.0,2020-09-19 11:57:26+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.6540749,5319.4526,0.625
57106,0.0,0.0,4.0,257.44238,byplayer,0.0,5.0,49.0,0.0,0.0,0.0,silky,account.d1e1372d2f0a46faad2132d4edeb30f4,0.0,1801.4753,0.0,3.5788844,0.0,1397.057,0.0,2155.503,3.0,Erangel (Remastered),1729.0,2020-09-26 08:53:15+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.80801445,3960.5571,0.5625
