,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54935,0.0,0.0,2.0,22.77,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,under,account.21357a2962b644acb899f9ab05585484,0.0,5557.89,0.0,0.0,0.0,689.266,0.0,447.2009,8.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.37318137,6005.091,0.75
54975,3.0,1.0,4.0,460.2514,byplayer,2.0,5.0,4.0,0.0,4.0,143.75264,under,account.21357a2962b644acb899f9ab05585484,0.0,2866.493,0.0,0.0,0.0,1529.492,0.0,1576.737,5.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9861328,4443.23,0.1875
55088,1.0,0.0,3.0,216.62009,byplayer,0.0,1.0,33.0,0.0,1.0,65.78128,under,account.21357a2962b644acb899f9ab05585484,0.0,3260.2698,0.0,0.0,0.0,923.502,0.0,1349.9392,7.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.5127718,4610.209,0.9375
55119,3.0,3.0,4.0,488.36026,byplayer,1.0,6.0,16.0,0.0,1.0,28.290163,under,account.21357a2962b644acb899f9ab05585484,0.0,2915.0203,0.0,0.0,0.0,1858.809,0.0,1756.5171,3.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,4671.537,0.125
55190,0.0,0.0,0.0,67.16192,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,under,account.21357a2962b644acb899f9ab05585484,0.0,581.5843,0.0,0.0,0.0,475.936,0.0,408.47473,3.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.25754112,990.059,0.125
55272,0.0,1.0,5.0,201.79568,byplayer,1.0,10.0,18.0,0.0,1.0,50.77042,under,account.21357a2962b644acb899f9ab05585484,0.0,3396.0986,0.0,0.0,0.0,1431.901,0.0,2024.9966,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.7636805,5421.095,0.125
55337,1.0,0.0,2.0,161.66367,byplayer,0.0,2.0,15.0,0.0,2.0,54.386986,under,account.21357a2962b644acb899f9ab05585484,1.0,2695.445,0.0,0.0,0.0,1143.418,0.0,863.8538,4.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.6997662,3559.2988,0.8125
55390,1.0,1.0,6.0,310.1221,byplayer,0.0,6.0,22.0,0.0,1.0,274.7925,under,account.21357a2962b644acb899f9ab05585484,0.0,2909.41,0.0,0.0,0.0,1514.552,0.0,1158.8488,6.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.8195628,4068.2588,0.375
55469,1.0,1.0,5.0,362.30594,byplayer,0.0,2.0,19.0,0.0,1.0,82.3981,under,account.21357a2962b644acb899f9ab05585484,1.0,7688.71,0.0,0.0,0.0,1628.987,0.0,1456.2695,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9372768,9144.9795,0.25
55514,3.0,2.0,6.0,600.34436,byplayer,1.0,7.0,9.0,0.0,2.0,157.34024,under,account.21357a2962b644acb899f9ab05585484,3.0,1029.0353,0.0,0.0,0.0,1808.983,0.0,1820.1238,3.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9762456,2849.1592,0.1875
55617,3.0,1.0,3.0,450.19064,alive,0.0,3.0,4.0,0.0,4.0,296.76077,under,account.21357a2962b644acb899f9ab05585484,0.0,2080.712,0.0,0.0,0.0,1615.864,0.0,1562.032,6.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,3642.744,0.0625
55698,2.0,2.0,6.0,675.64905,byplayer,0.0,6.0,10.0,0.0,2.0,218.47652,under,account.21357a2962b644acb899f9ab05585484,1.0,1970.9717,0.0,0.0,0.0,1881.692,0.0,2289.8374,6.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9982451,4260.809,0.1875
55777,0.0,0.0,2.0,0.0,byplayer,0.0,6.0,56.0,0.0,0.0,0.0,under,account.21357a2962b644acb899f9ab05585484,0.0,6027.3774,0.0,0.0,0.0,1184.936,0.0,1573.9014,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.71338713,7601.279,0.875
55839,2.0,1.0,1.0,350.92828,alive,0.0,0.0,10.0,0.0,2.0,63.208897,under,account.21357a2962b644acb899f9ab05585484,0.0,2818.347,0.0,0.0,0.0,1807.442,0.0,2016.4005,3.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,4834.7476,0.0625
