,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55594,0.0,0.0,4.0,37.8,byplayer,0.0,2.0,50.0,0.0,0.0,0.0,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,0.0,1827.8253,0.0,0.0,0.0,838.568,0.0,891.48663,3.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.48388228,2719.312,0.625
56024,1.0,0.0,3.0,37.97663,byplayer,0.0,1.0,23.0,0.0,1.0,198.24432,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,0.0,4602.371,0.0,0.0,0.0,951.597,0.0,1278.6279,5.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.5394541,5880.999,0.5625
56064,3.0,2.0,9.0,389.71085,byplayer,0.0,1.0,3.0,0.0,5.0,523.46576,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,0.0,3359.3328,0.0,0.0,0.0,1869.205,0.0,2033.8611,4.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.990045,5393.194,0.125
56578,1.0,0.0,0.0,103.41673,byplayer,0.0,1.0,31.0,0.0,1.0,142.88687,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,0.0,2624.2612,0.0,0.0,0.0,417.383,0.0,319.88892,5.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.25465712,2944.1501,1.0
56661,2.0,1.0,6.0,200.0,byplayer,0.0,1.0,12.0,0.0,2.0,23.016907,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,0.0,4148.2,0.0,0.0,0.0,1502.075,0.0,1160.6227,6.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.8903823,5308.8228,0.3125
56709,0.0,0.0,3.0,25.624355,byplayer,0.0,0.0,69.0,0.0,0.0,0.0,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,0.0,3811.7546,0.0,0.0,0.0,898.063,0.0,612.78094,5.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.49181983,4424.5356,0.9375
57241,0.0,0.0,6.0,121.259995,byplayer,0.0,5.0,28.0,0.0,1.0,16.217915,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,1.0,4983.537,0.0,0.0,0.0,1035.909,0.0,1317.4703,5.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.56824416,6301.0073,0.8125
57298,2.0,2.0,9.0,289.05505,alive,0.0,4.0,8.0,0.0,2.0,28.323084,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,1.0,5775.748,0.0,0.0,0.0,1851.459,0.0,1165.6273,5.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,1.0,6941.3755,0.0625
57357,0.0,0.0,3.0,98.309425,byplayer,0.0,0.0,23.0,0.0,1.0,28.2947,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,0.0,9845.688,0.0,5.867726,0.0,1496.356,0.0,1982.6669,5.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.826716,11834.224,0.3125
57444,2.0,1.0,3.0,229.21074,byplayer,0.0,2.0,35.0,0.0,0.0,0.0,gujamyoung,account.5071e30b6020495a8901c5d7a4a8c299,1.0,1309.322,0.0,0.0,0.0,1741.4,0.0,1317.9956,3.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gg,0.9967945,2627.3176,0.125
