,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
105517,2.0,1.0,5.0,489.70096,alive,2.0,3.0,8.0,1.0,2.0,107.23285,chanahri,account.c41a08737fd345a98666ebb18519889d,2.0,2631.9768,0.0,0.0,0.0,1796.37,0.0,2413.1965,4.0,Miramar,1796.0,2020-05-18 08:08:54+00:00,1.0,True,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,1.0,5045.1733,0.0714285746216774
106021,0.0,2.0,6.0,27.060001,byzone,0.0,2.0,74.0,0.0,0.0,0.0,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,2310.1357,0.0,0.0,0.0,937.708,0.0,1433.5596,3.0,Erangel (Remastered),1514.0,2020-05-18 10:06:33+00:00,13.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.619358,3743.6953,0.9285714030265808
106216,0.0,1.0,2.0,152.23694,byplayer,0.0,4.0,60.0,0.0,0.0,0.0,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,956.9982,0.0,0.0,0.0,1104.637,0.0,2962.522,4.0,Erangel (Remastered),1694.0,2020-05-19 11:55:26+00:00,10.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.6520879,3919.5203,0.625
106876,0.0,1.0,3.0,24.270973,byplayer,0.0,0.0,52.0,0.0,0.0,0.0,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,3640.945,0.0,0.0,0.0,1253.975,0.0,1082.1156,4.0,Miramar,1834.0,2020-05-19 09:41:26+00:00,6.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.6837377,4723.0605,0.375
107130,1.0,0.0,5.0,321.34445,byplayer,0.0,1.0,17.0,1.0,1.0,234.95898,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,0.0,0.0,0.0,0.0,1795.112,0.0,1294.1396,3.0,Erangel (Remastered),1857.0,2020-05-18 09:27:04+00:00,3.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.96667314,1294.1396,0.2142857164144516
107448,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,68.0,0.0,0.0,0.0,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,7024.806,0.0,0.0,0.0,825.814,0.0,928.6802,5.0,Miramar,1783.0,2020-05-19 10:31:46+00:00,14.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.46315986,7953.4863,0.875
107805,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,50.0,0.0,0.0,0.0,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,725.7668,0.0,0.0,0.0,952.821,0.0,1351.828,5.0,Sanhok,1411.0,2020-05-19 09:02:24+00:00,6.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.67528063,2077.5947,0.375
108409,0.0,0.0,1.0,0.0,suicide,0.0,8.0,65.0,0.0,0.0,0.0,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,0.0,0.0,103.7804,1.0,1239.883,0.0,2732.1777,3.0,Erangel (Remastered),1707.0,2020-05-19 11:14:49+00:00,12.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.7263521,2835.9583,0.75
108639,0.0,1.0,5.0,229.24887,byplayer,0.0,1.0,61.0,0.0,0.0,0.0,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,1385.2539,0.0,0.0,0.0,1418.478,0.0,1812.8547,6.0,Miramar,1829.0,2020-05-18 08:47:56+00:00,8.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.7755484,3198.1086,0.5714285969734192
108689,1.0,1.0,9.0,157.03047,byplayer,0.0,1.0,52.0,0.0,0.0,0.0,chanahri,account.c41a08737fd345a98666ebb18519889d,0.0,0.0,0.0,0.0,0.0,1315.616,0.0,2035.5753,2.0,Sanhok,1364.0,2020-05-18 07:32:55+00:00,4.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,mhg,0.96452785,2035.5753,0.2857142984867096
