,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
79809,0.0,0.0,8.0,218.07726,byplayer,0.0,1.0,49.0,0.0,0.0,0.0,kasa,account.58e04e21c17141ebb2bfd09baa8b8997,0.0,2339.031,0.0,0.0,0.0,1225.675,0.0,1056.905,5.0,Miramar,1773.0,2020-07-23 11:10:47+00:00,11.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,orc,0.6913001,3395.936,0.6875
79949,3.0,0.0,6.0,515.92456,byplayer,0.0,6.0,4.0,0.0,3.0,85.68283,kasa,account.58e04e21c17141ebb2bfd09baa8b8997,1.0,4164.7627,0.0,0.0,0.0,1660.074,0.0,1950.8528,3.0,Erangel (Remastered),1665.0,2020-07-23 09:42:44+00:00,2.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,orc,0.9970414,6115.615,0.125
80412,0.0,0.0,3.0,0.0,byplayer,0.0,0.0,52.0,0.0,0.0,0.0,kasa,account.58e04e21c17141ebb2bfd09baa8b8997,0.0,4589.483,0.0,0.0,0.0,764.319,0.0,676.66046,4.0,Erangel (Remastered),1634.0,2020-07-23 09:02:37+00:00,12.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,orc,0.46775946,5266.1436,0.75
81023,1.0,0.0,4.0,283.29468,byplayer,0.0,2.0,24.0,0.0,1.0,61.514782,kasa,account.58e04e21c17141ebb2bfd09baa8b8997,0.0,1336.4979,0.0,0.0,0.0,1169.565,0.0,1766.4865,6.0,Miramar,1765.0,2020-07-23 10:21:43+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,orc,0.662643,3102.9844,0.5625
81717,0.0,2.0,4.0,157.30618,byzone,1.0,2.0,29.0,0.0,1.0,18.982496,kasa,account.58e04e21c17141ebb2bfd09baa8b8997,0.0,2217.326,0.0,0.0,0.0,1145.586,0.0,1565.9022,5.0,Miramar,1811.0,2020-07-23 12:00:33+00:00,12.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,orc,0.632571,3783.228,0.75
130705,0.0,1.0,0.0,61.13883,byplayer,0.0,0.0,24.0,1.0,1.0,61.769222,kasa,account.19f017a129144c2990645b6f6405f56e,0.0,410.83716,0.0,0.0,0.0,956.318,0.0,1544.2482,5.0,Erangel,1584.0,2020-01-16 09:31:44+00:00,10.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,pmp,0.6037361,1955.0853,0.625
130744,0.0,0.0,5.0,119.04233,byplayer,0.0,5.0,19.0,1.0,1.0,218.45918,kasa,account.19f017a129144c2990645b6f6405f56e,0.0,8911.771,0.0,0.0,0.0,1048.099,0.0,1199.934,8.0,Miramar,1729.0,2020-01-16 07:57:55+00:00,4.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,pmp,0.60618794,10111.705,0.25
131827,2.0,0.0,4.0,182.02249,suicide,0.0,2.0,14.0,2.0,2.0,30.988157,kasa,account.19f017a129144c2990645b6f6405f56e,0.0,2520.3064,0.0,0.0,1.0,1054.132,0.0,2112.4768,3.0,Erangel,1701.0,2020-01-16 10:20:00+00:00,12.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,pmp,0.61971307,4632.783,0.75
132824,0.0,0.0,3.0,22.140001,byplayer,0.0,1.0,61.0,0.0,0.0,0.0,kasa,account.19f017a129144c2990645b6f6405f56e,0.0,7565.543,0.0,0.0,0.0,1120.969,0.0,1054.3129,4.0,Miramar,1817.0,2020-01-16 07:08:57+00:00,10.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,pmp,0.61693394,8619.855,0.625
133069,0.0,1.0,1.0,41.0,byplayer,0.0,1.0,51.0,0.0,0.0,0.0,kasa,account.19f017a129144c2990645b6f6405f56e,0.0,0.0,0.0,0.0,0.0,343.378,0.0,658.887,2.0,Sanhok,1390.0,2020-01-16 08:46:53+00:00,6.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,pmp,0.24703452,658.887,0.375
