,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
79824,3.0,0.0,6.0,588.2663,byplayer,1.0,3.0,8.0,0.0,2.0,75.71037,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,6168.0337,0.0,0.0,0.0,1772.879,0.0,1502.8387,7.0,Miramar,1773.0,2020-07-23 11:10:47+00:00,2.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.99993175,7670.8726,0.125
79923,0.0,0.0,1.0,18.062214,byplayer,0.0,2.0,47.0,0.0,0.0,0.0,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,3529.5918,0.0,0.0,0.0,1270.821,0.0,1251.5518,4.0,Erangel (Remastered),1665.0,2020-07-23 09:42:44+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.7632559,4781.1436,0.5625
80063,0.0,2.0,4.0,249.37785,byzone,1.0,2.0,16.0,0.0,1.0,8.820907,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,6831.4785,0.0,77.526024,0.0,1900.752,0.0,1167.8308,5.0,Miramar,1911.0,2020-07-24 09:01:32+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.9946373,8076.835,0.1875
80355,0.0,0.0,8.0,30.36,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,830.21765,0.0,0.0,0.0,1287.031,0.0,3594.4443,4.0,Erangel (Remastered),1751.0,2020-07-24 10:34:41+00:00,10.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.7350263,4424.662,0.625
80424,0.0,0.0,3.0,85.73474,byplayer,0.0,6.0,50.0,0.0,0.0,0.0,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,2040.9705,0.0,190.74423,0.0,1277.747,0.0,2212.2615,3.0,Erangel (Remastered),1634.0,2020-07-23 09:02:37+00:00,11.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.78197485,4443.976,0.6875
80934,1.0,0.0,6.0,238.18544,byplayer,0.0,5.0,28.0,0.0,1.0,218.68109,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,2006.0162,0.0,67.50197,0.0,1069.515,0.0,790.1344,5.0,Erangel (Remastered),1525.0,2020-07-24 11:55:19+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.7013213,2863.6528,0.8125
81030,2.0,1.0,7.0,158.32,byplayer,0.0,2.0,18.0,0.0,1.0,11.489182,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,3910.0422,0.0,0.0,0.0,1647.652,0.0,1037.2235,6.0,Miramar,1765.0,2020-07-23 10:21:43+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.9335139,4947.2656,0.1875
81749,2.0,2.0,1.0,359.308,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,2248.723,0.0,0.0,0.0,1431.573,0.0,1517.5688,7.0,Miramar,1811.0,2020-07-23 12:00:33+00:00,6.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.7904876,3766.2917,0.375
81887,0.0,2.0,0.0,183.01654,byplayer,0.0,3.0,65.0,0.0,0.0,0.0,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,6354.9976,0.0,0.0,0.0,1158.723,0.0,1608.2714,5.0,Miramar,1825.0,2020-07-24 09:53:46+00:00,15.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.6349167,7963.269,0.9375
81925,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,nojam,account.083c897d417e45c7a6ce06f9f90fd35a,0.0,0.0,0.0,0.0,0.0,593.096,0.0,719.70905,3.0,Erangel (Remastered),1680.0,2020-07-24 11:15:58+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vio,0.35303333,719.70905,0.8125
