,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54952,0.0,0.0,2.0,128.2,byplayer,0.0,2.0,26.0,0.0,1.0,234.57513,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,4770.3086,0.0,0.0,0.0,979.565,0.0,1103.8341,6.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.5303546,5874.1426,0.5625
54970,0.0,0.0,6.0,229.28975,byzone,0.0,6.0,29.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,4710.5454,0.0,0.0,0.0,1376.35,0.0,1605.9183,3.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.8873952,6316.464,0.125
55038,0.0,1.0,3.0,143.37163,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,1.0,3937.5178,0.0,0.0,0.0,1342.815,0.0,1405.1511,5.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.7455941,5342.669,0.625
55101,2.0,0.0,3.0,235.086,byplayer,0.0,4.0,26.0,0.0,1.0,23.819145,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,5980.618,0.0,0.0,0.0,1094.468,0.0,1279.8842,4.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.5890571,7260.5024,0.5
55211,0.0,1.0,0.0,131.1379,byplayer,0.0,1.0,45.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,933.5659,0.0,0.0,0.0,1419.166,0.0,1233.7705,3.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.76794696,2167.3364,0.4375
55240,0.0,0.0,1.0,48.983513,byplayer,0.0,1.0,63.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,3594.2302,0.0,0.0,0.0,994.87,0.0,588.33966,3.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.5305973,4182.57,0.9375
55324,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,2509.0676,0.0,0.0,0.0,788.925,0.0,598.2106,3.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.48281822,3107.2783,0.375
55383,2.0,1.0,0.0,129.69048,byplayer,0.0,0.0,21.0,0.0,1.0,30.425198,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,3097.2368,0.0,0.0,0.0,1213.264,0.0,818.44946,3.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.6565282,3915.6863,0.3125
55471,1.0,0.0,6.0,406.27484,byplayer,0.0,0.0,12.0,0.0,2.0,33.52502,alphaca,account.ab047bbd63a74f58a45f48f73f983767,1.0,7277.804,0.0,0.0,0.0,1466.295,0.0,1236.9432,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.84366804,8514.747,0.5
55529,0.0,0.0,1.0,68.52887,byplayer,0.0,0.0,35.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,4977.307,0.0,0.0,0.0,1358.451,0.0,1009.77954,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.73310906,5987.087,0.125
55657,1.0,0.0,0.0,188.18146,byplayer,0.0,0.0,20.0,0.0,1.0,10.374076,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,821.7455,0.0,0.0,0.0,1041.89,0.0,634.4655,3.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.64513314,1456.2109,0.4375
55725,0.0,0.0,1.0,127.200005,byplayer,0.0,1.0,59.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,4063.873,0.0,0.0,0.0,964.401,0.0,871.29584,4.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.51161855,4935.169,0.9375
55754,1.0,2.0,3.0,136.53023,byplayer,0.0,0.0,21.0,0.0,1.0,50.164574,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,6326.9087,0.0,0.0,0.0,1389.983,0.0,1052.3672,6.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.8368351,7379.276,0.3125
55807,1.0,2.0,3.0,87.06611,byplayer,0.0,1.0,24.0,0.0,1.0,18.696411,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,1409.0603,0.0,3.549376,0.0,1261.745,0.0,2298.521,7.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.698254,3711.1306,0.4375
55869,1.0,3.0,8.0,438.63336,alive,0.0,4.0,9.0,0.0,2.0,40.274456,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,2834.76,0.0,0.0,0.0,1830.825,0.0,1655.4086,4.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,1.0,4490.1685,0.0625
55976,2.0,2.0,4.0,331.32367,byplayer,0.0,4.0,33.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,2.0,5302.1436,0.0,0.0,0.0,1845.179,0.0,930.9308,7.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.9941697,6233.074,0.1875
56136,0.0,3.0,10.0,520.44836,suicide,0.0,9.0,18.0,0.0,1.0,8.234962,alphaca,account.ab047bbd63a74f58a45f48f73f983767,2.0,4333.0967,0.0,0.0,1.0,1803.327,0.0,1187.5623,3.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.9758263,5520.659,0.1875
56197,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,49.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,5370.1187,0.0,0.0,0.0,713.957,0.0,365.6871,4.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.39206862,5735.8057,0.75
56253,0.0,0.0,4.0,29.098618,byplayer,0.0,1.0,40.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,7632.759,0.0,0.0,0.0,1330.009,0.0,639.64465,5.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.78281873,8272.403,0.3125
56351,2.0,0.0,1.0,216.85081,byplayer,0.0,0.0,11.0,0.0,2.0,189.47853,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,2057.788,0.0,0.0,0.0,1182.238,0.0,853.55554,3.0,Erangel (Remastered),1790.0,2020-10-10 10:37:31+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.66046816,2911.3438,0.5625
56392,0.0,0.0,0.0,71.53411,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,alphaca,account.ab047bbd63a74f58a45f48f73f983767,0.0,4153.6855,0.0,0.0,0.0,868.954,0.0,648.1068,6.0,Erangel (Remastered),1858.0,2020-10-09 10:32:08+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.46768245,4801.7925,0.3125
56450,4.0,1.0,10.0,217.26808,byplayer,1.0,5.0,4.0,0.0,3.0,15.082101,alphaca,account.ab047bbd63a74f58a45f48f73f983767,1.0,6953.342,0.0,0.0,0.0,1445.907,1.0,805.62866,5.0,Miramar,1778.0,2020-10-09 08:53:09+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,opgg,0.81322104,7758.9707,0.4375
