,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54902,2.0,0.0,4.0,225.31581,byplayer,0.0,0.0,14.0,0.0,2.0,258.79263,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,5821.274,0.0,0.0,0.0,1531.691,0.0,1655.2283,5.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.8292859,7476.502,0.4375
54974,0.0,0.0,2.0,29.776768,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,1293.7251,0.0,0.0,0.0,847.925,0.0,503.88617,6.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.54669565,1797.6113,0.75
55073,0.0,2.0,2.0,302.04846,byplayer,0.0,1.0,13.0,0.0,1.0,2.299203,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,2800.9756,0.0,0.0,0.0,1801.388,0.0,1411.6481,3.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,1.0,4212.6235,0.125
55104,0.0,0.0,5.0,0.0,byplayer,0.0,10.0,54.0,0.0,0.0,0.0,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,7985.642,0.0,0.0,0.0,806.755,0.0,345.3347,3.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.43420613,8330.977,0.8125
55174,2.0,0.0,4.0,286.01068,byplayer,0.0,2.0,13.0,0.0,2.0,314.60458,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,5777.0176,0.0,0.0,0.0,1173.018,0.0,932.913,3.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.63474995,6709.9307,0.75
55269,0.0,0.0,2.0,34.790222,byplayer,0.0,0.0,39.0,0.0,0.0,0.0,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,8303.829,0.0,0.0,0.0,825.722,1.0,534.32806,3.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.44038507,8838.157,0.1875
55308,2.0,0.0,10.0,351.74005,byplayer,2.0,2.0,6.0,0.0,3.0,93.1123,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,5918.68,0.0,197.79745,0.0,1590.893,0.0,1768.7108,5.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9736187,7885.1885,0.1875
55401,2.0,0.0,3.0,302.86,byplayer,0.0,5.0,10.0,0.0,2.0,17.863697,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,4778.7217,0.0,0.0,0.0,1307.826,0.0,2088.264,4.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.7076981,6866.9854,0.1875
55431,1.0,2.0,6.0,479.0231,byplayer,1.0,0.0,9.0,0.0,2.0,36.577625,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,5051.305,0.0,0.0,0.0,1687.035,1.0,1470.119,6.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.97067606,6521.4243,0.1875
55475,4.0,1.0,8.0,520.83325,alive,0.0,3.0,3.0,0.0,4.0,185.4675,ej,account.d08ed989286b4f57b90efc15db39ee1c,1.0,5967.4785,0.0,0.0,0.0,1853.966,0.0,950.84357,2.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,af,1.0,6918.3223,0.0625
55627,2.0,1.0,6.0,594.396,byplayer,0.0,5.0,2.0,0.0,5.0,106.218376,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,2345.5645,0.0,0.0,0.0,1572.432,1.0,2107.066,6.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9736421,4452.6304,0.125
55678,2.0,1.0,5.0,200.00002,byplayer,0.0,5.0,47.0,0.0,0.0,0.0,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,5211.8096,0.0,0.0,0.0,1431.656,0.0,1315.5231,4.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.7594992,6527.3325,0.5625
55767,0.0,0.0,6.0,581.976,suicide,0.0,6.0,18.0,0.0,1.0,31.347435,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,3541.4172,0.0,0.0,1.0,1575.07,0.0,2044.7032,6.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9482661,5586.1206,0.1875
55854,1.0,1.0,5.0,80.0,byplayer,0.0,1.0,13.0,0.0,2.0,76.79531,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,6956.8945,0.0,13.809837,0.0,1345.926,0.0,2064.1443,3.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.7448401,9034.849,0.375
55919,1.0,0.0,1.0,160.97319,byplayer,0.0,1.0,33.0,0.0,1.0,4.0398936,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,824.5502,0.0,0.0,0.0,1027.662,0.0,878.7848,6.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.5615639,1703.335,0.875
55956,2.0,1.0,8.0,342.88895,byzone,0.0,11.0,8.0,0.0,3.0,275.8666,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,4432.537,0.0,0.0,0.0,1761.31,0.0,1170.3336,3.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9489817,5602.8706,0.25
56166,2.0,2.0,4.0,270.98938,byplayer,0.0,4.0,16.0,0.0,1.0,30.998877,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,7578.9907,0.0,0.0,0.0,1828.629,0.0,1167.1621,4.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.98951787,8746.152,0.125
56202,1.0,0.0,4.0,229.70943,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,6436.648,0.0,0.0,0.0,920.991,0.0,438.4351,4.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.50576115,6875.083,0.9375
56294,1.0,0.0,5.0,94.231926,byplayer,0.0,1.0,13.0,0.0,2.0,53.99971,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,7546.6895,0.0,0.0,0.0,1300.348,0.0,737.7981,3.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.76536083,8284.487,0.625
56350,1.0,0.0,7.0,138.33,byplayer,0.0,4.0,27.0,0.0,1.0,82.16749,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,6296.09,0.0,0.0,0.0,1236.631,0.0,1800.3512,6.0,Erangel (Remastered),1790.0,2020-10-10 10:37:31+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.6908553,8096.441,0.8125
56426,1.0,1.0,9.0,193.65094,byplayer,0.0,6.0,12.0,0.0,2.0,144.94551,ej,account.d08ed989286b4f57b90efc15db39ee1c,1.0,8749.163,0.0,0.0,0.0,1857.874,0.0,2746.05,5.0,Erangel (Remastered),1858.0,2020-10-09 10:32:08+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.99993217,11495.213,0.125
56473,0.0,0.0,1.0,229.51964,byplayer,0.0,1.0,53.0,0.0,0.0,0.0,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,3004.952,0.0,0.0,0.0,980.164,0.0,788.5101,5.0,Miramar,1778.0,2020-10-09 08:53:09+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.55127335,3793.462,0.75
56553,0.0,0.0,3.0,105.95644,byplayer,0.0,0.0,45.0,0.0,0.0,0.0,ej,account.d08ed989286b4f57b90efc15db39ee1c,0.0,4894.406,0.0,0.0,0.0,1216.11,0.0,1361.2501,4.0,Erangel (Remastered),1744.0,2020-09-26 09:35:43+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.69731075,6255.656,0.625
