,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54959,3.0,3.0,5.0,412.4741,byplayer,0.0,1.0,13.0,0.0,2.0,168.464,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,6145.427,0.0,0.0,0.0,1570.504,0.0,1454.9978,6.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.85029995,7600.425,0.375
54985,0.0,0.0,1.0,29.285868,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,4917.8955,0.0,0.0,0.0,816.21,0.0,860.8939,4.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.5262476,5778.7896,1.0
55059,1.0,2.0,7.0,432.20868,byplayer,0.0,1.0,22.0,0.0,1.0,158.7754,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,1377.4059,0.0,0.0,0.0,1457.414,0.0,1747.6355,4.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.80922484,3125.0415,0.5
55110,1.0,3.0,6.0,251.77853,byplayer,0.0,1.0,38.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,1.0,2550.3843,0.0,0.0,0.0,1463.787,1.0,1844.9336,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.7878294,4395.318,0.375
55218,1.0,1.0,2.0,178.80196,byplayer,0.0,0.0,33.0,0.0,1.0,27.333956,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,4265.083,0.0,0.0,0.0,850.226,0.0,1033.2155,6.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.460079,5298.2983,0.875
55266,0.0,0.0,6.0,87.39217,byplayer,0.0,8.0,20.0,0.0,1.0,11.911258,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,2431.4897,0.0,0.0,0.0,1612.015,0.0,1641.4906,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.85974133,4072.9805,0.375
55302,2.0,0.0,1.0,256.202,byplayer,1.0,1.0,14.0,0.0,2.0,43.549217,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,1891.2476,0.0,0.0,0.0,1069.445,0.0,1199.45,7.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.65449506,3090.6975,0.5
55370,0.0,0.0,1.0,0.0,byplayer,0.0,2.0,52.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,1846.3547,0.0,0.0,0.0,295.455,0.0,364.7462,6.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.15987824,2211.1008,0.75
55462,0.0,0.0,2.0,89.7,byplayer,0.0,1.0,53.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,1.0,7167.128,0.0,0.0,0.0,1217.224,0.0,964.3752,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.70035905,8131.503,0.8125
55492,0.0,0.0,2.0,22.129538,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,1904.095,0.0,0.0,0.0,1045.523,0.0,1062.7953,6.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.5642326,2966.8901,0.75
55653,1.0,0.0,4.0,99.99999,byplayer,0.0,3.0,58.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,4638.044,0.0,0.0,0.0,1005.393,0.0,1141.0819,7.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.6225344,5779.126,0.9375
55714,1.0,1.0,8.0,485.11893,byplayer,0.0,8.0,40.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,1.0,2362.384,0.0,0.0,0.0,1487.161,0.0,1727.1824,7.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.78894484,4089.5664,0.3125
55750,0.0,0.0,6.0,129.57889,byplayer,0.0,1.0,29.0,0.0,1.0,245.24738,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,5743.0327,0.0,0.0,0.0,1303.014,0.0,1322.2716,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.7844756,7065.304,0.6875
55847,0.0,0.0,6.0,53.402832,byplayer,0.0,0.0,36.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,2722.6921,0.0,0.0,0.0,1363.59,0.0,1108.0938,5.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.75461537,3830.786,0.3125
55862,1.0,0.0,2.0,123.81003,byplayer,0.0,0.0,34.0,0.0,1.0,107.37441,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,3011.8843,0.0,0.0,0.0,514.469,0.0,1099.2704,2.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.2811306,4111.155,0.9375
55934,3.0,1.0,5.0,350.38428,byzone,0.0,2.0,2.0,0.0,4.0,90.39139,zenith,account.c6d1846174e443dd8f0651529ebb471b,2.0,6434.2544,0.0,0.0,0.0,1609.018,0.0,1977.0344,4.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.86692774,8411.289,0.375
56156,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,65.0,0.0,0.0,0.0,zenith,account.c6d1846174e443dd8f0651529ebb471b,0.0,3284.4165,0.0,0.0,0.0,429.339,0.0,356.7289,5.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.2323263,3641.1455,1.0
56242,6.0,2.0,8.0,834.9989,byplayer,2.0,3.0,1.0,0.0,6.0,210.22337,zenith,account.c6d1846174e443dd8f0651529ebb471b,2.0,2381.6118,0.0,0.0,0.0,1821.36,0.0,2219.05,5.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,1.0,4600.662,0.125
