,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54912,3.0,1.0,9.0,675.5438,byplayer,1.0,3.0,3.0,0.0,5.0,189.59279,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,6071.2217,0.0,0.0,0.0,1788.832,1.0,1719.0206,10.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.9685068,7790.242,0.1875
55021,1.0,1.0,4.0,134.59865,byplayer,1.0,1.0,27.0,0.0,1.0,8.226191,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,4270.602,0.0,0.0,0.0,870.607,0.0,1142.943,7.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.56131977,5413.545,0.9375
55045,0.0,0.0,2.0,64.86,byzone,0.0,3.0,63.0,0.0,0.0,0.0,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,2820.4456,0.0,0.0,0.0,992.941,0.0,1128.1028,4.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.5513276,3948.5483,1.0
55149,1.0,0.0,3.0,150.78496,byplayer,0.0,6.0,28.0,0.0,1.0,203.47156,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,1968.1697,0.0,0.0,0.0,1181.578,0.0,1468.6743,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.6359408,3436.844,0.625
55170,0.0,0.0,1.0,23.417501,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,2562.2727,0.0,0.0,0.0,700.816,0.0,984.4913,4.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.37922943,3546.764,0.8125
55256,3.0,0.0,7.0,390.7461,byplayer,0.0,4.0,6.0,0.0,3.0,24.773226,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,8762.342,0.0,0.0,0.0,1478.846,0.0,1347.331,6.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.78871787,10109.673,0.5625
55319,0.0,0.0,3.0,23.47672,byplayer,0.0,0.0,55.0,0.0,0.0,0.0,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,1.0,8223.864,0.0,0.0,0.0,915.398,0.0,918.6693,5.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.5602191,9142.533,0.875
55376,0.0,1.0,8.0,183.51118,byplayer,0.0,3.0,24.0,0.0,1.0,4.393343,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,5533.404,0.0,0.0,0.0,1328.945,0.0,1323.3531,7.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.71912605,6856.757,0.4375
55435,0.0,0.0,2.0,0.0,byplayer,0.0,2.0,59.0,0.0,0.0,0.0,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,3531.5825,0.0,0.0,0.0,1191.007,0.0,1464.8104,7.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.6852744,4996.393,0.9375
55535,0.0,0.0,7.0,156.77924,byzone,0.0,6.0,42.0,0.0,0.0,0.0,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,4371.037,0.0,0.0,0.0,1416.024,0.0,1926.6255,6.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.76417917,6297.6626,0.5
55609,0.0,1.0,1.0,83.189995,byplayer,0.0,0.0,37.0,0.0,0.0,0.0,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,6181.312,0.0,0.0,0.0,1215.08,0.0,822.38763,3.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.7523715,7003.6997,0.375
55717,2.0,0.0,6.0,194.18616,byplayer,1.0,2.0,30.0,0.0,1.0,25.301353,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,6848.882,0.0,0.0,0.0,1184.503,0.0,1144.8721,3.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.6283836,7993.754,0.8125
55786,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,65.0,0.0,0.0,0.0,maczora,account.d6aaf796b0f84af39411b5ebeb94fe3b,0.0,6787.655,0.0,0.0,0.0,911.692,0.0,1103.9066,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,sp,0.5488814,7891.5615,1.0
