,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54931,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,49.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,4738.6323,0.0,0.0,0.0,844.033,0.0,907.91046,5.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.4569751,5646.543,0.6875
54995,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,37.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,2439.113,0.0,0.0,0.0,398.917,0.0,453.09216,4.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.25719985,2892.205,0.4375
55051,3.0,1.0,5.0,350.97375,alive,2.0,1.0,3.0,0.0,4.0,230.45349,piky,account.8d4b1e8ce7c1437caac10447cab637ae,1.0,4375.9175,0.0,0.0,0.0,1801.559,0.0,2107.2559,6.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,1.0,6483.1733,0.0625
55145,1.0,0.0,5.0,456.40628,byplayer,0.0,2.0,40.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,6345.233,0.0,0.0,0.0,1362.432,0.0,1161.1578,4.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.7332788,7506.3906,0.4375
55185,2.0,1.0,5.0,358.268,byplayer,0.0,6.0,25.0,0.0,1.0,41.105682,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,5839.741,0.0,0.0,0.0,1355.358,0.0,1405.5806,3.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.7334188,7245.322,0.5
55245,1.0,0.0,0.0,100.00001,byplayer,0.0,0.0,41.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,901.77014,0.0,0.0,0.0,595.581,0.0,980.03235,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.3176432,1881.8025,0.25
55315,0.0,0.0,1.0,19.82329,byplayer,0.0,2.0,48.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,5147.201,0.0,0.0,0.0,1132.464,0.0,688.0066,5.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.6930624,5835.208,0.6875
55363,0.0,1.0,0.0,122.605225,byplayer,0.0,0.0,48.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,7299.951,0.0,0.0,0.0,1201.073,0.0,865.2632,5.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.64993125,8165.2144,0.625
55426,2.0,1.0,1.0,394.8874,byplayer,0.0,1.0,50.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,2067.4336,0.0,0.0,0.0,1222.681,0.0,927.28064,3.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.70349884,2994.7144,0.6875
55509,0.0,1.0,1.0,112.16503,byplayer,0.0,1.0,46.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,2655.0735,0.0,0.0,0.0,1192.692,0.0,1214.9939,5.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.64365464,3870.0674,0.5625
55649,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,49.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,9633.7,0.0,0.0,0.0,1204.574,0.0,703.2896,2.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.74586624,10336.99,0.6875
55682,2.0,0.0,3.0,307.17346,byplayer,0.0,5.0,22.0,0.0,1.0,67.48194,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,7312.5376,0.0,0.0,0.0,1447.109,0.0,1552.2958,4.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.7676971,8864.833,0.4375
55742,3.0,1.0,1.0,308.62604,byplayer,0.0,2.0,43.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,2135.241,0.0,0.0,0.0,1416.828,0.0,1519.154,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.852997,3654.395,0.375
55797,1.0,5.0,4.0,705.7295,byplayer,1.0,2.0,5.0,0.0,3.0,136.89458,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,5778.661,0.0,0.0,0.0,1573.556,0.0,1453.9319,5.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.8708113,7232.593,0.1875
55914,3.0,0.0,6.0,755.7557,byplayer,0.0,1.0,10.0,0.0,2.0,95.53711,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,3722.8484,0.0,0.0,0.0,1830.666,0.0,2029.8469,4.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,1.0,5752.6953,0.125
55953,0.0,0.0,5.0,74.7951,byplayer,0.0,2.0,49.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,1.0,5246.5405,0.0,0.0,0.0,1125.735,0.0,869.1255,6.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.60653824,6115.666,0.75
56132,0.0,0.0,3.0,125.17373,byplayer,0.0,2.0,46.0,0.0,0.0,0.0,piky,account.8d4b1e8ce7c1437caac10447cab637ae,0.0,10091.284,0.0,0.0,0.0,1182.184,0.0,1384.6642,10.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,emt,0.63970995,11475.948,0.6875
