,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55555,1.0,0.0,5.0,256.78955,byplayer,1.0,0.0,10.0,0.0,2.0,19.989595,alone,account.df7e309e3b494a2187c21b4656b50d26,2.0,2787.6682,0.0,0.0,0.0,1011.512,0.0,813.71655,5.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.5836769,3601.3848,0.5625
56019,1.0,0.0,6.0,216.87326,byplayer,1.0,6.0,16.0,0.0,1.0,19.959381,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,5669.805,0.0,0.0,0.0,1764.141,0.0,2002.8325,5.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,1.0,7672.6377,0.125
56085,0.0,0.0,3.0,23.243206,byplayer,0.0,11.0,72.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,1540.1265,0.0,0.0,0.0,1086.826,0.0,1589.0183,4.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.5756494,3129.1448,1.0
56597,1.0,0.0,0.0,183.19,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,4659.695,0.0,0.0,0.0,834.167,0.0,708.5481,6.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.50894874,5368.243,0.625
56653,2.0,2.0,10.0,504.09598,byplayer,0.0,3.0,11.0,0.0,2.0,90.51802,alone,account.df7e309e3b494a2187c21b4656b50d26,1.0,2264.6409,0.0,0.0,0.0,1640.252,0.0,2396.5137,4.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.97228926,4661.1543,0.1875
56706,1.0,1.0,10.0,292.47644,byplayer,1.0,10.0,11.0,0.0,2.0,49.68274,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,3147.1633,0.0,0.0,0.0,1548.875,0.0,1480.9336,5.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.8482338,4628.0967,0.4375
57250,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,47.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,569.7842,0.0,0.0,0.0,209.794,0.0,111.22544,4.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.115081735,681.00964,0.3125
57312,4.0,0.0,4.0,344.90598,byplayer,0.0,2.0,6.0,0.0,3.0,47.860706,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,599.0807,0.0,0.0,0.0,1510.416,0.0,2181.8435,7.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.816,2780.9243,0.375
57383,1.0,0.0,4.0,118.5609,byplayer,0.0,0.0,45.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,1858.3839,0.0,0.0,0.0,906.423,0.0,1473.552,3.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.5007862,3331.936,0.375
57457,0.0,0.0,3.0,30.36,byplayer,0.0,1.0,59.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,3243.7268,0.0,0.0,0.0,681.446,0.0,815.97437,4.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,pg,0.3900664,4059.7012,0.875
66555,2.0,1.0,9.0,311.52438,alive,0.0,4.0,15.0,0.0,1.0,46.45545,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,2677.4343,0.0,0.0,0.0,1729.805,0.0,2097.9446,5.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,1.0,True,kr-lvup,2020-08-24 04:58:46+00:00,pg,1.0,4775.379,0.0625
66622,1.0,0.0,1.0,154.07259,byplayer,0.0,0.0,47.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,1392.7758,0.0,0.0,0.0,635.617,0.0,497.57962,2.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.35870034,1890.3553,0.625
66688,0.0,0.0,5.0,318.8166,byplayer,0.0,0.0,40.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,4584.176,0.0,0.0,0.0,1262.002,0.0,1377.3198,4.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,8.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.6999456,5961.4956,0.5
66780,0.0,0.0,0.0,60.72,byplayer,0.0,0.0,33.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,2933.9204,0.0,0.0,0.0,333.461,0.0,411.75668,6.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.18464065,3345.677,0.1875
66805,4.0,0.0,2.0,381.96802,byplayer,1.0,1.0,22.0,0.0,1.0,2.6105394,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,3247.1252,0.0,0.0,0.0,668.719,0.0,840.0209,5.0,Erangel (Remastered),1734.0,2020-08-26 13:01:52+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.38565108,4087.146,0.7142857313156128
66888,0.0,0.0,6.0,102.81527,byplayer,0.0,1.0,37.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,2623.9563,0.0,0.0,0.0,1347.03,0.0,1112.6102,5.0,Erangel (Remastered),1799.0,2020-08-26 12:17:46+00:00,6.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.748766,3736.5664,0.4285714328289032
66941,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,46.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,416.33765,0.0,0.0,0.0,347.764,0.0,635.07983,5.0,Erangel (Remastered),1833.0,2020-08-26 11:32:52+00:00,11.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.18972395,1051.4175,0.7857142686843872
67164,1.0,2.0,4.0,40.20842,byzone,1.0,7.0,9.0,0.0,2.0,207.964,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,1557.024,0.0,0.0,0.0,1721.584,0.0,2037.2301,6.0,Miramar,1733.0,2020-08-26 10:49:37+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.99341255,3594.2542,0.2142857164144516
67279,0.0,0.0,6.0,113.6187,byplayer,0.0,0.0,50.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,432.1591,0.0,0.0,0.0,1016.281,0.0,2218.0386,3.0,Miramar,1791.0,2020-08-26 10:05:01+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.56743777,2650.1978,0.8571428656578064
67298,0.0,0.0,5.0,130.7616,byplayer,0.0,0.0,45.0,0.0,0.0,0.0,alone,account.df7e309e3b494a2187c21b4656b50d26,0.0,5090.0786,0.0,0.0,0.0,1334.236,0.0,1658.5479,3.0,Erangel (Remastered),1752.0,2020-08-24 12:18:19+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pg,0.7615502,6748.6265,0.75
130600,1.0,0.0,5.0,100.0,byplayer,0.0,1.0,28.0,1.0,1.0,259.36676,alone,account.e6d20a7289384692813bbb86b24c23e0,0.0,560.9161,0.0,0.0,0.0,981.817,0.0,2830.3088,4.0,Erangel,1636.0,2020-01-18 10:10:53+00:00,13.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,en,0.60013264,3391.2249,0.8125
131169,0.0,0.0,3.0,28.899069,byplayer,0.0,4.0,45.0,0.0,0.0,0.0,alone,account.e6d20a7289384692813bbb86b24c23e0,0.0,2856.7654,0.0,0.0,0.0,1462.727,0.0,2202.3071,2.0,Erangel,1752.0,2020-01-17 09:31:25+00:00,3.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,en,0.8348899,5059.0723,0.1875
131223,0.0,1.0,6.0,247.20001,byplayer,0.0,4.0,64.0,0.0,0.0,0.0,alone,account.e6d20a7289384692813bbb86b24c23e0,1.0,5818.0938,0.0,0.0,0.0,1255.881,0.0,1826.8538,6.0,Miramar,1767.0,2020-01-17 07:55:07+00:00,11.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,en,0.71074194,7644.9473,0.6875
