,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55595,1.0,0.0,1.0,100.0,byplayer,0.0,1.0,17.0,0.0,1.0,80.91837,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,1971.8456,0.0,0.0,0.0,410.738,0.0,489.44196,2.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.23700981,2461.2876,0.0625
55994,1.0,1.0,4.0,277.1293,byplayer,1.0,3.0,11.0,0.0,2.0,304.05206,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,2365.6665,0.0,0.0,0.0,1400.522,0.0,1047.7323,3.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.7939467,3413.399,0.3125
56105,0.0,0.0,3.0,0.0,byplayer,0.0,0.0,41.0,0.0,0.0,0.0,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,8298.206,0.0,0.0,0.0,978.486,0.0,644.6974,5.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.5182659,8942.903,0.0625
56564,0.0,1.0,3.0,55.414436,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,5002.8955,0.0,6.129991,0.0,1107.428,0.0,1693.0609,3.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.67567295,6702.0864,0.8125
56645,0.0,0.0,5.0,81.42,byplayer,0.0,5.0,48.0,0.0,0.0,0.0,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,11286.751,0.0,0.0,0.0,1074.98,0.0,793.77124,6.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.637214,12080.522,0.5625
56747,1.0,0.0,4.0,91.20983,byplayer,0.0,12.0,17.0,0.0,1.0,12.3892,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,4103.1504,0.0,0.0,0.0,1447.595,0.0,1526.0414,7.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.79276836,5629.192,0.375
57226,2.0,0.0,4.0,242.10536,byplayer,0.0,0.0,25.0,0.0,1.0,124.798584,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,3673.2644,0.0,0.0,0.0,1313.907,0.0,1911.2625,3.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.7207389,5584.527,0.5625
57303,0.0,0.0,2.0,0.0,byplayer,0.0,2.0,77.0,0.0,0.0,0.0,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,9897.419,0.0,0.0,0.0,832.678,0.0,613.979,4.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.44985303,10511.398,1.0
57359,2.0,0.0,0.0,173.3909,byplayer,0.0,0.0,14.0,0.0,2.0,130.19614,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,5325.2007,0.0,0.0,0.0,1243.651,0.0,1350.9192,4.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.6871,6676.12,0.5
57435,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,70.0,0.0,0.0,0.0,alyu,account.b7228c9a1d3a4f278fec00d2b1c2d1a8,0.0,0.0,0.0,0.0,0.0,113.696,0.0,46.508793,0.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ge,0.06508071,46.508793,1.0
