,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55540,1.0,0.0,1.0,265.84317,byzone,0.0,0.0,30.0,0.0,1.0,112.8439,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,0.0,839.6195,0.0,0.0,0.0,580.534,0.0,654.9674,4.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.33498788,1494.5869,0.8125
56003,1.0,0.0,6.0,214.78372,byplayer,0.0,3.0,20.0,0.0,1.0,3.7395282,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,1.0,1859.1299,1.0,0.0,0.0,1472.118,0.0,1416.3142,9.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.83453405,3275.444,0.5
56055,1.0,0.0,4.0,100.0,byplayer,0.0,1.0,28.0,0.0,1.0,33.717396,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,0.0,9798.316,0.0,0.0,0.0,1119.531,0.0,966.9517,2.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.5929719,10765.269,0.875
56619,0.0,0.0,9.0,265.95395,byplayer,1.0,9.0,16.0,0.0,1.0,232.95659,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,1.0,2910.4272,0.0,55.07084,0.0,1456.468,0.0,5904.5713,3.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.8886321,8870.069,0.25
56642,4.0,1.0,4.0,189.48492,byplayer,1.0,0.0,5.0,0.0,4.0,157.35703,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,0.0,885.02344,0.0,0.0,0.0,1218.739,0.0,2324.2788,7.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.72242975,3209.3022,0.6875
56732,1.0,1.0,2.0,197.16014,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,0.0,1219.4479,0.0,0.0,0.0,1099.724,0.0,1229.2694,3.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.6022585,2448.7173,0.875
57209,0.0,0.0,6.0,130.41367,byplayer,0.0,4.0,62.0,0.0,0.0,0.0,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,0.0,5092.8936,0.0,0.0,0.0,1296.755,0.0,1454.6095,8.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.71133024,6547.503,0.75
57309,0.0,0.0,3.0,82.19024,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,0.0,3137.72,0.0,0.0,0.0,1181.548,0.0,1455.4583,3.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.63832957,4593.178,0.75
57344,1.0,0.0,5.0,42.74119,byplayer,0.0,5.0,59.0,0.0,0.0,0.0,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,0.0,6028.674,0.0,0.0,0.0,1181.078,0.0,1314.6389,4.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.6525293,7343.3125,0.75
57431,0.0,1.0,1.0,36.54,byzone,0.0,1.0,53.0,0.0,0.0,0.0,apxb,account.3e0c83c160d6439b9722f7ddb77c61a9,0.0,6464.565,0.0,0.0,0.0,880.521,0.0,582.7455,5.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afk,0.5040189,7047.3105,0.75
