,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
66539,1.0,0.0,0.0,100.0,byplayer,0.0,1.0,23.0,0.0,1.0,29.83388,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,4870.1655,0.0,619.6029,0.0,1219.136,0.0,1452.0004,4.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,5.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.7051105,6941.769,0.3125
66631,2.0,2.0,3.0,363.49042,byplayer,0.0,2.0,18.0,0.0,1.0,40.297775,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,4845.464,0.0,135.6279,0.0,1544.343,0.0,2386.9956,4.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,4.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.8715254,7368.0874,0.25
66703,0.0,0.0,3.0,18.0,byplayer,0.0,1.0,30.0,0.0,1.0,190.92487,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,6668.3076,0.0,0.0,0.0,1034.973,0.0,949.0042,4.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.5740283,7617.312,0.875
66772,2.0,0.0,5.0,278.5073,byplayer,0.0,1.0,11.0,0.0,2.0,104.917694,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,7021.0806,0.0,0.0,0.0,1628.594,0.0,1734.6842,3.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,4.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.90176857,8755.765,0.25
66816,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,2943.5945,0.0,0.0,0.0,477.373,0.0,216.51465,3.0,Erangel (Remastered),1734.0,2020-08-26 13:01:52+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.2753016,3160.1091,1.0
66868,1.0,0.0,7.0,274.07352,byplayer,0.0,5.0,33.0,0.0,0.0,0.0,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,3404.4385,0.0,0.0,0.0,1695.337,0.0,973.91547,5.0,Erangel (Remastered),1799.0,2020-08-26 12:17:46+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.94237745,4378.354,0.2142857164144516
66965,0.0,0.0,0.0,11.610001,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,409.88348,0.0,0.0,0.0,388.72,0.0,224.0127,2.0,Erangel (Remastered),1833.0,2020-08-26 11:32:52+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.21206765,633.8962,1.0714285373687744
67121,1.0,1.0,3.0,117.3,byplayer,0.0,2.0,21.0,0.0,1.0,436.02246,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,2766.2805,0.0,0.0,0.0,1433.133,0.0,1473.716,7.0,Miramar,1733.0,2020-08-26 10:49:37+00:00,5.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.8269666,4239.9966,0.3571428656578064
67270,2.0,0.0,4.0,256.00955,byplayer,0.0,6.0,20.0,0.0,1.0,175.29541,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,3196.3748,0.0,0.0,0.0,1357.401,0.0,748.5352,7.0,Miramar,1791.0,2020-08-26 10:05:01+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.7579012,3944.91,0.7142857313156128
67306,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,spacebin,account.a85db9c5f23043daaa925cf94e0e555d,0.0,2980.4912,0.0,0.0,0.0,508.405,0.0,649.6639,4.0,Erangel (Remastered),1752.0,2020-08-24 12:18:19+00:00,16.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.2901855,3630.155,1.0
79799,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,40.0,0.0,0.0,0.0,spacebin,account.d09151560c964325abaaa54b433078eb,0.0,5231.1,0.0,0.0,0.0,516.168,0.0,349.06808,4.0,Miramar,1773.0,2020-07-23 11:10:47+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,0.2911269,5580.168,0.1875
79964,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,39.0,0.0,0.0,0.0,spacebin,account.d09151560c964325abaaa54b433078eb,1.0,29.538471,0.0,0.0,0.0,116.295,0.0,11.833027,0.0,Erangel (Remastered),1665.0,2020-07-23 09:42:44+00:00,6.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,0.069846846,41.3715,0.375
80097,1.0,1.0,6.0,461.72583,suicide,1.0,3.0,3.0,0.0,4.0,517.6094,spacebin,account.d09151560c964325abaaa54b433078eb,0.0,6903.176,0.0,0.0,1.0,1911.727,0.0,1396.1937,3.0,Miramar,1911.0,2020-07-24 09:01:32+00:00,2.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,1.0,8299.369,0.125
80358,1.0,0.0,1.0,203.3768,byplayer,1.0,1.0,21.0,0.0,1.0,190.1224,spacebin,account.d09151560c964325abaaa54b433078eb,0.0,1931.07,0.0,0.0,0.0,1218.512,0.0,776.6912,4.0,Erangel (Remastered),1751.0,2020-07-24 10:34:41+00:00,5.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,0.6958949,2707.7612,0.3125
80901,1.0,0.0,6.0,160.08162,byzone,0.0,2.0,14.0,0.0,2.0,104.188095,spacebin,account.d09151560c964325abaaa54b433078eb,0.0,10539.287,0.0,0.0,0.0,1241.444,0.0,860.1839,4.0,Erangel (Remastered),1525.0,2020-07-24 11:55:19+00:00,7.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,0.81406164,11399.471,0.4375
81061,0.0,0.0,1.0,0.0,byzone,0.0,0.0,45.0,0.0,0.0,0.0,spacebin,account.d09151560c964325abaaa54b433078eb,0.0,5260.4663,0.0,0.0,0.0,1135.859,0.0,1703.2421,2.0,Miramar,1765.0,2020-07-23 10:21:43+00:00,7.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,0.64354616,6963.7085,0.4375
81763,0.0,1.0,1.0,63.521576,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,spacebin,account.d09151560c964325abaaa54b433078eb,0.0,7877.24,0.0,0.0,0.0,1097.904,0.0,1120.6832,3.0,Miramar,1811.0,2020-07-23 12:00:33+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,0.6062419,8997.924,0.8125
81893,2.0,0.0,5.0,236.67023,byplayer,0.0,5.0,38.0,0.0,0.0,0.0,spacebin,account.d09151560c964325abaaa54b433078eb,0.0,4490.411,0.0,0.0,0.0,1408.222,0.0,1063.1588,3.0,Miramar,1825.0,2020-07-24 09:53:46+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,0.7716285,5553.57,0.1875
81959,2.0,0.0,2.0,169.88962,byzone,0.0,0.0,25.0,0.0,1.0,178.78821,spacebin,account.d09151560c964325abaaa54b433078eb,1.0,6722.8013,0.0,0.0,0.0,1100.156,0.0,949.8925,4.0,Erangel (Remastered),1680.0,2020-07-24 11:15:58+00:00,11.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,pbn,0.6548548,7672.694,0.6875
106100,1.0,0.0,2.0,134.10588,byplayer,0.0,3.0,56.0,0.0,0.0,0.0,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,6943.8325,0.0,0.0,0.0,1304.981,0.0,1167.6487,5.0,Miramar,1862.0,2020-05-18 03:48:47+00:00,6.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,0.70084906,8111.4814,0.375
106242,0.0,0.0,5.0,0.0,byplayer,0.0,3.0,48.0,0.0,0.0,0.0,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,3500.6418,0.0,0.0,0.0,1231.679,0.0,743.9769,5.0,Erangel (Remastered),1694.0,2020-05-19 11:55:26+00:00,6.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,0.7270832,4244.6187,0.375
106290,0.0,0.0,4.0,79.57994,byplayer,0.0,5.0,50.0,0.0,0.0,0.0,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,6662.49,0.0,0.0,0.0,1444.586,0.0,1169.9359,5.0,Erangel (Remastered),1630.0,2020-05-18 05:10:57+00:00,4.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,0.8862491,7832.4263,0.25
106372,1.0,0.0,8.0,184.79587,byplayer,0.0,6.0,54.0,0.0,0.0,0.0,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,8506.907,0.0,0.0,0.0,1738.104,0.0,1646.0278,4.0,Erangel (Remastered),1778.0,2020-05-18 04:28:14+00:00,3.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,0.9775613,10152.936,0.1875
106845,2.0,2.0,9.0,384.72726,alive,0.0,5.0,2.0,2.0,4.0,304.52872,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,3839.1494,0.0,0.0,0.0,1834.125,1.0,1663.9181,5.0,Miramar,1834.0,2020-05-19 09:41:26+00:00,1.0,True,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,1.0,5503.0674,0.0625
107423,0.0,2.0,4.0,164.75653,byplayer,0.0,6.0,49.0,0.0,0.0,0.0,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,6404.2036,0.0,0.0,0.0,1595.236,1.0,1856.6445,3.0,Miramar,1783.0,2020-05-19 10:31:46+00:00,4.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,0.89469206,8260.848,0.25
107491,0.0,0.0,5.0,263.9912,byplayer,0.0,3.0,51.0,0.0,0.0,0.0,spacebin,account.539a7b7c7abf461eba10386495ba78a0,1.0,1527.9081,0.0,0.0,0.0,1815.183,0.0,2861.0034,3.0,Miramar,1815.0,2020-05-18 03:09:33+00:00,2.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,1.0,4388.9116,0.125
107854,1.0,0.0,1.0,211.31291,byplayer,0.0,2.0,62.0,0.0,0.0,0.0,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,0.0,0.0,0.0,0.0,1017.364,0.0,2538.6023,4.0,Sanhok,1411.0,2020-05-19 09:02:24+00:00,12.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,0.7210234,2538.6023,0.75
108023,1.0,0.0,2.0,84.0,byplayer,0.0,5.0,25.0,1.0,1.0,48.466217,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,0.0,0.0,0.0,0.0,941.505,0.0,1842.3136,5.0,Sanhok,1361.0,2020-05-18 02:32:37+00:00,10.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,0.6917744,1842.3136,0.625
108373,1.0,0.0,1.0,207.22769,byplayer,0.0,0.0,26.0,1.0,1.0,56.17426,spacebin,account.539a7b7c7abf461eba10386495ba78a0,0.0,3852.9138,0.0,0.0,0.0,865.236,0.0,758.9085,5.0,Erangel (Remastered),1707.0,2020-05-19 11:14:49+00:00,14.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,pbn,0.5068752,4611.8223,0.875
