,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
66425,0.0,1.0,2.0,207.46623,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,6490.4863,0.0,0.0,0.0,1226.684,0.0,1086.3627,4.0,Erangel (Remastered),1759.0,2020-08-25 13:03:05+00:00,9.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.6973758,7576.849,0.6000000238418579
66484,1.0,0.0,11.0,330.52325,byplayer,0.0,3.0,11.0,0.0,2.0,11.564061,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,861.2276,0.0,0.0,0.0,1763.237,0.0,2090.2688,5.0,Erangel (Remastered),1799.0,2020-08-25 12:17:58+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.98012066,2951.4963,0.20000000298023224
66837,0.0,0.0,0.0,49.93106,byplayer,0.0,1.0,53.0,0.0,0.0,0.0,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,3923.4597,0.0,7.3595314,0.0,664.773,0.0,616.3874,4.0,Erangel (Remastered),1734.0,2020-08-26 13:01:52+00:00,13.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.38337544,4547.2065,0.9285714030265808
66875,0.0,1.0,0.0,0.0,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,0.0,0.0,0.0,0.0,176.674,0.0,91.3766,2.0,Erangel (Remastered),1799.0,2020-08-26 12:17:46+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.09820678,91.3766,1.0714285373687744
66924,0.0,0.0,6.0,294.76508,byzone,0.0,2.0,37.0,0.0,0.0,0.0,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,2.0,5308.3657,0.0,0.0,0.0,1447.038,0.0,1275.1309,4.0,Erangel (Remastered),1833.0,2020-08-26 11:32:52+00:00,8.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.789437,6583.4966,0.5714285969734192
66983,2.0,1.0,5.0,312.0,byplayer,1.0,2.0,5.0,0.0,3.0,38.92936,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,4045.8389,0.0,6.1159935,0.0,1153.737,0.0,1768.3889,5.0,Erangel (Remastered),1679.0,2020-08-25 11:35:33+00:00,5.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.6871573,5820.3438,0.3333333432674408
67058,0.0,1.0,1.0,56.905613,byplayer,0.0,0.0,36.0,0.0,0.0,0.0,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,1154.8087,0.0,0.0,0.0,1026.375,0.0,2163.129,5.0,Miramar,1825.0,2020-08-25 10:50:37+00:00,7.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.56239724,3317.9375,0.46666666865348816
67168,0.0,0.0,0.0,48.3,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,0.0,0.0,0.0,0.0,91.392,0.0,13.736436,1.0,Miramar,1733.0,2020-08-26 10:49:37+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.052736294,13.736436,1.0714285373687744
67223,0.0,1.0,5.0,75.67,byplayer,0.0,2.0,49.0,0.0,0.0,0.0,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,4915.576,0.0,0.0,0.0,1190.268,0.0,1392.4619,3.0,Miramar,1858.0,2020-08-25 10:05:16+00:00,11.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.64061785,6308.038,0.7333333492279053
67271,0.0,0.0,3.0,203.39023,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,zamil,account.3fc05bdd359047c688e6b5f36da6d16c,0.0,4998.8745,0.0,0.0,0.0,870.944,0.0,1195.5066,4.0,Miramar,1791.0,2020-08-26 10:05:01+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,kga,0.4862892,6194.381,1.0
