,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
130410,1.0,2.0,9.0,187.06,byplayer,1.0,7.0,8.0,1.0,2.0,51.75558,aloha,account.d59efaac73964d9ea161b89d57352320,1.0,5994.415,0.0,19.653772,0.0,1420.932,0.0,1860.6511,4.0,Erangel (Remastered),1767.0,2020-05-02 08:35:39+00:00,4.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,kp,0.8041494,7874.7197,0.25
130489,0.0,1.0,9.0,114.591896,byplayer,0.0,15.0,52.0,0.0,0.0,0.0,aloha,account.d59efaac73964d9ea161b89d57352320,2.0,5588.035,0.0,0.0,0.0,1547.238,0.0,2098.456,6.0,Miramar,1697.0,2020-05-02 07:14:07+00:00,7.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,kp,0.911749,7686.491,0.4375
131281,0.0,0.0,0.0,27.060001,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,aloha,account.d59efaac73964d9ea161b89d57352320,0.0,3851.9712,0.0,0.0,0.0,767.319,0.0,759.8539,4.0,Miramar,1818.0,2020-05-02 07:56:37+00:00,13.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,kp,0.42206764,4611.825,0.8125
132160,1.0,0.0,3.0,100.00001,byplayer,0.0,1.0,21.0,1.0,1.0,6.952503,aloha,account.d59efaac73964d9ea161b89d57352320,0.0,450.45718,0.0,20.83968,0.0,1004.324,0.0,1538.1473,2.0,Erangel (Remastered),1778.0,2020-05-02 09:23:09+00:00,7.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,kp,0.56486166,2009.4442,0.4375
132216,0.0,0.0,2.0,27.657408,byplayer,0.0,3.0,69.0,0.0,0.0,0.0,aloha,account.d59efaac73964d9ea161b89d57352320,0.0,0.0,0.0,0.0,0.0,762.449,0.0,1719.032,4.0,Miramar,1816.0,2020-05-02 06:20:31+00:00,14.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,kp,0.41985077,1719.032,0.875
132927,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,49.0,0.0,0.0,0.0,aloha,account.d59efaac73964d9ea161b89d57352320,0.0,624.5439,0.0,0.0,0.0,498.893,0.0,596.85266,2.0,Erangel (Remastered),1814.0,2020-05-02 10:06:37+00:00,4.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,kp,0.2750237,1221.3965,0.25
133131,1.0,0.0,7.0,415.7112,alive,0.0,4.0,14.0,1.0,1.0,79.82486,aloha,account.6e42c0549b41443ea827d39cc054caaf,0.0,3240.75,0.0,0.0,0.0,1788.618,0.0,1201.7457,3.0,Erangel (Remastered),1788.0,2020-01-11 11:52:13+00:00,1.0,True,kr-nr20,2020-01-08 11:45:46+00:00,1,1.0,4442.4956,0.0555555559694767
133224,0.0,2.0,4.0,114.87569,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,aloha,account.6e42c0549b41443ea827d39cc054caaf,0.0,6710.518,0.0,0.0,0.0,1176.413,0.0,1407.3962,2.0,Erangel (Remastered),1838.0,2020-01-09 11:52:18+00:00,13.0,False,kr-nr20,2020-01-08 11:45:46+00:00,1,0.6400506,8117.914,0.7222222089767456
133293,1.0,1.0,6.0,172.88895,byplayer,0.0,2.0,27.0,1.0,1.0,29.865652,aloha,account.6e42c0549b41443ea827d39cc054caaf,0.0,7701.6875,0.0,0.0,0.0,1333.629,0.0,1322.7705,4.0,Erangel (Remastered),1771.0,2020-01-08 11:14:43+00:00,10.0,False,kr-nr20,2020-01-08 11:45:46+00:00,1,0.7530373,9024.458,0.5555555820465088
133380,2.0,3.0,8.0,623.9049,byzone,0.0,3.0,13.0,1.0,2.0,43.66413,aloha,account.6e42c0549b41443ea827d39cc054caaf,0.0,3235.7747,0.0,0.0,0.0,1381.78,0.0,2122.618,5.0,Miramar,1836.0,2020-01-10 15:08:43+00:00,9.0,False,kr-nr20,2020-01-08 11:45:46+00:00,1,0.75260353,5358.3926,0.529411792755127
