,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55282,2.0,0.0,1.0,356.6436,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,hellen,account.1349ab3f95b946838f594d21783626a6,1.0,2163.5327,0.0,0.0,0.0,1698.782,0.0,2259.1794,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.90601707,4422.712,0.3125
55488,0.0,1.0,4.0,224.91069,byplayer,0.0,12.0,58.0,0.0,0.0,0.0,hellen,account.1349ab3f95b946838f594d21783626a6,0.0,1779.685,0.0,0.0,0.0,956.317,0.0,729.73315,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.5160912,2509.4182,0.875
55858,2.0,2.0,0.0,321.5869,byplayer,2.0,0.0,6.0,0.0,3.0,398.14426,hellen,account.1349ab3f95b946838f594d21783626a6,0.0,1872.8727,0.0,0.0,0.0,1521.789,0.0,1423.5164,4.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.8421632,3296.3892,0.25
55897,2.0,0.0,1.0,310.28134,byplayer,0.0,1.0,27.0,0.0,1.0,39.528145,hellen,account.1349ab3f95b946838f594d21783626a6,0.0,5787.582,0.0,0.0,0.0,1351.723,0.0,1066.7639,3.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.73864645,6854.3457,0.625
55939,0.0,0.0,1.0,116.38076,byplayer,0.0,1.0,52.0,0.0,0.0,0.0,hellen,account.1349ab3f95b946838f594d21783626a6,0.0,7124.91,0.0,0.0,0.0,1007.365,0.0,803.09827,3.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,t1,0.5427613,7928.0083,0.8125
79443,1.0,6.0,7.0,646.4426,byplayer,0.0,6.0,11.0,0.0,2.0,172.43562,hellen,account.b48d22e45ed3466a87dc605c2d0a4d15,0.0,1193.1499,0.0,0.0,0.0,1729.989,3.0,1230.2568,7.0,Erangel (Remastered),1850.0,2020-08-15 10:58:48+00:00,2.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.9351292,2423.4067,0.125
79511,0.0,0.0,3.0,79.05342,byplayer,0.0,0.0,25.0,0.0,1.0,34.59474,hellen,account.42c9432188054ca1b679f8b6ed987d2f,0.0,2972.191,0.0,0.0,0.0,1437.282,0.0,2185.9653,3.0,Miramar,1829.0,2020-08-15 10:01:34+00:00,8.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.7858294,5158.1562,0.5
79539,0.0,0.0,8.0,73.6,byplayer,1.0,11.0,27.0,0.0,1.0,53.159653,hellen,account.4de9578fdf9e4179a51553922112da57,0.0,9009.173,0.0,0.0,0.0,1129.331,2.0,1058.4188,6.0,Erangel (Remastered),1806.0,2020-08-14 12:28:38+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.62532175,10067.592,0.5625
79630,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,34.0,0.0,0.0,0.0,hellen,account.347f7c543d5f48288b644698c1b58b53,0.0,2576.258,0.0,0.0,0.0,460.764,0.0,453.26245,3.0,Erangel (Remastered),1782.0,2020-08-01 11:56:09+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.25856566,3029.5205,0.1875
79678,1.0,1.0,5.0,665.982,byplayer,0.0,2.0,14.0,0.0,2.0,211.388,hellen,account.0f5dbca7f3314cb0b99f63da38fce1f1,1.0,7773.9136,0.0,0.0,0.0,1508.269,0.0,930.6396,3.0,Miramar,1872.0,2020-08-01 09:07:35+00:00,8.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.8056993,8704.553,0.5
79755,0.0,2.0,6.0,118.034195,byplayer,0.0,0.0,35.0,0.0,0.0,0.0,hellen,account.efb26dcf67214a008496548494d52a89,0.0,5215.135,0.0,0.0,0.0,1617.565,0.0,2495.91,9.0,Erangel (Remastered),1777.0,2020-07-31 12:30:15+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.9102785,7711.045,0.1875
79860,2.0,0.0,4.0,202.53061,byplayer,0.0,2.0,18.0,0.0,1.0,359.89813,hellen,account.3a196f6d8ca747a78bcc59321111f51b,0.0,1076.7192,0.0,0.0,0.0,1745.78,0.0,1554.8303,5.0,Erangel (Remastered),1818.0,2020-08-15 11:49:07+00:00,1.0,True,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.96027505,2631.5496,0.0625
80001,0.0,0.0,4.0,129.5755,byplayer,0.0,4.0,44.0,0.0,0.0,0.0,hellen,account.0f5dbca7f3314cb0b99f63da38fce1f1,0.0,8720.232,0.0,0.0,0.0,1015.185,0.0,618.8183,5.0,Miramar,1661.0,2020-08-01 09:59:58+00:00,8.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.61118907,9339.051,0.5
80113,1.0,0.0,1.0,210.9365,byplayer,0.0,0.0,44.0,0.0,0.0,0.0,hellen,account.db902ff192d24c438c9f287e8ac0780f,0.0,2951.0579,0.0,0.0,0.0,1247.4,0.0,1095.7413,3.0,Miramar,1798.0,2020-08-07 12:35:22+00:00,10.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.6937709,4046.7993,0.625
80190,0.0,0.0,3.0,67.593605,byplayer,0.0,2.0,39.0,0.0,0.0,0.0,hellen,account.15d32118b4424baea05201d7fd7c9206,0.0,3277.0762,0.0,0.0,0.0,1177.885,0.0,1476.8298,3.0,Miramar,1658.0,2020-08-08 12:25:54+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.7104252,4753.9062,0.25
80246,3.0,1.0,9.0,705.6609,alive,0.0,4.0,6.0,0.0,2.0,69.43554,hellen,account.efb26dcf67214a008496548494d52a89,0.0,4821.3516,0.0,0.0,0.0,1783.981,0.0,2079.265,5.0,Erangel (Remastered),1783.0,2020-07-31 10:55:45+00:00,1.0,True,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,1.0,6900.616,0.0625
80483,1.0,0.0,3.0,263.43927,byplayer,0.0,2.0,14.0,0.0,2.0,238.35065,hellen,account.3a196f6d8ca747a78bcc59321111f51b,1.0,6670.997,0.0,0.0,0.0,1187.164,1.0,1436.5515,4.0,Erangel (Remastered),1726.0,2020-08-15 12:37:31+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.68781227,8107.549,0.5625
80496,3.0,0.0,7.0,590.71326,byplayer,0.0,5.0,32.0,0.0,0.0,0.0,hellen,account.e3c326f2d9874e17af2841018c5dd086,6.0,1857.3297,0.0,0.0,0.0,1850.751,0.0,1392.2125,6.0,Miramar,1850.0,2020-08-08 10:37:55+00:00,2.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,1.0,3249.5422,0.125
80598,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,hellen,account.f865e3397494412ca825d2fac3fb9086,0.0,1840.6283,0.0,0.0,0.0,735.92,0.0,607.38214,3.0,Erangel (Remastered),1872.0,2020-08-08 09:45:58+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.39311966,2448.0105,0.8125
80674,0.0,0.0,1.0,154.04199,byplayer,0.0,1.0,40.0,0.0,0.0,0.0,hellen,account.f865e3397494412ca825d2fac3fb9086,0.0,9533.657,0.0,0.0,0.0,1325.537,0.0,880.04,2.0,Erangel (Remastered),1664.0,2020-08-08 09:02:54+00:00,6.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.79659677,10413.697,0.375
80740,0.0,1.0,3.0,239.975,byplayer,0.0,1.0,37.0,0.0,0.0,0.0,hellen,account.5c0e9a23da9a4882bddd06b4acdce85c,0.0,2221.5305,0.0,0.0,0.0,1571.387,0.0,1237.1172,3.0,Miramar,1779.0,2020-08-07 10:43:15+00:00,5.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.8832979,3458.6477,0.3125
80758,5.0,0.0,5.0,566.3933,alive,1.0,3.0,2.0,0.0,5.0,109.96604,hellen,account.347f7c543d5f48288b644698c1b58b53,0.0,5429.5283,0.0,0.0,0.0,1610.054,0.0,2161.9229,5.0,Erangel (Remastered),1610.0,2020-08-01 11:06:42+00:00,1.0,True,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,1.0,7591.451,0.0625
80857,0.0,0.0,1.0,31.02,byplayer,0.0,0.0,44.0,0.0,0.0,0.0,hellen,account.efb26dcf67214a008496548494d52a89,0.0,1933.1525,0.0,0.0,0.0,766.089,0.0,499.1798,2.0,Erangel (Remastered),1698.0,2020-07-31 11:45:37+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,t1,0.45117137,2432.3323,0.5625
