,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54966,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,55.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,4991.944,0.0,0.0,0.0,811.082,0.0,515.3602,6.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.5229413,5507.304,0.8125
55055,0.0,0.0,3.0,0.0,byplayer,0.0,3.0,49.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,2792.792,0.0,0.0,0.0,1258.062,0.0,815.70685,7.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.69853526,3608.4988,0.5625
55134,1.0,0.0,4.0,67.80804,byplayer,0.0,1.0,22.0,0.0,1.0,225.02246,k1nch,account.848e14c983f84189885c6e078855b327,0.0,3842.6682,0.0,0.0,0.0,1391.392,0.0,1543.6735,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.7488654,5386.342,0.3125
55191,1.0,1.0,4.0,188.89102,byplayer,0.0,0.0,26.0,0.0,1.0,47.837902,k1nch,account.848e14c983f84189885c6e078855b327,0.0,3519.9924,0.0,0.0,0.0,1279.994,0.0,1436.3973,2.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.69263744,4956.3896,0.5625
55235,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,52.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,1676.5458,0.0,0.0,0.0,391.156,0.0,375.10263,3.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.20861654,2051.6484,0.625
55420,1.0,2.0,1.0,227.71718,byzone,0.0,1.0,27.0,0.0,1.0,52.662533,k1nch,account.848e14c983f84189885c6e078855b327,0.0,3937.6873,0.0,0.0,0.0,1239.148,0.0,970.3876,3.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.7129735,4908.0747,0.75
55532,0.0,1.0,4.0,72.11374,byplayer,0.0,0.0,12.0,0.0,2.0,50.79152,k1nch,account.848e14c983f84189885c6e078855b327,0.0,5565.438,0.0,0.0,0.0,1594.255,0.0,1350.1111,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.86036426,6915.549,0.3125
55672,3.0,0.0,1.0,209.90782,byplayer,0.0,0.0,9.0,0.0,2.0,263.1895,k1nch,account.848e14c983f84189885c6e078855b327,1.0,4987.922,0.0,0.0,0.0,1182.196,0.0,980.3685,3.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.6271597,5968.2905,0.0625
55762,0.0,0.0,2.0,80.029785,byzone,0.0,4.0,60.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,6679.4707,0.0,0.0,0.0,1162.737,0.0,457.4895,2.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.70002234,7136.96,0.9375
55843,1.0,0.0,6.0,185.20049,byplayer,0.0,35.0,50.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,10534.787,0.0,0.0,0.0,1079.892,0.0,855.9813,2.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.5976159,11390.769,0.8125
55891,1.0,0.0,2.0,138.32388,byplayer,0.0,0.0,30.0,0.0,1.0,39.77311,k1nch,account.848e14c983f84189885c6e078855b327,1.0,4905.686,0.0,0.0,0.0,1248.794,0.0,1038.6498,5.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.68240106,5944.336,0.6875
55935,2.0,1.0,7.0,208.76666,byplayer,0.0,6.0,24.0,0.0,1.0,74.5367,k1nch,account.848e14c983f84189885c6e078855b327,0.0,8630.137,0.0,0.0,0.0,1554.367,0.0,1254.9795,4.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.8374822,9885.116,0.5
56120,0.0,0.0,2.0,30.941685,byplayer,0.0,2.0,48.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,1.0,2218.6829,0.0,0.0,0.0,1067.531,0.0,480.4577,5.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.5776683,2699.1406,0.75
56185,2.0,0.0,2.0,318.3893,byplayer,1.0,4.0,6.0,0.0,4.0,266.91333,k1nch,account.848e14c983f84189885c6e078855b327,1.0,4316.7773,0.0,0.0,0.0,1387.524,0.0,967.0424,3.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.76195717,5283.82,0.5
56302,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,4526.898,0.0,0.0,0.0,1142.026,0.0,1082.7135,6.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.6721754,5609.6113,0.75
56507,1.0,0.0,2.0,130.39206,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,1.0,2982.8103,0.0,0.0,0.0,1114.687,0.0,761.2297,3.0,Erangel (Remastered),1744.0,2020-09-26 09:35:43+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.6391554,3744.04,0.875
56949,0.0,0.0,4.0,0.0,byplayer,0.0,16.0,36.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,10167.661,0.0,0.0,0.0,1700.281,0.0,989.9779,5.0,Erangel (Remastered),1782.0,2020-09-25 09:41:44+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.954142,11157.639,0.1875
57073,3.0,1.0,4.0,576.45966,byplayer,1.0,2.0,7.0,0.0,3.0,23.33672,k1nch,account.848e14c983f84189885c6e078855b327,0.0,5711.382,0.0,0.0,0.0,1782.642,0.0,1383.3505,5.0,Erangel (Remastered),1855.0,2020-09-19 11:57:26+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.960993,7094.7324,0.1875
57100,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,6857.33,0.0,0.0,0.0,704.754,0.0,441.89606,9.0,Erangel (Remastered),1729.0,2020-09-26 08:53:15+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.40760788,7299.226,1.0
57195,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,k1nch,account.848e14c983f84189885c6e078855b327,0.0,3504.535,0.0,0.0,0.0,859.055,0.0,846.4457,3.0,Miramar,1835.0,2020-09-25 11:10:57+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.46814987,4350.9805,0.25
79412,1.0,0.0,0.0,100.00001,byplayer,0.0,0.0,28.0,0.0,1.0,44.315952,k1nch,account.ed95779bb9584525864eb4a229229167,0.0,3363.336,0.0,0.0,0.0,674.513,0.0,438.9136,3.0,Erangel (Remastered),1850.0,2020-08-15 10:58:48+00:00,16.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.3646016,3802.2495,1.0
79529,0.0,1.0,8.0,26.916208,byplayer,0.0,2.0,51.0,0.0,0.0,0.0,k1nch,account.579fe7ec3a3b4210a755cf0dbf4e04c0,0.0,6599.3354,0.0,0.0,0.0,1370.064,0.0,1506.4684,7.0,Miramar,1829.0,2020-08-15 10:01:34+00:00,11.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.74907815,8105.8037,0.6875
79556,2.0,0.0,2.0,171.09595,byplayer,0.0,1.0,14.0,0.0,2.0,55.18342,k1nch,account.fde7fe09bee34f6490a68ffe971b694c,0.0,4883.65,0.0,0.0,0.0,1252.24,0.0,867.81146,5.0,Erangel (Remastered),1806.0,2020-08-14 12:28:38+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.6933776,5751.4614,0.8125
79868,0.0,1.0,2.0,85.045746,byplayer,0.0,1.0,47.0,0.0,0.0,0.0,k1nch,account.3dcd74bd66a341c49ab73f72649ca468,0.0,4757.2573,0.0,0.0,0.0,1097.928,0.0,806.06055,5.0,Erangel (Remastered),1818.0,2020-08-15 11:49:07+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.60392076,5563.318,0.5625
80174,0.0,1.0,3.0,144.0,byplayer,0.0,0.0,40.0,0.0,0.0,0.0,k1nch,account.38b50809c65441798dbfbfa6daad27c3,0.0,2516.7854,0.0,0.0,0.0,1283.657,0.0,1648.8411,4.0,Miramar,1798.0,2020-08-07 12:35:22+00:00,7.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.71393603,4165.6265,0.4375
80238,1.0,0.0,5.0,274.1156,byplayer,0.0,5.0,16.0,0.0,1.0,80.413216,k1nch,account.2a0a154db7c44612a0cb7be62719eb71,1.0,9153.189,0.0,0.0,0.0,1533.867,0.0,1432.0746,6.0,Miramar,1658.0,2020-08-08 12:25:54+00:00,6.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.92513084,10585.264,0.375
80454,0.0,0.0,0.0,27.6,byplayer,0.0,0.0,55.0,0.0,0.0,0.0,k1nch,account.3dcd74bd66a341c49ab73f72649ca468,0.0,4334.4165,0.0,0.0,0.0,786.48,0.0,740.8843,5.0,Erangel (Remastered),1726.0,2020-08-15 12:37:31+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.45566627,5075.301,0.8125
80499,1.0,0.0,8.0,326.7459,byplayer,0.0,4.0,20.0,0.0,1.0,44.148014,k1nch,account.3f4464caa9c94f12a7353f7f74392298,0.0,7427.1543,0.0,0.0,0.0,1730.667,0.0,1682.0669,5.0,Miramar,1850.0,2020-08-08 10:37:55+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.9354957,9109.221,0.25
80581,0.0,1.0,0.0,91.133835,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,k1nch,account.4b67f55ec4524b7a81090b8a53f69bce,0.0,3788.3757,0.0,0.0,0.0,559.311,0.0,373.73468,4.0,Erangel (Remastered),1872.0,2020-08-08 09:45:58+00:00,12.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.29877722,4162.1104,0.75
80631,2.0,3.0,3.0,192.02655,byplayer,0.0,3.0,19.0,0.0,1.0,34.71613,k1nch,account.4b67f55ec4524b7a81090b8a53f69bce,1.0,5023.8267,0.0,0.0,0.0,1612.222,0.0,1739.3289,3.0,Erangel (Remastered),1664.0,2020-08-08 09:02:54+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,em,0.96888345,6763.1553,0.1875
