,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54936,3.0,0.0,3.0,284.20755,byplayer,1.0,1.0,4.0,0.0,4.0,108.333496,seongjang,account.322cc67a3d924049a241292d6316a20a,1.0,3935.4978,0.0,0.0,0.0,874.226,0.0,878.65375,4.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.47332215,4814.1514,0.75
54977,3.0,1.0,2.0,356.06485,byplayer,0.0,2.0,1.0,0.0,5.0,169.60632,seongjang,account.322cc67a3d924049a241292d6316a20a,0.0,1372.1904,0.0,0.0,0.0,1475.7,0.0,1930.0624,6.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.95145065,3302.253,0.1875
55089,0.0,0.0,3.0,69.0,byplayer,0.0,8.0,30.0,0.0,1.0,6.49755,seongjang,account.322cc67a3d924049a241292d6316a20a,0.0,4806.2773,0.0,0.0,0.0,1208.409,0.0,1125.2094,7.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.6709656,5931.487,0.9375
55120,1.0,3.0,6.0,388.03088,byplayer,1.0,7.0,9.0,0.0,2.0,19.964655,seongjang,account.322cc67a3d924049a241292d6316a20a,1.0,1993.943,0.0,0.0,0.0,1857.28,0.0,1462.4379,4.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9996125,3456.3809,0.125
55187,0.0,1.0,1.0,472.7793,byplayer,0.0,0.0,15.0,0.0,1.0,211.16656,seongjang,account.322cc67a3d924049a241292d6316a20a,0.0,1464.7378,0.0,0.0,0.0,1848.088,1.0,1490.256,7.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,2954.9937,0.125
55271,1.0,1.0,2.0,151.95444,suicide,0.0,2.0,8.0,0.0,2.0,234.13391,seongjang,account.322cc67a3d924049a241292d6316a20a,1.0,2250.276,0.0,0.0,1.0,1875.08,0.0,1978.1221,2.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,1.0,4228.398,0.125
55338,0.0,1.0,4.0,46.51808,byplayer,0.0,2.0,53.0,0.0,0.0,0.0,seongjang,account.322cc67a3d924049a241292d6316a20a,0.0,1944.1704,0.0,0.0,0.0,1113.92,0.0,1600.164,4.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.68171364,3544.3345,0.8125
55387,1.0,1.0,3.0,50.066048,byplayer,0.0,1.0,23.0,0.0,1.0,318.58255,seongjang,account.322cc67a3d924049a241292d6316a20a,1.0,2377.037,0.0,0.0,0.0,1443.572,0.0,1626.8328,3.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.7811537,4003.8699,0.375
55470,0.0,1.0,4.0,143.51999,byplayer,0.0,5.0,36.0,0.0,0.0,0.0,seongjang,account.322cc67a3d924049a241292d6316a20a,0.0,8517.016,0.0,0.0,0.0,1628.976,0.0,1635.4868,6.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.9372704,10152.502,0.25
55512,1.0,0.0,1.0,97.301476,byplayer,0.0,4.0,18.0,0.0,1.0,7.163542,seongjang,account.322cc67a3d924049a241292d6316a20a,1.0,1631.4521,0.0,0.0,0.0,1155.556,0.0,1289.8035,3.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,ent,0.6236136,2921.2556,0.1875
