,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54942,0.0,0.0,1.0,0.0,byplayer,0.0,1.0,46.0,0.0,0.0,0.0,daeva,account.50269c6e309c430985702bd94367f814,0.0,5417.018,0.0,0.0,0.0,788.262,0.0,778.29944,5.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.42677966,6195.3174,0.625
55016,3.0,1.0,6.0,443.06378,byplayer,0.0,11.0,12.0,0.0,2.0,22.790852,daeva,account.50269c6e309c430985702bd94367f814,0.0,2087.8022,0.0,0.0,0.0,1478.465,0.0,1750.1349,7.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.95323336,3837.937,0.25
55032,0.0,0.0,1.0,72.23926,byplayer,0.0,0.0,42.0,0.0,0.0,0.0,daeva,account.50269c6e309c430985702bd94367f814,0.0,3818.8687,0.0,0.0,0.0,1312.234,0.0,892.1379,3.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.7286141,4711.0063,0.3125
55118,0.0,1.0,5.0,61.263382,byplayer,0.0,2.0,45.0,0.0,0.0,0.0,daeva,account.50269c6e309c430985702bd94367f814,0.0,3045.5647,0.0,0.0,0.0,1391.335,0.0,1080.461,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.7488347,4126.026,0.5625
55201,2.0,0.0,2.0,200.0,byplayer,1.0,1.0,21.0,0.0,1.0,34.49927,daeva,account.50269c6e309c430985702bd94367f814,0.0,2345.6714,0.0,0.0,0.0,1195.216,0.0,2127.6672,4.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.6467619,4473.339,0.375
55250,0.0,1.0,1.0,160.31143,byplayer,0.0,0.0,65.0,0.0,0.0,0.0,daeva,account.50269c6e309c430985702bd94367f814,0.0,3856.2925,0.0,0.0,0.0,626.93,0.0,740.23016,3.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.33436266,4596.5225,1.0
55296,1.0,2.0,1.0,258.12454,byplayer,0.0,2.0,39.0,0.0,0.0,0.0,daeva,account.50269c6e309c430985702bd94367f814,0.0,3071.2397,0.0,0.0,0.0,1364.044,0.0,1661.4875,4.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.8347882,4732.7275,0.4375
55349,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,daeva,account.50269c6e309c430985702bd94367f814,0.0,1391.9012,0.0,0.0,0.0,630.817,0.0,514.9378,6.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.3413512,1906.8391,1.0
55444,3.0,3.0,7.0,485.67767,byplayer,0.0,5.0,1.0,0.0,5.0,135.77196,daeva,account.50269c6e309c430985702bd94367f814,0.0,4591.8647,0.0,0.0,0.0,1717.301,0.0,1635.8376,4.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.98809034,6227.702,0.0625
55521,0.0,0.0,3.0,52.572056,byplayer,0.0,6.0,49.0,0.0,0.0,0.0,daeva,account.50269c6e309c430985702bd94367f814,1.0,2632.3608,0.0,0.0,0.0,877.393,0.0,1262.2216,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.47349864,3894.5825,0.6875
