,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54915,5.0,3.0,8.0,562.2625,alive,3.0,1.0,1.0,0.0,5.0,41.19697,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,3.0,6008.845,0.0,0.0,0.0,1847.694,0.0,1993.048,4.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,1.0,8001.893,0.0625
55283,2.0,2.0,1.0,316.79065,alive,0.0,0.0,8.0,0.0,2.0,30.2138,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,7968.0093,0.0,0.0,0.0,1634.012,0.0,1151.7096,4.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,1.0,9119.719,0.0625
55380,1.0,1.0,4.0,329.2735,byplayer,0.0,1.0,44.0,0.0,0.0,0.0,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,4847.5225,0.0,0.0,0.0,1317.518,0.0,1200.3123,4.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.7129426,6047.835,0.5625
55619,2.0,1.0,5.0,353.62408,byplayer,0.0,4.0,22.0,0.0,1.0,120.996925,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,8811.891,0.0,0.0,0.0,1251.239,0.0,1165.4012,5.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.774761,9977.292,0.5
56332,1.0,0.0,5.0,172.16304,byzone,0.0,12.0,22.0,0.0,1.0,3.2607834,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,5173.423,0.0,0.0,0.0,1362.397,0.0,786.2687,5.0,Erangel (Remastered),1790.0,2020-10-10 10:37:31+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.7611156,5959.6914,0.5
56422,2.0,0.0,4.0,371.5038,byplayer,0.0,1.0,21.0,0.0,1.0,15.272644,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,639.9136,0.0,0.0,0.0,1850.394,1.0,2038.1433,3.0,Erangel (Remastered),1858.0,2020-10-09 10:32:08+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.99590635,2678.057,0.0625
56481,0.0,0.0,1.0,65.38451,byplayer,0.0,0.0,61.0,0.0,0.0,0.0,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,4957.2983,0.0,0.0,0.0,1063.48,0.0,916.4874,4.0,Miramar,1778.0,2020-10-09 08:53:09+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.5981327,5873.7856,0.9375
56785,0.0,0.0,3.0,93.223946,byplayer,0.0,0.0,28.0,0.0,1.0,159.34445,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,9817.022,0.0,0.0,0.0,1261.453,0.0,1053.5468,7.0,Miramar,1839.0,2020-10-10 09:48:42+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,0.6859451,10870.569,0.625
56843,3.0,1.0,2.0,379.9118,alive,1.0,3.0,8.0,0.0,2.0,22.56575,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,3333.3423,0.0,0.0,0.0,1867.296,0.0,1887.4309,8.0,Miramar,1867.0,2020-10-10 08:58:32+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,1.0,5220.7734,0.0625
56931,2.0,2.0,5.0,324.43152,alive,1.0,3.0,6.0,0.0,3.0,86.76656,hwan2da,account.b69d7d8daf834aa6aef5bc45cd3ff783,0.0,6281.186,0.0,0.0,0.0,1711.956,0.0,2050.1265,4.0,Erangel (Remastered),1711.0,2020-10-09 12:02:19+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,grf,1.0,8331.3125,0.0625
