,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54955,0.0,0.0,1.0,67.2,byplayer,0.0,1.0,56.0,0.0,0.0,0.0,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,3479.917,0.0,0.0,0.0,839.532,0.0,787.72,6.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.45453817,4267.6367,0.875
54992,1.0,2.0,2.0,334.44058,alive,1.0,1.0,3.0,0.0,4.0,73.258125,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,2312.761,0.0,0.0,0.0,1551.815,0.0,2018.1305,4.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,1.0,4330.8916,0.0625
55082,1.0,0.0,4.0,291.99445,byplayer,0.0,3.0,17.0,0.0,1.0,93.288124,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,9789.203,0.0,0.0,0.0,1625.523,0.0,1001.2985,5.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.90256685,10790.502,0.1875
55124,4.0,2.0,7.0,601.7753,byzone,0.0,6.0,17.0,0.0,1.0,15.921565,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,3117.4143,0.0,0.0,0.0,1765.63,0.0,1402.4298,4.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.95028526,4519.844,0.1875
55198,1.0,1.0,3.0,258.12473,byplayer,0.0,0.0,12.0,0.0,2.0,57.775997,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,5106.1567,0.0,0.0,0.0,1193.565,0.0,801.55414,4.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.6458685,5907.711,0.6875
55232,1.0,0.0,5.0,222.5222,byplayer,1.0,2.0,22.0,0.0,1.0,12.806723,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,5832.4707,0.0,0.0,0.0,1603.915,0.0,1137.9937,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.85542136,6970.4644,0.4375
55291,1.0,2.0,3.0,232.34352,byplayer,0.0,1.0,25.0,0.0,1.0,179.24254,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,1529.5056,0.0,0.0,0.0,1262.525,0.0,1040.142,4.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.7726591,2569.6475,0.5625
55403,0.0,1.0,2.0,108.47171,byplayer,0.0,0.0,34.0,0.0,1.0,492.57324,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,3057.2031,0.0,0.0,0.0,995.249,0.0,875.89056,2.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.53855467,3933.0938,0.875
55456,1.0,0.0,0.0,277.6844,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,inonix,account.6b09736098bd494b89f9762db9ff49aa,1.0,2586.4353,0.0,0.0,0.0,1144.66,0.0,1049.0958,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.6586076,3635.5312,0.875
55502,1.0,0.0,4.0,200.54239,byplayer,0.0,1.0,26.0,0.0,1.0,41.02959,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,3227.6611,0.0,0.0,0.0,1331.798,0.0,1612.6079,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.7187253,4840.269,0.625
55640,0.0,2.0,4.0,291.80664,byplayer,0.0,8.0,54.0,0.0,0.0,0.0,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,7108.3013,0.0,0.0,0.0,1167.991,0.0,887.09607,5.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.7232142,7995.3975,0.8125
55692,0.0,1.0,1.0,62.1,byzone,0.0,0.0,64.0,0.0,0.0,0.0,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,5899.97,0.0,0.0,0.0,950.733,0.0,668.0719,5.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.50436765,6568.042,1.0
55774,3.0,3.0,0.0,467.9578,alive,1.0,0.0,5.0,0.0,2.0,293.77823,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,2390.2336,0.0,0.0,0.0,1661.984,0.0,1012.85046,3.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,1.0,3403.084,0.0625
55837,0.0,0.0,4.0,0.0,byplayer,0.0,0.0,31.0,0.0,0.0,0.0,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,7069.5273,0.0,0.0,0.0,912.736,0.0,690.5616,3.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.5051112,7760.089,0.125
55887,2.0,2.0,2.0,278.92578,byplayer,1.0,1.0,4.0,0.0,3.0,158.9825,inonix,account.6b09736098bd494b89f9762db9ff49aa,0.0,2430.7961,0.0,0.0,0.0,1550.973,0.0,2035.062,3.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.84752625,4465.8584,0.3125
