,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54960,0.0,0.0,4.0,269.54797,byplayer,0.0,3.0,35.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,1.0,8472.638,0.0,0.0,0.0,1482.404,0.0,858.1213,3.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.802601,9330.759,0.375
54983,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,65.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,4054.5957,0.0,0.0,0.0,814.244,0.0,603.66925,5.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.52498,4658.265,1.0
55061,3.0,0.0,2.0,270.1073,byplayer,0.0,0.0,11.0,0.0,2.0,329.4491,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,2800.8809,0.0,0.0,0.0,1246.552,0.0,1005.2648,3.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.6921444,3806.1455,0.5
55109,3.0,1.0,6.0,296.85876,byplayer,1.0,3.0,6.0,0.0,3.0,186.26363,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3275.0784,0.0,0.0,0.0,1434.065,0.0,1460.723,6.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.7718326,4735.8013,0.375
55215,2.0,0.0,2.0,195.21347,byplayer,0.0,1.0,32.0,0.0,1.0,37.715122,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,7247.1714,0.0,0.0,0.0,990.316,0.0,848.5929,4.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.5358853,8095.764,0.875
55264,1.0,1.0,6.0,208.65907,byplayer,0.0,3.0,21.0,0.0,1.0,20.167503,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3769.6313,0.0,0.0,0.0,1482.187,0.0,1179.7319,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.79049975,4949.3633,0.375
55300,1.0,2.0,6.0,193.48291,byplayer,1.0,4.0,23.0,0.0,1.0,89.738434,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,782.06775,0.0,0.0,0.0,1315.841,0.0,1139.8917,7.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.8052882,1921.9595,0.5
55368,0.0,0.0,6.0,147.49776,byplayer,0.0,2.0,17.0,0.0,2.0,118.112946,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3927.4731,0.0,0.0,0.0,1143.261,0.0,873.76654,4.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.6186477,4801.2397,0.75
55460,0.0,0.0,3.0,0.0,byplayer,0.0,2.0,55.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,6963.2026,0.0,0.0,0.0,1073.006,0.0,1087.7312,4.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.6173797,8050.9336,0.8125
55491,1.0,0.0,0.0,216.23584,byplayer,0.0,1.0,29.0,0.0,1.0,20.989067,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3454.2217,0.0,0.0,0.0,1158.34,0.0,715.4815,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.625116,4169.703,0.75
55654,0.0,0.0,4.0,45.74608,byzone,0.0,9.0,60.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,4351.1436,0.0,0.0,0.0,933.939,0.0,672.54236,4.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.5782904,5023.686,0.9375
55713,0.0,0.0,3.0,111.9214,byplayer,0.0,3.0,39.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3172.6719,0.0,0.0,0.0,1491.077,0.0,1360.259,3.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.7910223,4532.9307,0.3125
55747,0.0,0.0,3.0,0.0,byplayer,0.0,2.0,15.0,0.0,2.0,331.5463,sparrow,account.623d3df671c64817930276f3482f34ef,1.0,4245.1704,0.0,0.0,0.0,1236.978,0.0,1225.3011,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.74471885,5470.4717,0.6875
55850,0.0,0.0,5.0,43.17502,byplayer,0.0,2.0,35.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3845.0046,0.0,0.0,0.0,1364.932,0.0,816.9161,2.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.75535804,4661.921,0.3125
55861,0.0,0.0,4.0,0.0,byplayer,0.0,6.0,62.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3693.7664,0.0,0.0,0.0,995.494,0.0,1977.3308,9.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.5439858,5671.097,0.9375
55933,1.0,4.0,5.0,484.16922,byplayer,0.0,4.0,13.0,0.0,2.0,72.92359,sparrow,account.623d3df671c64817930276f3482f34ef,1.0,6108.889,0.0,0.0,0.0,1730.943,1.0,2315.719,3.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.93262017,8424.608,0.375
56158,0.0,0.0,0.0,67.744,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3790.6294,0.0,0.0,0.0,872.375,0.0,895.67755,6.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.4720644,4686.307,1.0
56241,3.0,1.0,5.0,914.3761,byplayer,0.0,6.0,5.0,0.0,4.0,232.94571,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,3496.064,0.0,0.0,0.0,1821.371,0.0,2296.7637,4.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,1.0,5792.8276,0.125
56285,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,47.0,0.0,0.0,0.0,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,6907.4604,0.0,0.0,0.0,812.893,0.0,542.7798,5.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.4784538,7450.24,0.5625
56359,1.0,0.0,1.0,83.24588,byplayer,1.0,0.0,32.0,0.0,1.0,22.463388,sparrow,account.623d3df671c64817930276f3482f34ef,0.0,2093.681,0.0,0.0,0.0,651.086,0.0,556.1396,3.0,Erangel (Remastered),1790.0,2020-10-10 10:37:31+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.3637352,2649.8206,0.9375
56405,0.0,1.0,5.0,18.705904,byplayer,0.0,3.0,14.0,0.0,2.0,78.90455,sparrow,account.623d3df671c64817930276f3482f34ef,1.0,4581.2046,0.0,0.0,0.0,1720.145,0.0,1104.9983,2.0,Erangel (Remastered),1858.0,2020-10-09 10:32:08+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,lvg,0.9258046,5686.203,0.1875
