,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
79834,0.0,1.0,3.0,59.931057,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,0.0,4414.8223,0.0,0.0,0.0,976.289,0.0,645.3676,5.0,Miramar,1773.0,2020-07-23 11:10:47+00:00,15.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.55064243,5060.19,0.9375
79957,0.0,1.0,1.0,343.21317,byplayer,1.0,4.0,22.0,0.0,1.0,17.044762,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,2.0,3456.7644,0.0,0.0,0.0,1571.632,0.0,612.13794,5.0,Erangel (Remastered),1665.0,2020-07-23 09:42:44+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.9439231,4068.9023,0.25
80089,3.0,0.0,3.0,226.48065,byplayer,0.0,1.0,13.0,0.0,2.0,119.37159,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,0.0,4730.7163,0.0,0.0,0.0,732.71,0.0,601.46594,5.0,Miramar,1911.0,2020-07-24 09:01:32+00:00,16.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.38341707,5332.182,1.0
80361,0.0,0.0,1.0,0.0,byplayer,0.0,3.0,57.0,0.0,0.0,0.0,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,0.0,4419.557,0.0,0.0,0.0,1005.127,0.0,1445.9684,4.0,Erangel (Remastered),1751.0,2020-07-24 10:34:41+00:00,14.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.5740303,5865.5254,0.875
80376,0.0,1.0,3.0,95.44,byplayer,1.0,4.0,22.0,0.0,1.0,25.832294,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,0.0,4215.5576,0.0,0.0,0.0,1047.479,0.0,1053.185,3.0,Erangel (Remastered),1634.0,2020-07-23 09:02:37+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.641052,5268.7427,0.8125
80907,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,0.0,2375.0269,0.0,0.0,0.0,1049.684,0.0,804.4883,2.0,Erangel (Remastered),1525.0,2020-07-24 11:55:19+00:00,12.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.68831736,3179.5151,0.75
81036,0.0,1.0,4.0,510.2747,byplayer,0.0,3.0,16.0,0.0,1.0,9.683384,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,2.0,3747.4194,0.0,0.0,0.0,1723.666,0.0,1456.4313,4.0,Miramar,1765.0,2020-07-23 10:21:43+00:00,1.0,True,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.97658134,5203.8506,0.0625
81735,0.0,0.0,4.0,0.0,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,0.0,3772.181,0.0,0.0,0.0,1208.088,0.0,1184.1499,3.0,Miramar,1811.0,2020-07-23 12:00:33+00:00,8.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.6670834,4956.331,0.5
81847,1.0,0.0,2.0,316.1632,byplayer,0.0,1.0,20.0,0.0,1.0,109.90099,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,0.0,3807.9353,0.0,0.0,0.0,1154.619,0.0,1362.6991,5.0,Miramar,1825.0,2020-07-24 09:53:46+00:00,7.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.63266796,5170.6343,0.4375
81947,0.0,0.0,0.0,0.0,byplayer,0.0,1.0,57.0,0.0,0.0,0.0,reknar,account.dffb2ea668fc48a4ba68911c5f8b7f9b,0.0,1591.4755,0.0,0.0,0.0,330.28,0.0,208.04463,2.0,Erangel (Remastered),1680.0,2020-07-24 11:15:58+00:00,14.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ust,0.19659524,1799.5201,0.875
