,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
66442,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,tanggle,account.f217d416f38e4c08955b965433272cfe,0.0,1073.7563,0.0,0.0,0.0,495.361,0.0,441.71606,4.0,Erangel (Remastered),1759.0,2020-08-25 13:03:05+00:00,16.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.2816151,1515.4724,1.0666667222976685
66501,0.0,0.0,1.0,81.77999,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,tanggle,account.f217d416f38e4c08955b965433272cfe,0.0,6363.179,0.0,0.0,0.0,1095.57,0.0,944.3892,6.0,Erangel (Remastered),1799.0,2020-08-25 12:17:58+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.6089883,7307.5684,0.9333333373069763
66560,0.0,0.0,2.0,32.943275,suicide,0.0,1.0,49.0,0.0,0.0,0.0,tanggle,account.f217d416f38e4c08955b965433272cfe,0.0,4810.7847,0.0,392.88663,1.0,1153.09,0.0,1296.2344,6.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,9.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.6669115,6499.906,0.5625
66644,2.0,1.0,3.0,311.49298,byplayer,1.0,7.0,10.0,0.0,2.0,13.248588,tanggle,account.f217d416f38e4c08955b965433272cfe,2.0,3834.2634,0.0,0.0,0.0,1718.735,0.0,973.4442,7.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.9699407,4807.7075,0.1875
66684,0.0,0.0,0.0,95.22,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,tanggle,account.f217d416f38e4c08955b965433272cfe,0.0,1062.1902,0.0,0.0,0.0,366.95,0.0,489.0483,3.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,16.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.2035219,1551.2385,1.0
66750,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,49.0,0.0,0.0,0.0,tanggle,account.f217d416f38e4c08955b965433272cfe,0.0,5068.17,0.0,0.0,0.0,591.192,0.0,550.64557,3.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.32734886,5618.8154,0.75
67042,1.0,0.0,4.0,125.74,byplayer,0.0,8.0,25.0,0.0,1.0,67.83779,tanggle,account.f217d416f38e4c08955b965433272cfe,0.0,10466.655,0.0,12.718319,0.0,1043.128,0.0,1963.6362,2.0,Erangel (Remastered),1679.0,2020-08-25 11:35:33+00:00,13.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.62127936,12443.01,0.8666666746139526
67109,3.0,1.0,2.0,310.61743,byplayer,0.0,2.0,13.0,0.0,2.0,353.9091,tanggle,account.f217d416f38e4c08955b965433272cfe,0.0,1372.5387,0.0,0.0,0.0,1301.173,0.0,1542.2755,5.0,Miramar,1825.0,2020-08-25 10:50:37+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.7129715,2914.8142,0.800000011920929
67170,1.0,1.0,8.0,103.81,byplayer,0.0,1.0,25.0,0.0,1.0,89.12879,tanggle,account.f217d416f38e4c08955b965433272cfe,1.0,5708.4824,0.0,0.0,0.0,1570.229,0.0,1971.9165,6.0,Miramar,1858.0,2020-08-25 10:05:16+00:00,6.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.84511787,7680.399,0.4000000059604645
67337,0.0,0.0,2.0,148.39615,byplayer,0.0,0.0,52.0,0.0,0.0,0.0,tanggle,account.f217d416f38e4c08955b965433272cfe,0.0,4823.1177,0.0,0.0,0.0,1139.757,0.0,1097.0691,6.0,Erangel (Remastered),1752.0,2020-08-24 12:18:19+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.6505462,5920.1865,0.875
