,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55576,1.0,0.0,4.0,164.28125,byplayer,0.0,0.0,8.0,0.0,2.0,551.78326,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,8986.453,0.0,0.0,0.0,1271.735,0.0,848.6894,5.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,0.7338344,9835.143,0.25
56035,2.0,1.0,5.0,281.8087,byplayer,0.0,5.0,50.0,0.0,0.0,0.0,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,2181.8665,0.0,0.0,0.0,1557.211,1.0,1525.3799,5.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,0.8827727,3707.2463,0.375
56077,0.0,0.0,5.0,0.0,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,5480.7583,0.0,0.0,0.0,957.189,0.0,821.75385,4.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,0.5069857,6302.512,0.5
56604,1.0,0.0,0.0,100.0,byplayer,0.0,0.0,68.0,0.0,0.0,0.0,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,1636.8416,0.0,4.130418,0.0,719.519,0.0,1523.1157,6.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,0.43899876,3164.0876,0.9375
56675,0.0,0.0,3.0,0.0,byplayer,0.0,3.0,55.0,0.0,0.0,0.0,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,4520.406,0.0,0.0,0.0,1128.217,0.0,1675.8119,3.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,0.6687712,6196.218,0.75
56716,1.0,0.0,3.0,227.0435,byplayer,0.0,0.0,45.0,0.0,0.0,0.0,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,1324.2266,0.0,0.0,0.0,1103.062,1.0,1041.7141,5.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,0.6040865,2365.9407,0.3125
57254,0.0,1.0,3.0,0.0,byplayer,0.0,1.0,73.0,0.0,0.0,0.0,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,2546.7517,0.0,0.0,0.0,667.836,0.0,845.52405,6.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,0.366339,3392.276,1.0
57324,0.0,1.0,5.0,119.51939,byplayer,0.0,0.0,16.0,0.0,1.0,41.81449,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,4774.8027,0.0,0.0,0.0,1599.261,0.0,1472.1451,5.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,0.86399835,6246.9478,0.125
57390,0.0,1.0,5.0,291.23975,alive,0.0,2.0,17.0,0.0,1.0,194.15814,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,1836.9144,0.0,9.869981,0.0,1810.434,0.0,2220.335,7.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,1.0,4067.1194,0.0625
57396,0.0,3.0,6.0,136.27602,alive,0.0,4.0,16.0,0.0,1.0,107.34194,jeonha,account.081b4c17ea614aedbb0759e6c2c89550,0.0,5993.0684,0.0,0.0,0.0,1747.598,0.0,2182.5918,4.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,afs,1.0,8175.66,0.0625
