,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54923,1.0,0.0,4.0,17.983532,byplayer,0.0,0.0,25.0,0.0,1.0,39.90893,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,10933.396,0.0,0.0,0.0,1190.041,0.0,1013.04474,4.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.64431024,11946.441,0.5
55131,0.0,1.0,2.0,190.8529,byplayer,0.0,2.0,21.0,0.0,1.0,45.257103,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,3161.4556,0.0,0.0,0.0,1490.988,0.0,1509.7417,4.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.8024693,4671.1973,0.3125
55193,0.0,0.0,2.0,0.0,byplayer,0.0,4.0,47.0,0.0,0.0,0.0,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,4795.235,0.0,0.0,0.0,1272.055,0.0,1733.0696,6.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.6883415,6528.3047,0.5625
55236,0.0,0.0,5.0,22.156172,byplayer,0.0,3.0,51.0,0.0,0.0,0.0,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,5710.4805,0.0,0.0,0.0,1273.726,0.0,925.59717,3.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.6793205,6636.0776,0.625
55304,0.0,0.0,4.0,117.32684,byplayer,0.0,6.0,59.0,0.0,0.0,0.0,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,4309.0674,0.0,0.0,0.0,1061.15,0.0,1011.4418,3.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.6494186,5320.5093,0.9375
55357,0.0,0.0,4.0,280.40417,byplayer,0.0,3.0,30.0,0.0,1.0,204.64983,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,3754.9119,0.0,96.36645,0.0,1274.65,0.0,2146.2283,5.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.68974566,5997.507,0.6875
55534,0.0,1.0,2.0,60.320004,byplayer,0.0,1.0,20.0,0.0,1.0,42.32726,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,5306.529,0.0,0.0,0.0,1424.755,0.0,1683.9781,2.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.768891,6990.507,0.3125
55632,0.0,0.0,2.0,140.4147,byplayer,0.0,1.0,34.0,0.0,0.0,0.0,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,6853.4624,0.0,0.0,0.0,1324.354,0.0,784.02515,3.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.82003343,7637.4873,0.3125
55845,0.0,0.0,4.0,0.0,byplayer,0.0,6.0,53.0,0.0,0.0,0.0,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,6612.935,0.0,0.0,0.0,716.717,0.0,369.2633,3.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.39663363,6982.198,0.8125
55894,1.0,2.0,3.0,123.29425,byplayer,0.0,1.0,52.0,0.0,0.0,0.0,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,3764.8057,0.0,0.0,0.0,1248.594,0.0,1705.17,6.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.6822918,5469.9756,0.6875
55937,2.0,0.0,7.0,145.05244,byzone,0.0,1.0,25.0,0.0,1.0,447.1818,smoke,account.45a1242c6d5c44b5ba9d17eda0baa1d3,0.0,7206.6206,0.0,0.0,0.0,1549.023,0.0,1683.6321,4.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,em,0.8346029,8890.253,0.5
