,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
66538,1.0,0.0,6.0,100.0,byplayer,0.0,2.0,22.0,0.0,1.0,58.40894,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,2180.8613,0.0,0.0,0.0,1364.656,0.0,1209.6655,5.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,5.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.78927475,3390.5269,0.3125
66628,1.0,0.0,0.0,175.7461,byplayer,0.0,1.0,39.0,0.0,0.0,0.0,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,7681.4727,0.0,57.682987,0.0,1153.832,0.0,701.16486,5.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,4.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.65114677,8440.32,0.25
66705,1.0,0.0,4.0,142.53336,byplayer,0.0,3.0,31.0,0.0,1.0,170.07556,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,5940.2524,0.0,0.0,0.0,1034.941,0.0,587.0668,6.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.57401055,6527.3193,0.875
66771,0.0,0.0,4.0,233.1701,byplayer,0.0,11.0,20.0,0.0,1.0,99.29718,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,5833.561,0.0,0.0,0.0,1254.085,0.0,924.9114,4.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,4.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.6943992,6758.4727,0.25
66814,1.0,0.0,3.0,98.0,byplayer,0.0,0.0,25.0,0.0,1.0,14.935819,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,1.0,4700.0376,0.0,0.0,0.0,697.427,0.0,345.52966,6.0,Erangel (Remastered),1734.0,2020-08-26 13:01:52+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.40220705,5045.5674,1.0
66870,0.0,0.0,7.0,397.75287,byplayer,0.0,1.0,16.0,0.0,1.0,3.8496835,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,4035.0696,0.0,0.0,0.0,1676.653,0.0,793.0025,5.0,Erangel (Remastered),1799.0,2020-08-26 12:17:46+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.93199164,4828.0723,0.2142857164144516
66967,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,0.0,0.0,0.0,0.0,386.774,0.0,415.52478,3.0,Erangel (Remastered),1833.0,2020-08-26 11:32:52+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.211006,415.52478,1.0714285373687744
67119,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,37.0,0.0,0.0,0.0,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,3383.257,0.0,0.0,0.0,500.097,0.0,357.09344,3.0,Miramar,1733.0,2020-08-26 10:49:37+00:00,5.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.288573,3740.3506,0.3571428656578064
67267,0.0,0.0,0.0,37.792316,byplayer,0.0,0.0,43.0,0.0,0.0,0.0,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,4942.7437,0.0,0.0,0.0,1357.382,0.0,693.28766,4.0,Miramar,1791.0,2020-08-26 10:05:01+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.7578905,5636.0312,0.7142857313156128
67308,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,dohyeon,account.7ce2b984234944b8a83b46696b8cc59d,0.0,4806.714,0.0,0.0,0.0,538.75,0.0,345.2983,5.0,Erangel (Remastered),1752.0,2020-08-24 12:18:19+00:00,16.0,False,kr-lvup,2020-08-24 04:58:46+00:00,pbn,0.3075057,5152.012,1.0
79794,1.0,0.0,5.0,17.899328,byplayer,0.0,3.0,31.0,0.0,1.0,46.46113,dohyeon,account.799219c3f3c040f89c21524dd2046aaa,0.0,8237.426,0.0,0.0,0.0,1069.58,0.0,901.7368,5.0,Miramar,1773.0,2020-07-23 11:10:47+00:00,14.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,ck,0.60326,9139.162,0.875
