,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55600,1.0,0.0,0.0,100.0,byplayer,0.0,1.0,57.0,0.0,0.0,0.0,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,2.9613807,0.0,0.0,0.0,517.872,0.0,1073.1195,4.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.2988298,1076.0809,0.75
56016,0.0,1.0,3.0,48.106796,byplayer,0.0,3.0,67.0,0.0,0.0,0.0,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,5086.6416,0.0,0.0,0.0,1199.396,0.0,1190.9613,4.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.6799297,6277.603,0.9375
56073,0.0,1.0,2.0,142.6764,byplayer,0.0,1.0,49.0,0.0,0.0,0.0,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,4016.5098,0.0,0.0,0.0,1229.174,0.0,1458.5458,4.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.6510455,5475.0557,0.4375
56612,0.0,1.0,2.0,93.68997,byplayer,0.0,16.0,28.0,0.0,1.0,2.9307852,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,9240.56,0.0,5.510372,0.0,825.438,0.0,1798.9259,6.0,Erangel (Remastered),1639.0,2020-09-11 11:07:54+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.50362295,11044.996,0.875
56669,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,69.0,0.0,0.0,0.0,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,3777.8591,0.0,0.0,0.0,759.868,0.0,451.27026,4.0,Miramar,1687.0,2020-09-11 09:46:36+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.4504256,4229.1294,1.0
56728,1.0,1.0,2.0,182.14612,byplayer,0.0,0.0,27.0,0.0,1.0,56.935123,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,4141.544,0.0,0.0,0.0,1108.253,0.0,1275.9532,4.0,Miramar,1826.0,2020-09-10 11:46:23+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.60692936,5417.497,0.8125
57257,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,60.0,0.0,0.0,0.0,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,2195.179,0.0,0.0,0.0,924.554,0.0,954.80133,6.0,Miramar,1823.0,2020-09-11 09:03:09+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.5071607,3149.9802,0.6875
57287,0.0,0.0,0.0,83.8,byplayer,0.0,0.0,74.0,0.0,0.0,0.0,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,0.0,0.0,0.0,0.0,120.123,0.0,27.203667,2.0,Miramar,1851.0,2020-09-10 10:18:36+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.06489627,27.203667,0.9375
57378,0.0,0.0,0.0,0.0,suicide,0.0,0.0,74.0,0.0,0.0,0.0,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,5891.103,0.0,0.0,1.0,980.36,0.0,756.03357,5.0,Erangel (Remastered),1810.0,2020-09-10 09:37:54+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.54163533,6647.1367,1.0
57410,3.0,0.0,3.0,300.0,byplayer,1.0,5.0,4.0,0.0,4.0,218.43637,donghyun,account.13e9eaad4bb1418dabfee04530a61279,0.0,1647.5082,0.0,0.0,0.0,1199.147,0.0,1381.7969,3.0,Erangel (Remastered),1747.0,2020-09-11 10:27:09+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,elr,0.6864035,3029.3052,0.1875
