,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
133165,1.0,0.0,4.0,100.0,byzone,0.0,3.0,33.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,5272.2827,0.0,368.51157,0.0,1608.516,0.0,1551.5111,7.0,Erangel (Remastered),1788.0,2020-01-11 11:52:13+00:00,4.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.89961743,7192.3057,0.2222222238779068
133209,0.0,1.0,7.0,240.10974,byplayer,0.0,1.0,31.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,4033.469,0.0,0.0,0.0,1551.702,0.0,1120.389,3.0,Erangel (Remastered),1838.0,2020-01-09 11:52:18+00:00,3.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.844234,5153.858,0.1666666716337204
133260,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,66.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,2648.5828,0.0,0.0,0.0,678.062,0.0,722.8872,6.0,Erangel (Remastered),1771.0,2020-01-08 11:14:43+00:00,17.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.38286957,3371.47,0.9444444179534912
133336,1.0,1.0,3.0,108.50415,byplayer,0.0,1.0,37.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,5869.739,0.0,0.0,0.0,1384.114,0.0,781.32025,4.0,Miramar,1836.0,2020-01-10 15:08:43+00:00,6.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.7538747,6651.059,0.3529411852359772
133407,0.0,0.0,4.0,224.5544,byplayer,0.0,2.0,44.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,10473.03,0.0,0.0,0.0,1725.472,0.0,701.3949,2.0,Erangel (Remastered),1884.0,2020-01-10 14:29:29+00:00,5.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.91585565,11174.425,0.2777777910232544
133503,0.0,0.0,5.0,0.0,suicide,0.0,19.0,56.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,11483.52,0.0,9.563618,1.0,952.656,0.0,522.8004,2.0,Erangel (Remastered),1667.0,2020-01-10 13:54:58+00:00,13.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.5714793,12015.884,0.7222222089767456
133565,0.0,0.0,4.0,169.77141,byplayer,0.0,0.0,68.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,1355.864,0.0,0.0,0.0,1119.987,0.0,1022.2482,2.0,Erangel (Remastered),1825.0,2020-01-10 12:00:37+00:00,16.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.61369157,2378.1123,0.8888888955116272
133670,0.0,0.0,3.0,78.90683,byplayer,0.0,1.0,66.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,7968.799,0.0,0.0,0.0,1023.494,0.0,846.8105,7.0,Miramar,1810.0,2020-01-08 14:23:38+00:00,15.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.5654663,8815.609,0.8333333134651184
133687,0.0,0.0,4.0,171.92105,byplayer,1.0,4.0,22.0,1.0,1.0,168.51074,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,3210.4934,0.0,46.392834,0.0,1289.667,0.0,4088.01,5.0,Erangel (Remastered),1747.0,2020-01-08 11:52:29+00:00,11.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.73821807,7344.8965,0.6111111044883728
133795,0.0,0.0,2.0,192.76428,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,4964.4917,0.0,0.0,0.0,1104.095,0.0,818.59924,2.0,Erangel (Remastered),1852.0,2020-01-09 13:09:43+00:00,11.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.5961636,5783.091,0.6111111044883728
133856,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,32.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,2379.8018,0.0,0.0,0.0,649.359,0.0,804.0683,5.0,Erangel (Remastered),1781.0,2020-01-12 13:47:06+00:00,1.0,True,kr-nr20,2020-01-08 11:45:46+00:00,3,0.3646036,3183.87,0.0555555559694767
133898,0.0,0.0,0.0,0.0,byplayer,0.0,1.0,71.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,5500.627,0.0,0.0,0.0,1047.089,0.0,1093.5214,6.0,Miramar,1825.0,2020-01-12 13:04:13+00:00,17.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.5737474,6594.1484,0.9444444179534912
133999,1.0,0.0,4.0,291.38257,byplayer,0.0,6.0,24.0,1.0,1.0,17.043913,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,4231.781,0.0,0.0,0.0,1337.226,0.0,1336.1345,7.0,Miramar,1818.0,2020-01-10 13:16:32+00:00,10.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.73554784,5567.915,0.5555555820465088
134077,2.0,2.0,3.0,383.85904,byplayer,0.0,3.0,40.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,1433.2349,0.0,0.0,0.0,1730.804,0.0,1130.5648,4.0,Miramar,1794.0,2020-01-09 15:07:07+00:00,4.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.96477365,2563.7998,0.2222222238779068
134164,2.0,3.0,2.0,380.19623,byplayer,0.0,0.0,23.0,1.0,1.0,131.44939,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,2919.6252,0.0,0.0,0.0,1754.068,1.0,1504.4938,4.0,Erangel (Remastered),1866.0,2020-01-09 11:10:00+00:00,3.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.940015,4424.119,0.1666666716337204
134180,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,74.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,275.94666,0.0,0.0,0.0,134.764,0.0,72.111755,0.0,Miramar,1751.0,2020-01-08 13:08:41+00:00,18.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.07696403,348.0584,1.0
134292,0.0,1.0,5.0,54.120003,byplayer,0.0,1.0,46.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,2781.867,0.0,0.0,0.0,1403.679,0.0,954.7516,2.0,Erangel (Remastered),1791.0,2020-01-11 10:24:34+00:00,7.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.78374034,3736.6187,0.3888888955116272
134313,3.0,0.0,4.0,555.00616,alive,3.0,0.0,1.0,2.0,6.0,147.6767,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,6711.6426,0.0,0.0,0.0,1732.233,0.0,2330.9014,3.0,Miramar,1732.0,2020-01-09 14:29:31+00:00,1.0,True,kr-nr20,2020-01-08 11:45:46+00:00,3,1.0,9042.544,0.0555555559694767
134400,0.0,0.0,0.0,41.040306,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,4495.709,0.0,0.0,0.0,605.082,0.0,571.81305,5.0,Miramar,1845.0,2020-01-09 13:50:27+00:00,14.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.32795772,5067.522,0.7777777910232544
134474,0.0,0.0,3.0,46.619743,byplayer,0.0,0.0,60.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,7200.3955,0.0,0.0,0.0,1038.824,0.0,741.3845,6.0,Miramar,1826.0,2020-01-12 14:30:29+00:00,13.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.5689069,7941.7803,0.7222222089767456
134641,0.0,2.0,3.0,107.72498,byplayer,0.0,0.0,52.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,6473.763,0.0,0.0,0.0,1443.172,0.0,2272.6643,3.0,Erangel (Remastered),1871.0,2020-01-10 11:15:09+00:00,9.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.7713373,8746.428,0.5
134689,1.0,0.0,1.0,94.61394,byplayer,0.0,0.0,16.0,1.0,2.0,261.80548,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,2431.1792,0.0,0.0,0.0,1066.974,1.0,1449.1715,4.0,Miramar,1717.0,2020-01-11 12:34:23+00:00,15.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.6214176,3880.3506,0.8333333134651184
134776,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,70.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,4289.1543,0.0,0.0,0.0,673.157,0.0,676.8044,4.0,Miramar,1879.0,2020-01-10 12:37:55+00:00,17.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.3582528,4965.9585,0.9444444179534912
134840,0.0,3.0,6.0,187.13536,byplayer,0.0,2.0,32.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,4083.9385,0.0,0.0,0.0,1461.561,0.0,1691.4443,7.0,Erangel (Remastered),1676.0,2020-01-08 13:46:04+00:00,3.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.87205315,5775.383,0.1666666716337204
134890,0.0,0.0,4.0,115.935,byplayer,0.0,2.0,56.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,3407.3281,0.0,0.0,0.0,1119.633,0.0,970.58704,7.0,Erangel (Remastered),1678.0,2020-01-12 12:23:31+00:00,13.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.6672426,4377.915,0.7222222089767456
134955,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,69.0,0.0,0.0,0.0,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,5908.203,0.0,0.0,0.0,696.648,0.0,466.9371,8.0,Miramar,1748.0,2020-01-11 11:10:21+00:00,16.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.39854005,6375.14,0.8888888955116272
135024,2.0,0.0,5.0,200.14586,byplayer,0.0,2.0,14.0,1.0,2.0,69.85561,geonhu,account.5826a3dc7c5240188b01efb3380685ef,0.0,5277.252,0.0,0.0,0.0,1321.731,0.0,1735.0939,7.0,Erangel (Remastered),1763.0,2020-01-09 12:31:09+00:00,9.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.7497056,7012.3457,0.5
135115,6.0,1.0,7.0,519.6902,byplayer,0.0,4.0,4.0,1.0,5.0,419.77075,geonhu,account.5826a3dc7c5240188b01efb3380685ef,3.0,2184.962,0.0,0.0,0.0,1575.266,0.0,2622.9585,6.0,Miramar,1673.0,2020-01-08 12:31:02+00:00,6.0,False,kr-nr20,2020-01-08 11:45:46+00:00,3,0.9415816,4807.9204,0.3333333432674408
