,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
66444,0.0,0.0,0.0,62.3925,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,0.0,625.33276,0.0,0.0,0.0,496.276,0.0,884.44635,2.0,Erangel (Remastered),1759.0,2020-08-25 13:03:05+00:00,16.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.2821353,1509.779,1.0666667222976685
66502,1.0,0.0,3.0,93.240005,byplayer,0.0,5.0,28.0,0.0,1.0,16.288336,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,0.0,5413.8037,0.0,0.0,0.0,928.088,0.0,1075.5406,4.0,Erangel (Remastered),1799.0,2020-08-25 12:17:58+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.5158911,6489.344,0.9333333373069763
66562,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,50.0,0.0,0.0,0.0,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,0.0,5421.6465,0.0,0.0,0.0,1013.292,0.0,1417.4436,6.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,9.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.58605665,6839.09,0.5625
66647,5.0,2.0,11.0,657.35986,byplayer,0.0,6.0,4.0,0.0,4.0,245.74042,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,3.0,2503.9058,0.0,0.0,0.0,1721.556,0.0,1139.1602,5.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,3.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.97153276,3643.066,0.1875
66685,1.0,0.0,2.0,103.84,byplayer,0.0,3.0,32.0,0.0,1.0,1.8555169,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,0.0,1141.6547,0.0,0.0,0.0,624.178,0.0,598.5086,5.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,16.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.34618858,1740.1633,1.0
66752,0.0,1.0,5.0,175.26001,byplayer,0.0,2.0,48.0,0.0,0.0,0.0,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,0.0,5947.451,0.0,0.0,0.0,1131.008,0.0,1828.9264,7.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.6262503,7776.3774,0.75
67043,0.0,0.0,4.0,10.8,byplayer,0.0,7.0,53.0,0.0,0.0,0.0,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,0.0,6649.5264,0.0,4.5654984,0.0,1033.531,0.0,5007.5645,3.0,Erangel (Remastered),1679.0,2020-08-25 11:35:33+00:00,13.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.61556345,11661.656,0.8666666746139526
67106,2.0,0.0,8.0,406.00766,byplayer,0.0,1.0,24.0,0.0,1.0,2.549382,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,1.0,1051.0869,0.0,0.0,0.0,1328.417,0.0,1037.303,5.0,Miramar,1825.0,2020-08-25 10:50:37+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.72789973,2088.39,0.800000011920929
67172,1.0,0.0,9.0,346.30014,byplayer,0.0,3.0,12.0,0.0,2.0,58.422203,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,1.0,6413.515,0.0,0.0,0.0,1570.218,0.0,1999.1611,5.0,Miramar,1858.0,2020-08-25 10:05:16+00:00,6.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.84511197,8412.676,0.4000000059604645
67336,0.0,0.0,2.0,64.12154,byzone,0.0,1.0,54.0,0.0,0.0,0.0,ivan,account.cc35c929f8ae4a37badcbcec79e9c23f,1.0,4169.9224,0.0,0.0,0.0,1139.735,0.0,994.21375,4.0,Erangel (Remastered),1752.0,2020-08-24 12:18:19+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,win,0.6505337,5164.136,0.875
106069,0.0,0.0,7.0,0.0,byplayer,0.0,3.0,64.0,0.0,0.0,0.0,ivan,account.b69b314ef23c46ca92edb092b05c4358,0.0,3958.6594,0.0,0.0,0.0,1094.136,0.0,1152.946,5.0,Miramar,1862.0,2020-05-18 03:48:47+00:00,10.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.5876133,5111.6055,0.625
106237,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,ivan,account.b69b314ef23c46ca92edb092b05c4358,0.0,5991.433,0.0,0.0,0.0,625.52,0.0,516.5686,4.0,Erangel (Remastered),1694.0,2020-05-19 11:55:26+00:00,9.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.3692562,6508.002,0.5625
106263,1.0,0.0,7.0,196.555,byplayer,0.0,4.0,53.0,0.0,0.0,0.0,ivan,account.b69b314ef23c46ca92edb092b05c4358,0.0,8465.023,0.0,0.0,0.0,1176.412,0.0,592.7364,3.0,Erangel (Remastered),1630.0,2020-05-18 05:10:57+00:00,5.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.72172517,9057.76,0.3125
106384,1.0,1.0,7.0,418.80228,byplayer,0.0,4.0,7.0,2.0,2.0,45.545345,ivan,account.b69b314ef23c46ca92edb092b05c4358,0.0,2521.6963,0.0,0.0,0.0,1778.666,0.0,1030.2134,4.0,Erangel (Remastered),1778.0,2020-05-18 04:28:14+00:00,2.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,1.0,3551.9097,0.125
106875,2.0,0.0,0.0,175.0,byplayer,0.0,0.0,74.0,0.0,0.0,0.0,ivan,account.b69b314ef23c46ca92edb092b05c4358,0.0,0.0,0.0,0.0,0.0,465.13,0.0,1273.4192,4.0,Miramar,1834.0,2020-05-19 09:41:26+00:00,16.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.25361505,1273.4192,1.0
107440,1.0,0.0,4.0,171.31,byplayer,0.0,1.0,14.0,1.0,2.0,181.02478,ivan,account.b69b314ef23c46ca92edb092b05c4358,0.0,6725.4937,0.0,0.0,0.0,1277.425,1.0,1720.2908,6.0,Miramar,1783.0,2020-05-19 10:31:46+00:00,10.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.71644706,8445.784,0.625
