,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
66440,1.0,1.0,1.0,63.100002,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,2219.276,0.0,0.0,0.0,546.354,0.0,311.62454,8.0,Erangel (Remastered),1759.0,2020-08-25 13:03:05+00:00,14.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.3106049,2530.9004,0.9333333373069763
66517,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,36.0,0.0,0.0,0.0,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,3182.0952,0.0,0.0,0.0,802.269,0.0,987.25085,3.0,Erangel (Remastered),1799.0,2020-08-25 12:17:58+00:00,4.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.44595274,4169.346,0.2666666805744171
66532,0.0,1.0,5.0,40.15574,byplayer,0.0,0.0,51.0,0.0,0.0,0.0,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,2253.9463,0.0,0.0,0.0,1066.438,0.0,1027.3632,2.0,Erangel (Remastered),1729.0,2020-08-24 13:02:13+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.61679465,3281.3096,0.625
66638,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,4506.562,0.0,0.0,0.0,904.002,0.0,891.87756,5.0,Erangel (Remastered),1772.0,2020-08-24 11:34:02+00:00,12.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.51015913,5398.4395,0.75
66677,0.0,0.0,6.0,0.0,byplayer,1.0,3.0,21.0,0.0,1.0,89.40621,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,4354.1543,0.0,0.0,0.0,1311.664,0.0,1749.5889,8.0,Miramar,1803.0,2020-08-24 10:04:02+00:00,6.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.7274897,6103.743,0.375
66765,0.0,0.0,8.0,61.90725,byplayer,0.0,9.0,43.0,0.0,0.0,0.0,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,8710.28,0.0,0.0,0.0,1247.84,0.0,839.3098,3.0,Miramar,1806.0,2020-08-24 10:49:13+00:00,8.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.6909413,9549.59,0.5
67021,1.0,1.0,4.0,55.37867,byplayer,0.0,6.0,22.0,0.0,1.0,89.18963,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,4228.8115,0.0,0.0,0.0,1116.143,0.0,1117.8281,4.0,Erangel (Remastered),1679.0,2020-08-25 11:35:33+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.6647665,5346.6396,0.6666666865348816
67082,0.0,0.0,4.0,34.207344,byplayer,0.0,6.0,59.0,0.0,0.0,0.0,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,3430.2776,0.0,0.0,0.0,1066.985,0.0,994.38873,5.0,Miramar,1825.0,2020-08-25 10:50:37+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.5846493,4424.6665,1.0
67198,0.0,0.0,2.0,37.8,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,3898.8323,0.0,0.0,0.0,826.023,0.0,577.199,4.0,Miramar,1858.0,2020-08-25 10:05:16+00:00,15.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.44457644,4476.0312,1.0
67352,2.0,0.0,0.0,150.3929,byplayer,0.0,1.0,39.0,0.0,0.0,0.0,minuda,account.07b3dd470293483ea1920425d32ff073,0.0,3466.0046,0.0,0.0,0.0,1398.485,0.0,1113.2172,3.0,Erangel (Remastered),1752.0,2020-08-24 12:18:19+00:00,10.0,False,kr-lvup,2020-08-24 04:58:46+00:00,hc,0.798222,4579.2217,0.625
79814,0.0,0.0,6.0,0.0,byplayer,0.0,5.0,65.0,0.0,0.0,0.0,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,9879.033,0.0,0.0,0.0,961.738,0.0,682.7742,5.0,Miramar,1773.0,2020-07-23 11:10:47+00:00,16.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.5424354,10561.808,1.0
79936,1.0,0.0,4.0,170.04826,byplayer,0.0,1.0,59.0,0.0,0.0,0.0,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,10105.621,0.0,0.0,0.0,973.324,0.0,261.9609,3.0,Erangel (Remastered),1665.0,2020-07-23 09:42:44+00:00,15.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.584579,10367.582,0.9375
80081,2.0,0.0,3.0,235.60742,byplayer,0.0,1.0,5.0,0.0,3.0,298.44244,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,4586.043,0.0,0.0,0.0,1079.04,0.0,737.09357,6.0,Miramar,1911.0,2020-07-24 09:01:32+00:00,12.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.5646468,5323.1367,0.75
80326,3.0,5.0,4.0,670.2836,byplayer,0.0,11.0,3.0,0.0,4.0,223.27419,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,2022.1589,0.0,0.0,0.0,1599.347,0.0,788.24866,5.0,Erangel (Remastered),1751.0,2020-07-24 10:34:41+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.91339064,2810.4077,0.25
80388,3.0,0.0,9.0,561.06793,byplayer,2.0,8.0,5.0,0.0,4.0,270.69223,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,7189.6094,0.0,0.0,0.0,1565.256,1.0,677.32,5.0,Erangel (Remastered),1634.0,2020-07-23 09:02:37+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.957929,7866.929,0.1875
80937,0.0,0.0,0.0,59.22,byplayer,0.0,1.0,68.0,0.0,0.0,0.0,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,3601.2734,0.0,0.0,0.0,628.848,0.0,1091.9626,4.0,Erangel (Remastered),1525.0,2020-07-24 11:55:19+00:00,16.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.41235936,4693.2363,1.0
81017,3.0,0.0,3.0,290.0,suicide,0.0,3.0,60.0,0.0,0.0,0.0,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,4012.4644,0.0,0.0,1.0,1120.768,0.0,1178.2649,5.0,Miramar,1765.0,2020-07-23 10:21:43+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.634996,5190.7295,0.8125
81742,1.0,0.0,1.0,93.29949,byplayer,0.0,2.0,19.0,0.0,1.0,160.51129,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,4024.0588,0.0,0.0,0.0,1028.683,0.0,1044.2477,5.0,Miramar,1811.0,2020-07-23 12:00:33+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.56801933,5068.3066,0.25
81881,0.0,0.0,5.0,54.737766,byplayer,0.0,3.0,54.0,0.0,0.0,0.0,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,0.0,4208.9043,0.0,0.0,0.0,1257.618,0.0,1289.6382,4.0,Miramar,1825.0,2020-07-24 09:53:46+00:00,10.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.68910575,5498.5425,0.625
81932,4.0,1.0,4.0,285.75134,byplayer,0.0,12.0,7.0,0.0,3.0,206.98598,minuda,account.1ee0cafae5c242eb848b0b259b843ba0,1.0,4804.609,0.0,0.0,0.0,1207.256,0.0,842.72076,3.0,Erangel (Remastered),1680.0,2020-07-24 11:15:58+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,cm,0.71860474,5647.3296,0.5625
106071,2.0,1.0,3.0,323.13922,byplayer,0.0,0.0,16.0,1.0,2.0,63.56606,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,3633.5078,0.0,0.0,0.0,1363.343,0.0,1953.2194,6.0,Miramar,1862.0,2020-05-18 03:48:47+00:00,10.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.7321928,5586.727,0.625
106239,2.0,0.0,4.0,440.0044,byzone,0.0,1.0,7.0,1.0,3.0,108.63888,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,6350.7954,0.0,0.0,0.0,1106.116,0.0,1368.7375,4.0,Erangel (Remastered),1694.0,2020-05-19 11:55:26+00:00,9.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.652961,7719.533,0.5625
106261,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,3945.3672,0.0,0.0,0.0,607.088,0.0,500.8344,2.0,Erangel (Remastered),1630.0,2020-05-18 05:10:57+00:00,5.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.37244663,4446.2017,0.3125
106387,0.0,0.0,1.0,54.120003,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,2826.9084,0.0,0.0,0.0,916.794,0.0,442.6777,3.0,Erangel (Remastered),1778.0,2020-05-18 04:28:14+00:00,2.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.51563215,3269.5862,0.125
106874,0.0,0.0,1.0,80.770004,byplayer,0.0,0.0,72.0,0.0,0.0,0.0,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,0.0,0.0,0.0,0.0,483.702,0.0,1171.9258,5.0,Miramar,1834.0,2020-05-19 09:41:26+00:00,16.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.26374155,1171.9258,1.0
107442,1.0,1.0,3.0,269.36743,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,5979.9136,0.0,0.0,0.0,1277.449,0.0,1237.5707,3.0,Miramar,1783.0,2020-05-19 10:31:46+00:00,10.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.71646047,7217.4844,0.625
107499,0.0,0.0,1.0,23.898905,byplayer,0.0,1.0,63.0,0.0,0.0,0.0,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,7309.216,0.0,0.0,0.0,1044.038,0.0,590.14014,4.0,Miramar,1815.0,2020-05-18 03:09:33+00:00,8.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.5752275,7899.356,0.5
107815,0.0,0.0,0.0,31.206789,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,0.0,0.0,0.0,0.0,935.889,0.0,1604.2836,4.0,Sanhok,1411.0,2020-05-19 09:02:24+00:00,10.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.6632806,1604.2836,0.625
108012,1.0,0.0,4.0,62.199932,byplayer,0.0,5.0,19.0,1.0,1.0,47.383507,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,0.0,0.0,0.0,0.0,623.839,0.0,1298.763,5.0,Sanhok,1361.0,2020-05-18 02:32:37+00:00,4.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.4583681,1298.763,0.25
108372,1.0,0.0,0.0,152.80777,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,minuda,account.ca46fffce4d94ad6a47f9ab4e6bacdee,0.0,3287.8137,0.0,0.0,0.0,1337.177,0.0,1366.4485,4.0,Erangel (Remastered),1707.0,2020-05-19 11:14:49+00:00,9.0,False,as-pcs1kr,2020-05-18 02:57:33+00:00,ta,0.78334916,4654.262,0.5625
