,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
55247,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,67.0,0.0,0.0,0.0,plikhe,account.e23e5e9cf1fc4d72908709ff6a5bd6b7,0.0,3528.5757,0.0,0.0,0.0,615.296,0.0,876.89264,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.32815787,4405.4683,1.0
55520,1.0,0.0,4.0,139.2786,byplayer,0.0,5.0,27.0,0.0,1.0,24.41307,plikhe,account.e23e5e9cf1fc4d72908709ff6a5bd6b7,0.0,2908.672,0.0,0.0,0.0,1201.063,0.0,1810.2069,3.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.64817214,4718.879,0.6875
55828,1.0,0.0,1.0,180.40001,byplayer,0.0,2.0,61.0,0.0,0.0,0.0,plikhe,account.e23e5e9cf1fc4d72908709ff6a5bd6b7,0.0,3446.9524,0.0,0.0,0.0,617.158,0.0,349.6809,2.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.34153736,3796.6333,1.0
55871,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,plikhe,account.e23e5e9cf1fc4d72908709ff6a5bd6b7,0.0,2270.7566,0.0,0.0,0.0,356.611,0.0,185.66492,3.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.1948694,2456.4214,1.0
55973,0.0,1.0,3.0,209.33737,byplayer,0.0,5.0,41.0,0.0,0.0,0.0,plikhe,account.e23e5e9cf1fc4d72908709ff6a5bd6b7,0.0,4932.405,0.0,0.0,0.0,1302.425,0.0,567.95215,4.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vlg,0.70173764,5500.357,0.5625
130386,1.0,1.0,2.0,40.266,byplayer,1.0,1.0,22.0,1.0,1.0,4.746042,plikhe,account.971f440dc0d6481bb79d10108b0a666e,1.0,1591.6683,0.0,0.0,0.0,685.645,0.0,1276.6887,5.0,Erangel (Remastered),1562.0,2020-05-09 12:43:17+00:00,4.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,vlg,0.43895328,2868.357,0.25
130818,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,70.0,0.0,0.0,0.0,plikhe,account.971f440dc0d6481bb79d10108b0a666e,0.0,1962.9226,0.0,0.0,0.0,320.889,0.0,166.74736,3.0,Erangel (Remastered),1610.0,2020-05-09 09:05:33+00:00,12.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,vlg,0.19930995,2129.67,0.75
130903,0.0,0.0,2.0,206.33438,byplayer,0.0,0.0,56.0,0.0,0.0,0.0,plikhe,account.971f440dc0d6481bb79d10108b0a666e,0.0,2466.9998,0.0,0.0,0.0,1581.851,0.0,954.8086,6.0,Erangel (Remastered),1838.0,2020-05-08 11:26:17+00:00,7.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,vlg,0.86063707,3421.8083,0.4375
131361,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,25.0,1.0,1.0,0.8316585,plikhe,account.971f440dc0d6481bb79d10108b0a666e,0.0,0.0,0.0,0.0,0.0,98.799,0.0,15.922362,1.0,Miramar,1657.0,2020-05-09 12:01:34+00:00,12.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,vlg,0.059625227,15.922362,0.75
131401,1.0,0.0,0.0,47.97,byplayer,0.0,0.0,68.0,0.0,0.0,0.0,plikhe,account.971f440dc0d6481bb79d10108b0a666e,1.0,3537.0967,0.0,0.0,0.0,786.78,0.0,703.67267,5.0,Erangel (Remastered),1794.0,2020-05-08 12:11:08+00:00,13.0,False,kr-bsc20,2020-01-16 07:40:55+00:00,vlg,0.4385619,4240.7695,0.8125
