,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54922,0.0,0.0,1.0,104.253716,byplayer,0.0,0.0,31.0,0.0,0.0,0.0,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,4146.4233,0.0,0.0,0.0,1181.168,0.0,1363.3488,7.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.6395062,5509.772,0.125
54990,2.0,1.0,1.0,447.68655,byplayer,0.0,0.0,21.0,0.0,1.0,8.163219,hulk,account.41ce362cba7649548457ad6685afc1c1,1.0,3411.0647,0.0,0.0,0.0,1498.815,0.0,2298.3508,6.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.96635395,5709.4155,0.3125
55070,1.0,0.0,6.0,185.69318,byplayer,0.0,1.0,24.0,0.0,1.0,68.24135,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,5437.672,0.0,0.0,0.0,1236.989,0.0,900.194,6.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.6868346,6337.8657,0.6875
55137,0.0,0.0,1.0,0.0,byplayer,0.0,1.0,61.0,0.0,0.0,0.0,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,2493.9216,0.0,0.0,0.0,392.56,0.0,161.26562,2.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.21128094,2655.1873,1.0
55177,3.0,1.0,5.0,315.1486,alive,1.0,3.0,1.0,0.0,4.0,59.184147,hulk,account.41ce362cba7649548457ad6685afc1c1,2.0,8391.366,0.0,0.0,0.0,1848.238,0.0,976.53394,3.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,1.0,9367.9,0.0625
55261,1.0,3.0,1.0,425.5424,alive,0.0,0.0,17.0,0.0,1.0,56.230396,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,4824.41,0.0,0.0,0.0,1875.255,0.0,1876.2155,5.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,1.0,6700.6255,0.0625
55341,2.0,1.0,4.0,490.19995,byplayer,1.0,3.0,10.0,0.0,2.0,77.515495,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,3341.558,0.0,0.0,0.0,1633.857,0.0,1588.636,5.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.9999125,4930.1943,0.125
55409,1.0,1.0,4.0,100.1104,byplayer,0.0,1.0,42.0,0.0,0.0,0.0,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,2915.0278,0.0,0.0,0.0,1321.769,0.0,690.5997,4.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.715243,3605.6274,0.5
55442,0.0,0.0,3.0,37.95893,byplayer,0.0,2.0,48.0,0.0,0.0,0.0,hulk,account.41ce362cba7649548457ad6685afc1c1,1.0,5797.6826,0.0,0.0,0.0,1278.599,0.0,1297.1393,6.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.7356726,7094.822,0.625
55505,2.0,3.0,3.0,261.3426,byplayer,1.0,1.0,19.0,0.0,1.0,13.729544,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,4923.963,0.0,0.0,0.0,1013.636,0.0,752.9639,4.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.54702425,5676.927,0.25
55613,0.0,0.0,2.0,24.019497,byplayer,0.0,1.0,64.0,0.0,0.0,0.0,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,9504.014,0.0,0.0,0.0,987.636,0.0,357.95792,5.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.6115393,9861.972,1.0
55683,0.0,1.0,7.0,238.04895,byzone,0.0,6.0,41.0,0.0,0.0,0.0,hulk,account.41ce362cba7649548457ad6685afc1c1,1.0,10589.43,0.0,0.0,0.0,1578.199,0.0,1472.6737,6.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.8372408,12062.104,0.375
55794,0.0,0.0,0.0,151.23941,byplayer,0.0,0.0,17.0,0.0,1.0,243.901,hulk,account.41ce362cba7649548457ad6685afc1c1,0.0,3297.5771,0.0,0.0,0.0,1661.597,0.0,2084.9277,4.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,1.0,5382.505,0.125
