,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54901,0.0,1.0,3.0,122.32524,byplayer,0.0,1.0,36.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,4536.6465,0.0,0.0,0.0,1530.571,0.0,1540.0459,5.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.8286795,6076.6924,0.4375
54973,0.0,0.0,3.0,0.0,byplayer,0.0,1.0,48.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,1.0,1594.7249,0.0,0.0,0.0,1217.963,0.0,1204.7389,7.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.78527594,2799.4639,0.75
55072,1.0,1.0,2.0,277.96762,byplayer,0.0,0.0,15.0,0.0,1.0,96.579124,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,1783.7377,0.0,0.0,0.0,1612.506,0.0,1314.4905,4.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.89533925,3098.228,0.125
55105,0.0,0.0,5.0,185.93849,byplayer,0.0,5.0,32.0,0.0,1.0,29.473345,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,12304.947,0.0,0.0,0.0,1136.043,0.0,714.86053,6.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.61143327,13019.808,0.8125
55172,0.0,2.0,2.0,139.95343,byplayer,1.0,0.0,29.0,0.0,1.0,150.27837,hansia,account.60ea8a6fdf204764b561a3b71232a294,1.0,5805.456,0.0,0.0,0.0,1159.529,0.0,1327.0726,6.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.62745076,7132.529,0.75
55267,2.0,0.0,2.0,289.5498,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,7801.288,0.0,0.0,0.0,1841.003,0.0,1102.3442,7.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.98186827,8903.633,0.1875
55310,0.0,0.0,9.0,155.2507,byplayer,0.0,6.0,33.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,1.0,7002.054,0.0,237.63406,0.0,1590.964,0.0,1855.3975,3.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9736622,9095.086,0.1875
55399,0.0,0.0,1.0,0.0,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,5048.911,0.0,0.0,0.0,893.511,0.0,1056.5442,3.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.4835016,6105.455,0.1875
55433,1.0,2.0,10.0,382.10532,byplayer,0.0,4.0,17.0,0.0,1.0,39.745075,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,4530.226,0.0,0.0,0.0,1650.553,0.0,1870.5642,5.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9496853,6400.79,0.1875
55477,1.0,3.0,4.0,474.89267,alive,0.0,1.0,16.0,0.0,1.0,44.67455,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,5149.109,0.0,0.0,0.0,1853.966,0.0,1174.2094,6.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,af,1.0,6323.3184,0.0625
55629,5.0,3.0,5.0,628.296,byplayer,0.0,3.0,1.0,0.0,6.0,98.232285,hansia,account.60ea8a6fdf204764b561a3b71232a294,1.0,5144.531,0.0,0.0,0.0,1615.698,0.0,1846.7134,5.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,1.0,6991.244,0.125
55675,1.0,0.0,5.0,119.485825,byplayer,0.0,1.0,25.0,0.0,1.0,254.11581,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,5051.28,0.0,0.0,0.0,1285.582,0.0,1170.3561,6.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.68200636,6221.6357,0.5625
55768,1.0,3.0,6.0,383.3559,byplayer,0.0,4.0,19.0,0.0,1.0,145.491,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,3882.672,0.0,0.0,0.0,1573.336,0.0,2285.5566,6.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9472222,6168.2285,0.1875
55851,1.0,0.0,3.0,107.906525,byzone,0.0,0.0,22.0,0.0,1.0,130.5664,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,5642.649,0.0,0.0,0.0,1274.806,0.0,1725.8076,4.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.705482,7368.4565,0.375
55922,0.0,0.0,2.0,147.35066,byplayer,0.0,1.0,59.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,1825.2356,0.0,0.0,0.0,1027.642,0.0,967.805,5.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.561553,2793.0405,0.875
55955,1.0,2.0,4.0,255.18924,byplayer,0.0,4.0,36.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,2.0,3476.847,0.0,0.0,0.0,1641.712,0.0,1043.4661,4.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.8845431,4520.313,0.25
56164,1.0,2.0,5.0,338.24875,byplayer,0.0,5.0,9.0,0.0,2.0,146.57672,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,9824.932,0.0,0.0,0.0,1847.895,1.0,937.26135,4.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9999432,10762.193,0.125
56200,0.0,2.0,5.0,108.29556,byplayer,0.0,2.0,60.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,3992.9106,0.0,0.0,0.0,851.412,0.0,750.85583,6.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.4675519,4743.7666,0.9375
56292,1.0,0.0,3.0,155.75296,byplayer,0.0,2.0,49.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,7648.4375,0.0,0.0,0.0,1047.71,0.0,882.62524,7.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.61666274,8531.0625,0.625
56349,0.0,0.0,2.0,43.3575,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,7654.614,0.0,0.0,0.0,735.184,0.0,538.4299,3.0,Erangel (Remastered),1790.0,2020-10-10 10:37:31+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.41071734,8193.044,0.8125
56423,2.0,0.0,8.0,213.90865,byplayer,0.0,6.0,10.0,0.0,2.0,97.87939,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,10538.659,0.0,0.0,0.0,1857.904,0.0,1940.7719,3.0,Erangel (Remastered),1858.0,2020-10-09 10:32:08+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9999484,12479.431,0.125
56474,1.0,1.0,1.0,140.77573,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,2103.2373,0.0,0.0,0.0,968.941,0.0,724.69476,6.0,Miramar,1778.0,2020-10-09 08:53:09+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.54496115,2827.9321,0.75
56552,3.0,0.0,5.0,323.645,byplayer,0.0,0.0,30.0,0.0,1.0,83.71966,hansia,account.60ea8a6fdf204764b561a3b71232a294,1.0,6060.655,0.0,0.0,0.0,1303.842,0.0,1619.9194,7.0,Erangel (Remastered),1744.0,2020-09-26 09:35:43+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.7476159,7680.574,0.625
56758,0.0,2.0,3.0,474.4228,byplayer,1.0,3.0,5.0,0.0,3.0,107.64245,hansia,account.60ea8a6fdf204764b561a3b71232a294,1.0,3077.5203,0.0,0.0,0.0,1779.551,0.0,1735.9336,8.0,Miramar,1839.0,2020-10-10 09:48:42+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9676732,4813.454,0.25
56864,0.0,0.0,6.0,29.774971,byplayer,0.0,2.0,61.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,1.0,2711.0276,0.0,0.0,0.0,1119.41,0.0,1179.217,4.0,Miramar,1867.0,2020-10-10 08:58:32+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.5995769,3890.2446,0.9375
56935,0.0,0.0,4.0,471.3105,byplayer,0.0,8.0,11.0,0.0,2.0,215.21356,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,1246.1122,0.0,0.0,0.0,1705.577,0.0,1548.4315,6.0,Erangel (Remastered),1711.0,2020-10-09 12:02:19+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.9968305,2794.5437,0.125
56967,3.0,0.0,4.0,361.1007,byplayer,0.0,1.0,11.0,0.0,2.0,28.333786,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,6201.3296,0.0,0.0,0.0,1385.461,0.0,1792.7539,5.0,Erangel (Remastered),1782.0,2020-09-25 09:41:44+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.77747536,7994.0835,0.5625
57032,3.0,2.0,7.0,353.8993,alive,1.0,2.0,6.0,0.0,3.0,58.95086,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,3910.19,0.0,0.0,0.0,1855.065,0.0,2628.9148,4.0,Erangel (Remastered),1855.0,2020-09-19 11:57:26+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,af,1.0,6539.1045,0.0625
57117,0.0,0.0,3.0,0.0,byplayer,0.0,1.0,58.0,0.0,0.0,0.0,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,5277.877,0.0,12.787773,0.0,848.255,0.0,1075.506,3.0,Erangel (Remastered),1729.0,2020-09-26 08:53:15+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.4906044,6366.1704,0.875
57141,1.0,0.0,3.0,177.95578,byplayer,1.0,1.0,15.0,0.0,1.0,40.377655,hansia,account.60ea8a6fdf204764b561a3b71232a294,0.0,5387.6943,0.0,0.0,0.0,1036.967,0.0,1355.4264,5.0,Miramar,1835.0,2020-09-25 11:10:57+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,af,0.56510466,6743.1206,0.0625
79466,1.0,3.0,11.0,303.03766,byplayer,0.0,4.0,16.0,0.0,1.0,72.00113,hansia,account.9bd2efc99a2f44b7b3a0c2e7e47e6a0b,2.0,6048.8096,0.0,0.0,0.0,1849.388,0.0,1377.1991,5.0,Erangel (Remastered),1850.0,2020-08-15 10:58:48+00:00,1.0,True,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.99966913,7426.009,0.0625
79475,0.0,0.0,2.0,89.491455,byplayer,0.0,7.0,26.0,0.0,1.0,60.928192,hansia,account.7b51741534344faf875afca2c6dcf061,0.0,3208.5435,0.0,0.0,0.0,1339.007,0.0,1661.8297,6.0,Miramar,1829.0,2020-08-15 10:01:34+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.73209786,4870.373,0.5625
79594,0.0,0.0,4.0,107.65356,byzone,0.0,2.0,47.0,0.0,0.0,0.0,hansia,account.c8ce078a5b934b3aa19c3333448e1835,0.0,2149.9253,0.0,0.0,0.0,1212.759,0.0,2156.5674,3.0,Erangel (Remastered),1806.0,2020-08-14 12:28:38+00:00,8.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.67151666,4306.4927,0.5
79611,3.0,1.0,9.0,375.64044,alive,0.0,2.0,11.0,0.0,2.0,34.730892,hansia,account.95a4f8f8ddac4174b2a640d01f231f55,0.0,1998.9429,0.0,0.0,0.0,1782.059,0.0,2836.2878,6.0,Erangel (Remastered),1782.0,2020-08-01 11:56:09+00:00,1.0,True,as-pcs2kr,2020-07-23 09:32:09+00:00,af,1.0,4835.2305,0.0625
79706,1.0,0.0,3.0,97.0,byzone,0.0,4.0,30.0,0.0,1.0,18.702612,hansia,account.d1ebbb3937be4d2e89a40e3371cefed9,0.0,3048.3752,0.0,0.0,0.0,1143.815,0.0,1285.7856,5.0,Miramar,1872.0,2020-08-01 09:07:35+00:00,12.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.6110123,4334.161,0.75
79757,2.0,0.0,3.0,333.6501,byplayer,0.0,2.0,8.0,0.0,3.0,57.327065,hansia,account.dc402129f4824176a46aff78d0e6d917,1.0,5433.11,0.0,0.0,0.0,1028.461,0.0,1024.894,4.0,Erangel (Remastered),1777.0,2020-07-31 12:30:15+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.57876253,6458.004,0.8125
79852,2.0,1.0,2.0,272.24487,byplayer,0.0,0.0,29.0,0.0,1.0,226.85309,hansia,account.4a26e751b9744cfa88605112f734b10a,0.0,5156.7754,0.0,0.0,0.0,1271.343,0.0,1482.8583,5.0,Miramar,1773.0,2020-07-23 11:10:47+00:00,10.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.7170575,6639.634,0.625
79907,0.0,0.0,5.0,102.518936,byplayer,0.0,1.0,30.0,0.0,1.0,18.575035,hansia,account.53cc31f0d2df4deabbec2fb90a1cb11a,0.0,6949.0986,0.0,0.0,0.0,1118.786,0.0,1150.756,4.0,Erangel (Remastered),1818.0,2020-08-15 11:49:07+00:00,15.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.6153938,8099.8545,0.9375
79983,1.0,0.0,5.0,133.39,byzone,1.0,1.0,10.0,0.0,2.0,111.70282,hansia,account.4a26e751b9744cfa88605112f734b10a,0.0,4279.184,0.0,0.0,0.0,1396.149,0.0,1873.7167,6.0,Erangel (Remastered),1665.0,2020-07-23 09:42:44+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.838528,6152.901,0.1875
80016,1.0,0.0,2.0,108.4094,byplayer,0.0,1.0,30.0,0.0,1.0,264.66394,hansia,account.d1ebbb3937be4d2e89a40e3371cefed9,1.0,7026.0693,0.0,0.0,0.0,982.181,0.0,847.6311,5.0,Miramar,1661.0,2020-08-01 09:59:58+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.5913191,7873.7,0.8125
80107,2.0,2.0,7.0,325.84033,byzone,0.0,1.0,14.0,0.0,1.0,75.7082,hansia,account.4a26e751b9744cfa88605112f734b10a,0.0,4633.961,0.0,16.525286,0.0,1885.632,1.0,2595.393,5.0,Miramar,1911.0,2020-07-24 09:01:32+00:00,1.0,True,as-pcs2kr,2020-07-23 09:32:09+00:00,af,0.9867253,7245.8794,0.0625
