,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54929,0.0,0.0,1.0,36.65187,byplayer,0.0,0.0,32.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,4492.9033,0.0,0.0,0.0,1450.262,0.0,1393.5507,8.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.7851987,5886.454,0.25
55006,0.0,2.0,5.0,430.86993,byplayer,0.0,3.0,35.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,4637.591,0.0,0.0,0.0,1482.941,0.0,1421.2052,8.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.9561193,6058.796,0.375
55028,1.0,0.0,3.0,258.13828,byplayer,0.0,1.0,18.0,0.0,1.0,376.05548,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,4446.797,0.0,0.0,0.0,1534.619,0.0,1396.4008,6.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.85209274,5843.1978,0.375
55112,1.0,1.0,5.0,64.27048,byplayer,0.0,1.0,13.0,0.0,2.0,34.583405,untop,account.a7612ad6e7a34f2780095ca6ec29c048,1.0,6673.7285,0.0,0.0,0.0,1197.371,0.0,1439.9072,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.64444077,8113.6357,0.75
55161,0.0,0.0,1.0,23.294249,byplayer,0.0,3.0,51.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,1.0,3146.6038,0.0,0.0,0.0,1092.356,0.0,991.32623,3.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.5911017,4137.93,0.625
55228,0.0,0.0,3.0,75.6,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,6889.4863,0.0,0.0,0.0,1419.586,0.0,1352.1774,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.75711256,8241.664,0.6875
55288,1.0,0.0,3.0,118.45,byzone,0.0,1.0,29.0,0.0,1.0,134.37482,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,3556.3257,0.0,0.0,0.0,1147.194,0.0,1339.9736,6.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.7020771,4896.2993,0.75
55371,1.0,2.0,5.0,480.4834,byplayer,2.0,0.0,2.0,0.0,4.0,93.87079,untop,account.a7612ad6e7a34f2780095ca6ec29c048,1.0,1727.6497,0.0,0.0,0.0,1848.566,0.0,1904.7975,3.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,1.0,3632.4473,0.125
55418,1.0,0.0,6.0,119.5095,byplayer,0.0,5.0,10.0,0.0,2.0,47.434383,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,9490.197,0.0,0.0,0.0,1613.722,0.0,677.48975,4.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.9284937,10167.6875,0.3125
55483,1.0,0.0,1.0,77.87046,byplayer,0.0,0.0,55.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,3.0,6004.819,0.0,0.0,0.0,1125.336,0.0,1412.353,6.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.60730493,7417.172,0.8125
55588,2.0,0.0,5.0,588.6196,byplayer,0.0,3.0,35.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,3526.012,0.0,0.0,0.0,1732.968,0.0,939.9398,5.0,Erangel (Remastered),1733.0,2020-09-11 11:51:18+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.9999815,4465.9517,0.125
55665,1.0,0.0,2.0,225.64137,byplayer,0.0,0.0,42.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,349.91382,0.0,0.0,0.0,1251.505,0.0,1186.3795,3.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.7749257,1536.2933,0.5625
55722,1.0,0.0,1.0,99.2605,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,3367.0515,0.0,0.0,0.0,879.129,0.0,1443.2595,5.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.46638146,4810.311,0.25
55734,0.0,0.0,2.0,0.0,byplayer,0.0,1.0,47.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,8899.506,0.0,0.0,0.0,823.731,0.0,613.9537,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.49592474,9513.46,0.5
55832,0.0,1.0,1.0,44.620003,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,3018.0156,0.0,3.9935899,0.0,652.045,0.0,1398.723,3.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.36084393,4420.7324,0.9375
55865,1.0,1.0,3.0,325.30884,byplayer,0.0,7.0,16.0,0.0,2.0,14.770298,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,6383.774,0.0,0.0,0.0,1375.584,0.0,829.409,4.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.75168526,7213.183,0.5625
55981,0.0,0.0,5.0,108.20746,byplayer,0.0,3.0,44.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,14808.091,0.0,0.0,0.0,1232.611,0.0,1261.6321,6.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.6641223,16069.723,0.625
56039,1.0,1.0,6.0,454.42578,alive,0.0,1.0,5.0,0.0,3.0,62.06637,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,6893.596,0.0,0.0,0.0,1764.286,0.0,2715.0034,5.0,Miramar,1764.0,2020-09-10 11:08:01+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,1.0,9608.6,0.0625
56067,1.0,0.0,0.0,108.20829,byplayer,0.0,0.0,66.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,307.1526,0.0,0.0,0.0,238.241,0.0,118.701195,3.0,Erangel (Remastered),1888.0,2020-09-10 08:57:06+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.12618697,425.8538,0.8125
56118,1.0,1.0,3.0,268.41312,byplayer,0.0,0.0,19.0,0.0,1.0,166.87886,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,3160.0154,0.0,0.0,0.0,1427.023,0.0,1263.6863,3.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.77219856,4423.7017,0.25
56226,0.0,0.0,4.0,0.0,byplayer,0.0,0.0,29.0,0.0,0.0,0.0,untop,account.a7612ad6e7a34f2780095ca6ec29c048,0.0,6414.728,0.0,0.0,0.0,1605.808,0.0,1401.6569,5.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,azg,0.88182753,7816.385,0.25
