,map_name,started,weap_name,d_reason,d_category
0,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapHK416_C,TorsoShot,Damage_Gun
1,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,TorsoShot,Damage_Gun
2,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapHK416_C,TorsoShot,Damage_Gun
3,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,PlayerFemale_A_C,None,Damage_Groggy
4,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapMini14_C,TorsoShot,Damage_Gun
5,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapSCAR-L_C,LegShot,Damage_Gun
6,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,TorsoShot,Damage_Gun
7,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,PelvisShot,Damage_Gun
8,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapFNFal_C,TorsoShot,Damage_Gun
9,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapFNFal_C,TorsoShot,Damage_Gun
10,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
11,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,TorsoShot,Damage_Gun
12,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,PlayerMale_A_C,None,Damage_Groggy
13,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapFNFal_C,TorsoShot,Damage_Gun
14,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapFNFal_C,PelvisShot,Damage_Gun
15,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapHK416_C,TorsoShot,Damage_Gun
16,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapHK416_C,TorsoShot,Damage_Gun
17,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapHK416_C,HeadShot,Damage_Gun
18,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,PlayerFemale_A_C,None,Damage_Groggy
19,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
20,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,ArmShot,Damage_Gun
21,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapMini14_C,PelvisShot,Damage_Gun
22,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,PlayerMale_A_C,None,Damage_Groggy
23,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,HeadShot,Damage_Gun
24,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,PlayerFemale_A_C,None,Damage_Groggy
25,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapMini14_C,HeadShot,Damage_Gun
26,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
27,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
28,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,HeadShot,Damage_Gun
29,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,HeadShot,Damage_Gun
30,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,PelvisShot,Damage_Gun
31,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
32,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,TorsoShot,Damage_Gun
33,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
34,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
35,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,PlayerFemale_A_C,None,Damage_Groggy
36,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,PlayerMale_A_C,None,Damage_Groggy
37,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapBerylM762_C,TorsoShot,Damage_Gun
38,Erangel (Remastered),2020-08-14T10:46:40.0890295Z,WeapFNFal_C,TorsoShot,Damage_Gun
