,map_name,started,weap_name,d_reason,d_category
0,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,TorsoShot,Damage_Gun
1,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,TorsoShot,Damage_Gun
2,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,TorsoShot,Damage_Gun
3,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,PlayerFemale_A_C,None,Damage_Groggy
4,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapHK416_C,TorsoShot,Damage_Gun
5,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,TorsoShot,Damage_Gun
6,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,TorsoShot,Damage_Gun
7,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapMini14_C,PelvisShot,Damage_Gun
8,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,TorsoShot,Damage_Gun
9,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,PelvisShot,Damage_Gun
10,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,TorsoShot,Damage_Gun
11,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,HeadShot,Damage_Gun
12,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
13,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,TorsoShot,Damage_Gun
14,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,PlayerFemale_A_C,None,Damage_Groggy
15,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,HeadShot,Damage_Gun
16,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapMini14_C,LegShot,Damage_Gun
17,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,PlayerFemale_A_C,None,Damage_Groggy
18,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,HeadShot,Damage_Gun
19,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,PelvisShot,Damage_Gun
20,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,PelvisShot,Damage_Gun
21,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
22,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapAUG_C,HeadShot,Damage_Gun
23,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
24,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
25,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
26,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,LegShot,Damage_Gun
27,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,PelvisShot,Damage_Gun
28,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,TorsoShot,Damage_Gun
29,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,PlayerFemale_A_C,None,Damage_Groggy
30,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,HeadShot,Damage_Gun
31,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,ArmShot,Damage_Gun
32,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,HeadShot,Damage_Gun
33,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,HeadShot,Damage_Gun
34,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,HeadShot,Damage_Gun
35,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,ArmShot,Damage_Gun
36,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,PlayerMale_A_C,None,Damage_Groggy
37,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,PlayerFemale_A_C,None,Damage_Groggy
38,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,PlayerMale_A_C,None,Damage_Groggy
39,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapBerylM762_C,PelvisShot,Damage_Gun
40,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,ArmShot,Damage_Gun
41,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapSKS_C,TorsoShot,Damage_Gun
42,Erangel (Remastered),2020-10-12T09:42:25.2236398Z,WeapFNFal_C,HeadShot,Damage_Gun
