,map_name,started,weap_name,d_reason,d_category
0,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapMini14_C,TorsoShot,Damage_Gun
1,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapBerylM762_C,LegShot,Damage_Gun
2,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapHK416_C,HeadShot,Damage_Gun
3,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapFNFal_C,TorsoShot,Damage_Gun
4,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapSKS_C,NonSpecific,Damage_Explosion_Vehicle
5,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapMini14_C,PelvisShot,Damage_Gun
6,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapFNFal_C,TorsoShot,Damage_Gun
7,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapBerylM762_C,TorsoShot,Damage_Gun
8,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,PlayerMale_A_C,None,Damage_Groggy
9,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapMini14_C,TorsoShot,Damage_Gun
10,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapFNFal_C,LegShot,Damage_Gun
11,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapMini14_C,LegShot,Damage_Gun
12,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapBerylM762_C,TorsoShot,Damage_Gun
13,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapFNFal_C,TorsoShot,Damage_Gun
14,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapHK416_C,LegShot,Damage_Gun
15,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,PlayerMale_A_C,None,Damage_Groggy
16,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapMini14_C,HeadShot,Damage_Gun
17,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapFNFal_C,TorsoShot,Damage_Gun
18,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapFNFal_C,PelvisShot,Damage_Gun
19,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapBerylM762_C,TorsoShot,Damage_Gun
20,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapFNFal_C,PelvisShot,Damage_Gun
21,Erangel (Remastered),2020-06-13T18:12:24.3623505Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
