,map_name,started,weap_name,d_reason,d_category
0,Miramar,2020-11-22T17:38:13.3396323Z,WeapHK416_C,TorsoShot,Damage_Gun
1,Miramar,2020-11-22T17:38:13.3396323Z,WeapMini14_C,PelvisShot,Damage_Gun
2,Miramar,2020-11-22T17:38:13.3396323Z,PlayerFemale_A_C,None,Damage_Groggy
3,Miramar,2020-11-22T17:38:13.3396323Z,WeapSCAR-L_C,PelvisShot,Damage_Gun
4,Miramar,2020-11-22T17:38:13.3396323Z,PlayerFemale_A_C,None,Damage_Groggy
5,Miramar,2020-11-22T17:38:13.3396323Z,WeapBerylM762_C,TorsoShot,Damage_Gun
6,Miramar,2020-11-22T17:38:13.3396323Z,WeapHK416_C,TorsoShot,Damage_Gun
7,Miramar,2020-11-22T17:38:13.3396323Z,WeapMini14_C,PelvisShot,Damage_Gun
8,Miramar,2020-11-22T17:38:13.3396323Z,WeapBerylM762_C,TorsoShot,Damage_Gun
9,Miramar,2020-11-22T17:38:13.3396323Z,WeapMk14_C,HeadShot,Damage_Gun
10,Miramar,2020-11-22T17:38:13.3396323Z,WeapBerylM762_C,HeadShot,Damage_Gun
11,Miramar,2020-11-22T17:38:13.3396323Z,PlayerMale_A_C,None,Damage_Groggy
12,Miramar,2020-11-22T17:38:13.3396323Z,PlayerMale_A_C,None,Damage_Groggy
13,Miramar,2020-11-22T17:38:13.3396323Z,WeapBerylM762_C,HeadShot,Damage_Gun
14,Miramar,2020-11-22T17:38:13.3396323Z,WeapBerylM762_C,ArmShot,Damage_Gun
15,Miramar,2020-11-22T17:38:13.3396323Z,WeapBerylM762_C,HeadShot,Damage_Gun
16,Miramar,2020-11-22T17:38:13.3396323Z,PlayerMale_A_C,None,Damage_Groggy
17,Miramar,2020-11-22T17:38:13.3396323Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
18,Miramar,2020-11-22T17:38:13.3396323Z,WeapMini14_C,HeadShot,Damage_Gun
19,Miramar,2020-11-22T17:38:13.3396323Z,WeapMini14_C,TorsoShot,Damage_Gun
20,Miramar,2020-11-22T17:38:13.3396323Z,PlayerMale_A_C,None,Damage_Groggy
21,Miramar,2020-11-22T17:38:13.3396323Z,WeapBerylM762_C,TorsoShot,Damage_Gun
22,Miramar,2020-11-22T17:38:13.3396323Z,WeapMini14_C,HeadShot,Damage_Gun
23,Miramar,2020-11-22T17:38:13.3396323Z,WeapHK416_C,TorsoShot,Damage_Gun
24,Miramar,2020-11-22T17:38:13.3396323Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
25,Miramar,2020-11-22T17:38:13.3396323Z,PlayerMale_A_C,None,Damage_Groggy
26,Miramar,2020-11-22T17:38:13.3396323Z,WeapMini14_C,ArmShot,Damage_Gun
27,Miramar,2020-11-22T17:38:13.3396323Z,PlayerFemale_A_C,None,Damage_Groggy
28,Miramar,2020-11-22T17:38:13.3396323Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
