,map_name,started,weap_name,d_reason,d_category
0,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapSKS_C,TorsoShot,Damage_Gun
1,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerFemale_A_C,NonSpecific,Damage_Instant_Fall
2,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
3,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapBerylM762_C,HeadShot,Damage_Gun
4,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapMini14_C,PelvisShot,Damage_Gun
5,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,TorsoShot,Damage_Gun
6,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
7,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapAK47_C,ArmShot,Damage_Gun
8,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
9,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,TorsoShot,Damage_Gun
10,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapSKS_C,HeadShot,Damage_Gun
11,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
12,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
13,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
14,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerMale_A_C,None,Damage_Groggy
15,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerFemale_A_C,None,Damage_Groggy
16,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerFemale_A_C,None,Damage_Groggy
17,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,LegShot,Damage_Gun
18,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,TorsoShot,Damage_Gun
19,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapMosinNagant_C,HeadShot,Damage_Gun
20,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,Buggy_A_02_C,NonSpecific,Damage_VehicleHit
21,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,HeadShot,Damage_Gun
22,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,HeadShot,Damage_Gun
23,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerFemale_A_C,None,Damage_Groggy
24,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapMini14_C,TorsoShot,Damage_Gun
25,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
26,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,LegShot,Damage_Gun
27,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerMale_A_C,None,Damage_Groggy
28,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,HeadShot,Damage_Gun
29,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,TorsoShot,Damage_Gun
30,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
31,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,HeadShot,Damage_Gun
32,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerFemale_A_C,None,Damage_Groggy
33,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,TorsoShot,Damage_Gun
34,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapSKS_C,PelvisShot,Damage_Gun
35,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,TorsoShot,Damage_Gun
36,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
37,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapSKS_C,TorsoShot,Damage_Gun
38,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
39,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
40,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
41,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
42,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapMini14_C,HeadShot,Damage_Gun
43,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,HeadShot,Damage_Gun
44,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
45,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerFemale_A_C,None,Damage_Groggy
46,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapBerylM762_C,PelvisShot,Damage_Gun
47,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
48,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,ArmShot,Damage_Gun
49,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapFNFal_C,PelvisShot,Damage_Gun
50,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerFemale_A_C,None,Damage_Groggy
51,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapBerylM762_C,PelvisShot,Damage_Gun
52,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapMini14_C,TorsoShot,Damage_Gun
53,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerFemale_A_C,None,Damage_Groggy
54,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
55,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,PlayerMale_A_C,None,Damage_Groggy
56,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
57,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
58,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,HeadShot,Damage_Gun
59,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
60,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,PelvisShot,Damage_Gun
61,Erangel (Remastered),2020-06-08T01:36:20.6785497Z,WeapHK416_C,TorsoShot,Damage_Gun
62,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,PelvisShot,Damage_Gun
63,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,ArmShot,Damage_Gun
64,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,HeadShot,Damage_Gun
65,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapMini14_C,TorsoShot,Damage_Gun
66,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,HeadShot,Damage_Gun
67,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapSCAR-L_C,PelvisShot,Damage_Gun
68,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,BP_FireEffectController_C,NonSpecific,Damage_Molotov
69,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
70,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
71,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,NonSpecific,Damage_Explosion_Vehicle
72,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
73,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,TorsoShot,Damage_Gun
74,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,TorsoShot,Damage_Gun
75,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
76,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,TorsoShot,Damage_Gun
77,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapMosinNagant_C,PelvisShot,Damage_Gun
78,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerMale_A_C,None,Damage_Groggy
79,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,TorsoShot,Damage_Gun
80,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerMale_A_C,None,Damage_Groggy
81,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,PelvisShot,Damage_Gun
82,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
83,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,HeadShot,Damage_Gun
84,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
85,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,HeadShot,Damage_Gun
86,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,TorsoShot,Damage_Gun
87,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
88,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,BP_MolotovFireDebuff_C,NonSpecific,Damage_Molotov
89,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapMini14_C,TorsoShot,Damage_Gun
90,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,PelvisShot,Damage_Gun
91,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
92,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,HeadShot,Damage_Gun
93,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
94,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,TorsoShot,Damage_Gun
95,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,LegShot,Damage_Gun
96,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,HeadShot,Damage_Gun
97,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,TorsoShot,Damage_Gun
98,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapMini14_C,LegShot,Damage_Gun
99,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
100,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,HeadShot,Damage_Gun
101,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,LegShot,Damage_Gun
102,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapSKS_C,TorsoShot,Damage_Gun
103,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapMini14_C,HeadShot,Damage_Gun
104,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,PelvisShot,Damage_Gun
105,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
106,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,PelvisShot,Damage_Gun
107,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,HeadShot,Damage_Gun
108,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapM249_C,PelvisShot,Damage_Gun
109,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapSCAR-L_C,HeadShot,Damage_Gun
110,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
111,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,HeadShot,Damage_Gun
112,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapHK416_C,ArmShot,Damage_Gun
113,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,TorsoShot,Damage_Gun
114,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapFNFal_C,TorsoShot,Damage_Gun
115,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
116,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapMini14_C,HeadShot,Damage_Gun
117,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,PlayerFemale_A_C,None,Damage_Groggy
118,Erangel (Remastered),2020-06-13T23:54:47.0885171Z,WeapMini14_C,TorsoShot,Damage_Gun
119,Miramar,2020-06-07T23:39:07.1608172Z,WeapAK47_C,TorsoShot,Damage_Gun
120,Miramar,2020-06-07T23:39:07.1608172Z,WeapSKS_C,TorsoShot,Damage_Gun
121,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,TorsoShot,Damage_Gun
122,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,PelvisShot,Damage_Gun
123,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,NonSpecific,Damage_Explosion_Vehicle
124,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,TorsoShot,Damage_Gun
125,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,ArmShot,Damage_Gun
126,Miramar,2020-06-07T23:39:07.1608172Z,BP_PickupTruck_A_03_C,NonSpecific,Damage_Explosion_Vehicle
127,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,TorsoShot,Damage_Gun
128,Miramar,2020-06-07T23:39:07.1608172Z,WeapBerylM762_C,PelvisShot,Damage_Gun
129,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
130,Miramar,2020-06-07T23:39:07.1608172Z,WeapFNFal_C,PelvisShot,Damage_Gun
131,Miramar,2020-06-07T23:39:07.1608172Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
132,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,TorsoShot,Damage_Gun
133,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,TorsoShot,Damage_Gun
134,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,ArmShot,Damage_Gun
135,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,LegShot,Damage_Gun
136,Miramar,2020-06-07T23:39:07.1608172Z,WeapAK47_C,PelvisShot,Damage_Gun
137,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
138,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,HeadShot,Damage_Gun
139,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,HeadShot,Damage_Gun
140,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
141,Miramar,2020-06-07T23:39:07.1608172Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
142,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,TorsoShot,Damage_Gun
143,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
144,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,HeadShot,Damage_Gun
145,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,HeadShot,Damage_Gun
146,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,HeadShot,Damage_Gun
147,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
148,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,ArmShot,Damage_Gun
149,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
150,Miramar,2020-06-07T23:39:07.1608172Z,WeapFNFal_C,TorsoShot,Damage_Gun
151,Miramar,2020-06-07T23:39:07.1608172Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
152,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,TorsoShot,Damage_Gun
153,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
154,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,LegShot,Damage_Gun
155,Miramar,2020-06-07T23:39:07.1608172Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
156,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,PelvisShot,Damage_Gun
157,Miramar,2020-06-07T23:39:07.1608172Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
158,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,TorsoShot,Damage_Gun
159,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,HeadShot,Damage_Gun
160,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
161,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,TorsoShot,Damage_Gun
162,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
163,Miramar,2020-06-07T23:39:07.1608172Z,BattleRoyaleModeController_Desert_C,NonSpecific,Damage_BlueZone
164,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,HeadShot,Damage_Gun
165,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,PelvisShot,Damage_Gun
166,Miramar,2020-06-07T23:39:07.1608172Z,WeapAK47_C,TorsoShot,Damage_Gun
167,Miramar,2020-06-07T23:39:07.1608172Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
168,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
169,Miramar,2020-06-07T23:39:07.1608172Z,PlayerFemale_A_C,None,Damage_Groggy
170,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,TorsoShot,Damage_Gun
171,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,HeadShot,Damage_Gun
172,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,TorsoShot,Damage_Gun
173,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,HeadShot,Damage_Gun
174,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,PelvisShot,Damage_Gun
175,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,PelvisShot,Damage_Gun
176,Miramar,2020-06-07T23:39:07.1608172Z,WeapAK47_C,TorsoShot,Damage_Gun
177,Miramar,2020-06-07T23:39:07.1608172Z,WeapMini14_C,PelvisShot,Damage_Gun
178,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,TorsoShot,Damage_Gun
179,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,HeadShot,Damage_Gun
180,Miramar,2020-06-07T23:39:07.1608172Z,WeapHK416_C,HeadShot,Damage_Gun
181,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,HeadShot,Damage_Gun
182,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,PelvisShot,Damage_Gun
183,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,TorsoShot,Damage_Gun
184,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,PelvisShot,Damage_Gun
185,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapSCAR-L_C,HeadShot,Damage_Gun
186,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapM249_C,TorsoShot,Damage_Gun
187,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
188,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,HeadShot,Damage_Gun
189,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
190,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
191,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
192,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerMale_A_C,None,Damage_Groggy
193,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapSCAR-L_C,TorsoShot,Damage_Gun
194,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
195,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
196,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,TorsoShot,Damage_Gun
197,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
198,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapMini14_C,TorsoShot,Damage_Gun
199,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,TorsoShot,Damage_Gun
200,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,TorsoShot,Damage_Gun
201,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerMale_A_C,None,Damage_Groggy
202,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapMini14_C,TorsoShot,Damage_Gun
203,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,TorsoShot,Damage_Gun
204,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,LegShot,Damage_Gun
205,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
206,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapAUG_C,TorsoShot,Damage_Gun
207,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapAUG_C,TorsoShot,Damage_Gun
208,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapMini14_C,PelvisShot,Damage_Gun
209,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
210,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,HeadShot,Damage_Gun
211,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,TorsoShot,Damage_Gun
212,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,TorsoShot,Damage_Gun
213,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
214,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
215,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
216,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerMale_A_C,None,Damage_Groggy
217,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
218,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
219,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,HeadShot,Damage_Gun
220,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,BattleRoyaleModeController_Def_C,NonSpecific,Damage_BlueZone
221,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerMale_A_C,None,Damage_Groggy
222,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapBerylM762_C,TorsoShot,Damage_Gun
223,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
224,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
225,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapAUG_C,TorsoShot,Damage_Gun
226,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
227,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
228,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,HeadShot,Damage_Gun
229,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapFNFal_C,LegShot,Damage_Gun
230,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
231,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
232,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,HeadShot,Damage_Gun
233,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,ProjGrenade_C,NonSpecific,Damage_Explosion_Grenade
234,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapAUG_C,LegShot,Damage_Gun
235,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
236,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,PlayerFemale_A_C,None,Damage_Groggy
237,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,HeadShot,Damage_Gun
238,Erangel (Remastered),2020-06-07T01:36:34.1695619Z,WeapHK416_C,TorsoShot,Damage_Gun
